arm,reference,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,over_2_5_brier,team_season,1876,408,-0.0007761999145412755,-0.001355405015889348,-0.00018168238193268674,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,over_2_5_brier,calendar_month,1876,35,-0.0007761999145412755,-0.0014893442147335873,3.987584035878877e-05,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,over_2_5_brier,conservative_envelope,1876,,-0.0007761999145412755,-0.0016964995485169363,0.00011066033400030601,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,exact_score_nll,tie_or_match,1652,829,0.0013087170195633941,-0.0019112484881652872,0.00450269540120372,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,exact_score_nll,team_season,1652,779,0.0013087170195633941,-0.0009351517242140263,0.0035621230972293695,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,exact_score_nll,calendar_month,1652,10,0.0013087170195633941,-0.0026952538467569674,0.00450890375622277,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,exact_score_nll,conservative_envelope,1652,,0.0013087170195633941,-0.0026952538467569674,0.00450890375622277,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,over_2_5_brier,tie_or_match,1652,829,-5.0016587933552175e-05,-0.0010309578535442566,0.0009325230473963309,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,over_2_5_brier,team_season,1652,779,-5.0016587933552175e-05,-0.0007398956439612286,0.0006882025297569088,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:QUALIFYING,over_2_5_brier,calendar_month,1652,10,-5.0016587933552175e-05,-0.0011918007723267976,0.0011213457385190568,False,False
