source_year,country_key,status,league_team_count,source_url,cache_path,detail
2013,poland,CACHED,16,https://en.wikipedia.org/wiki/2012–13_Ekstraklasa,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_poland_5fb1aefe.html,
2013,portugal,CACHED,16,https://en.wikipedia.org/wiki/2012–13_Portuguese_Liga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_portugal_0b92e878.html,
2013,romania,CACHED,18,https://en.wikipedia.org/wiki/2012–13_Liga_I,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_romania_ac092134.html,
2013,russia,CACHED,16,https://en.wikipedia.org/wiki/2012–13_Russian_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_russia_6994220d.html,
2013,sanmarino,CACHED,10,https://en.wikipedia.org/wiki/2012–13_Campionato_Sammarinese_di_Calcio,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_sanmarino_f2f7ab98.html,
2013,scotland,CACHED,12,https://en.wikipedia.org/wiki/2012–13_Scottish_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_scotland_75f4bfc1.html,
2013,serbia,CACHED,16,https://en.wikipedia.org/wiki/2012–13_Serbian_SuperLiga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_serbia_85726d6a.html,
2013,slovakia,CACHED,12,https://en.wikipedia.org/wiki/2012–13_Slovak_First_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_slovakia_65ca3680.html,
2013,slovenia,CACHED,10,https://en.wikipedia.org/wiki/2012–13_Slovenian_PrvaLiga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_slovenia_c8b4a9d3.html,
2013,spain,CACHED,20,https://en.wikipedia.org/wiki/2012–13_La_Liga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_spain_8b067ce2.html,
