candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count
country_b35_g0.6_c180,2022/23,UCL,78,0.3460515499439049,0.6319315221436547,0.55,0.25936883629191315,2,0.16025641025641027,0.09935897435897437,0
country_b35_g0.6_c180,2022/23,UEL,57,0.3476482197584692,0.630568882796436,0.4,0.255155432440751,5,0.24035087719298245,0.1596491228070175,0
country_b35_g0.6_c180,2022/23,UECL,177,0.3263361387105427,0.6240634967732364,0.4888888888888889,0.26397267707236105,19,0.26538804638715435,0.2249479631281594,6
country_b35_g0.6_c180,2023/24,UCL,78,0.4185936508383261,0.6654384672070744,0.45,0.23027613412228795,2,0.16025641025641033,0.16025641025641033,0
country_b35_g0.6_c180,2023/24,UEL,57,0.6707690840499355,0.7627939142461964,0.5333333333333333,0.18313327177593108,3,0.30994152046783624,0.12280701754385966,1
country_b35_g0.6_c180,2023/24,UECL,178,0.3563291060266135,0.6385710093896714,0.4444444444444444,0.25738543113243273,23,0.30520273571079626,0.24364924279433317,6
country_b35_g0.6_c180,2024/25,UCL,81,0.4537145392545436,0.6670020120724346,0.38095238095238093,0.23517756439567145,6,0.15329218106995887,0.12962962962962962,1
country_b35_g0.6_c180,2024/25,UEL,76,0.42833276500345385,0.6611635220125787,0.5263157894736842,0.252770083102493,9,0.27558479532163743,0.20760233918128657,4
country_b35_g0.6_c180,2024/25,UECL,164,0.3472702107830075,0.6370125348189415,0.43902439024390244,0.2572501487209994,31,0.28855232100708106,0.25963808025177026,9
country_b35_g0.6_c180,2025/26,UCL,82,0.427203498504765,0.6675409836065573,0.38095238095238093,0.2455383700178465,1,0.2378048780487805,0.2378048780487805,0
country_b35_g0.6_c180,2025/26,UEL,77,0.433502883105756,0.6680917217256122,0.6,0.24236802158880083,6,0.2662337662337663,0.2142857142857143,2
country_b35_g0.6_c180,2025/26,UECL,164,0.3023094552965802,0.6129170230966638,0.3902439024390244,0.27494794765020825,23,0.28393425238600206,0.23608165429480382,7
country_b35_g0.6_c220,2018/19,UCL,79,0.5342460392768457,0.709045584045584,0.45,0.21791379586604706,1,0.5443037974683544,0.0,0
