club_id,uefa_team_id,ao_team_name,country_code,opta_team_id,opta_team_name,opta_association,match_method,exact_candidate_count,identity_status
AO-UEFA-2603104,2603104,Ludogorets Razgrad,BUL,6uhzci0mwrzly1e4trka6k4ea,Ludogorets Razgrad,Bulgaria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50033,50033,Sparta Praha,CZE,5ocdn3a6s75u0d0dy0rbou0xc,Sparta Praha,Czechia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50146,50146,Legia Warsaw,POL,d7udukc1t631drge83p7ucqws,Legia Warszawa,Poland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-60566,60566,Raków Czestochowa,POL,1sxaf8l7fknmucd72fdretogm,Raków Częstochowa,Poland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-70691,70691,Villarreal,ESP,74mcjsm72vr3l9pw2i4qfjchj,Villarreal,Spain,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50074,50074,Anderlecht,BEL,6vyr13j6kbwdtxjwm1m4m8nu2,Anderlecht,Belgium,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-53060,53060,Samsunspor,TUR,dpsnqu7pd2b0shfzjyn5j1znf,Samsunspor,Türkiye,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-59030,59030,NK Celje,SLO,a75rj6mt43qjbvvabry5qg162,Celje,Slovenia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50030,50030,FC Salzburg,AUT,bonj6qc7po4anunhydmjmi6g5,Salzburg,Austria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50111,50111,Sturm Graz,AUT,4lauow63npvttmvxgh2koqb0r,Sturm Graz,Austria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-8538,8538,FC Lugano,SUI,btqfm8txcvhi29sddmc9nr68,Lugano,Switzerland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52356,52356,NK Rijeka,CRO,1ej3fkeq5d7359enihddsxzae,Rijeka,Croatia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50162,50162,Partizan Belgrade,SRB,c0d1qca7kz0fi0ypx7aw4nusc,Partizan,Serbia,UEFA_NAME_COUNTRY_EXACT,2,VERIFIED
AO-UEFA-4251,4251,Lausanne Sports,SUI,96jxcq0onij7zd9rwwkal8q1l,Lausanne-Sport,Switzerland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2600288,2600288,Istanbul Basaksehir,TUR,47njg6cmlx5q3fvdsupd2n6qu,İstanbul Başakşehir,Türkiye,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-54191,54191,AEK Larnaca,CYP,q4y48hs70h74p3waaxxjtdu5,AEK Larnaca,Cyprus,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-59045,59045,Maccabi Haifa,ISR,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,Israel,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-59856,59856,FC Basel,SUI,5u18kvqiqhup2vd345dci1069,Basel,Switzerland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52770,52770,SK Brann Bergen,NOR,6oxoag5c6zbnn09wx08vz4iak,Brann,Norway,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-88131,88131,CFR Cluj,ROM,j9rqsuwsz35jx5drlh5f629w,CFR Cluj,Romania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50157,50157,Besiktas,TUR,2ez9cvam9lp9jyhng3eh3znb4,Beşiktaş,Türkiye,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50065,50065,FCSB,ROM,bpk1d09f7zqtmcp7cis2c1b7i,FCSB,Romania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-57475,57475,KI Klaksvik,FAR,5hxhbq90kzf5ru0s2weylw1wu,KÍ,Faroe Islands,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52797,52797,Slovan Bratislava,SVK,cmj1019uptq8i042n5y16itbd,Slovan Bratislava,Slovakia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50079,50079,Dundee United,SCO,4qdzzur2cuuridyb0jso8mksi,Dundee United,Scotland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50077,50077,Omonia Nicosia,CYP,1pf6zmsueuc9tr64ql67gynqc,Omonia Nicosia,Cyprus,UEFA_NAME_COUNTRY_EXACT,2,VERIFIED
AO-UEFA-52905,52905,Sigma Olomouc,CZE,dchxm00ei80l8ljbcfpdill8k,Sigma Olomouc,Czechia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52806,52806,Rosenborg BK,NOR,c7jgkxx1czv5etn7snf1r6p2m,Rosenborg,Norway,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52723,52723,Dynamo Kyiv,UKR,7lgvcey3svf6k22vg5svdztmg,Dynamo Kyiv,Ukraine,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52323,52323,FC Utrecht,NED,ccpscwdcm65czscrun048ecn5,Utrecht,Netherlands,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50104,50104,Borac Banja Luka,BOS,399xya5sk812vkpg0no4dq552,Borac Banja Luka,Bosnia and Herzegovina,UEFA_NAME_COUNTRY_EXACT,3,VERIFIED
AO-UEFA-52319,52319,Viking Stavanger,NOR,bsykw9d70ffqe9atosc92n1e9,Viking,Norway,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2606501,2606501,Universitatea Craiova,ROM,83rbv17lblttd5vcb3emcyzms,Universitatea Craiova,Romania,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-73927,73927,CD Santa Clara,POR,cmbqc74mshg77ra7mywec2a6b,Santa Clara,Portugal,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50042,50042,Rapid Wien,AUT,eljjik2vvlpy6d649mgwwivam,Rapid,Austria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2609987,2609987,FC Noah,ARM,e9x62jymlef5ugsrijq19ur8q,Noah,Armenia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52287,52287,ETO Györ,HUN,3jvgab7r5m1rqtyxvxrgyuwhd,Győri ETO,Hungary,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-2603990,2603990,Wolfsberger AC,AUT,9pn4d8sj6pmqidrhhlvev437k,Wolfsberger AC,Austria,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52697,52697,Vikingur Reykjavik,ISL,7gmdb4hmtrz199zv9r66qy9qp,Víkingur Reykjavík,Iceland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52341,52341,AIK Stockholm,SWE,5mbo4f0vps12dr0fcvjn3wyp5,AIK,Sweden,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52886,52886,Charleroi,BEL,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Belgium,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-50152,50152,Malmö FF,SWE,93ohqui2qgqm8408viwmm1ken,Malmö FF,Sweden,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-53081,53081,Olimpija Ljubljana,SLO,75ajd08kvi4wwfua0u1a1qa1q,Olimpija,Slovenia,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-57477,57477,Maccabi Tel-Aviv,ISR,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,Israel,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
AO-UEFA-52381,52381,Shamrock Rovers,IRL,51xekmm31jztuvdliya7idg5d,Shamrock Rovers,Republic of Ireland,UEFA_NAME_COUNTRY_EXACT,1,VERIFIED
