candidate,season,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,stage
country_b10_g2.4_c260,2025/26,961,0.6322126709628979,0.17220160839544743,0.6645077720207254,0.3908712812422869,country_strength
country_b10_g2.4_c280,2021/22,816,0.616161690180602,0.15601398101873373,0.7022292993630573,0.4238410828132825,country_strength
country_b10_g2.4_c280,2022/23,804,0.6325211011406678,0.16435861146273295,0.6602254428341385,0.40561538523710244,country_strength
country_b10_g2.4_c280,2023/24,806,0.6086600108407367,0.15724493779399612,0.6960629921259842,0.40966831751419863,country_strength
country_b10_g2.4_c280,2024/25,957,0.6228928269426961,0.16928041445004127,0.6941935483870968,0.4502359451221245,country_strength
country_b10_g2.4_c280,2025/26,961,0.6318729368709403,0.17202223308831158,0.6632124352331606,0.39393084574813886,country_strength
country_b10_g2.4_c300,2021/22,816,0.6158935644335238,0.15588770072264832,0.7054140127388535,0.4223475817235445,country_strength
country_b10_g2.4_c300,2022/23,804,0.6322970129289096,0.16423721852313827,0.6586151368760065,0.40404806106322555,country_strength
country_b10_g2.4_c300,2023/24,806,0.6083726735651374,0.15711305732770045,0.694488188976378,0.40886880483834503,country_strength
country_b10_g2.4_c300,2024/25,957,0.6232949413528088,0.1695096220022517,0.6929032258064516,0.45007284304054435,country_strength
country_b10_g2.4_c300,2025/26,961,0.6318144649887907,0.17196014823310768,0.667098445595855,0.39223607799160193,country_strength
country_b10_g2.4_c320,2021/22,816,0.6157762446600074,0.15582639408103138,0.7070063694267515,0.42137249347407413,country_strength
country_b10_g2.4_c320,2022/23,804,0.6322585244922283,0.1641925946904121,0.6634460547504025,0.40254610170268845,country_strength
country_b10_g2.4_c320,2023/24,806,0.6082682847160901,0.15706365426447866,0.7007874015748031,0.40645472857856796,country_strength
country_b10_g2.4_c320,2024/25,957,0.6239428154461215,0.1698499402975844,0.6851612903225807,0.44884429384013547,country_strength
country_b10_g2.4_c320,2025/26,961,0.6320315342096715,0.1720096876120093,0.667098445595855,0.3920225134230389,country_strength
country_b10_g2.4_c340,2021/22,816,0.6158072589117144,0.15582734612413535,0.7038216560509554,0.42132392064228025,country_strength
country_b10_g2.4_c340,2022/23,804,0.6324022531308776,0.16422111426801844,0.6618357487922706,0.4026505899809469,country_strength
country_b10_g2.4_c340,2023/24,806,0.6083449366157405,0.15709442930857337,0.6992125984251969,0.40626073610362584,country_strength
country_b10_g2.4_c340,2024/25,957,0.6248329193812479,0.1702962512761144,0.6903225806451613,0.44620893175578774,country_strength
country_b10_g2.4_c340,2025/26,961,0.6325180211525689,0.1721647035863181,0.6683937823834197,0.39164717140232397,country_strength
country_b10_g2.4_c360,2021/22,816,0.6159840039714614,0.15588770780235012,0.7101910828025477,0.41900649721884176,country_strength
country_b10_g2.4_c360,2022/23,804,0.6327245976261835,0.16431892851915483,0.6650563607085346,0.4032436444552632,country_strength
country_b10_g2.4_c360,2023/24,806,0.6086004326104284,0.15720266030004487,0.7007874015748031,0.4050986646760601,country_strength
country_b10_g2.4_c360,2024/25,957,0.6259613219455915,0.17084287232706313,0.6890322580645162,0.4438892066574838,country_strength
country_b10_g2.4_c360,2025/26,961,0.633267457573921,0.17241868353631454,0.6580310880829016,0.39173608025704765,country_strength
country_b10_g2.4_c400,2021/22,816,0.6167637277220036,0.1561748145383872,0.7133757961783439,0.41630276089954704,country_strength
country_b10_g2.4_c400,2022/23,804,0.6338898144155873,0.16470630277976525,0.6634460547504025,0.40226364937059256,country_strength
country_b10_g2.4_c400,2023/24,806,0.6096378343624248,0.15763873580339452,0.7039370078740157,0.40204752089541734,country_strength
country_b10_g2.4_c400,2024/25,957,0.6289155015551566,0.17221207992495263,0.687741935483871,0.44419565479386103,country_strength
country_b10_g2.4_c400,2025/26,961,0.635527922754007,0.17319633574675417,0.6632124352331606,0.389437740533134,country_strength
country_b10_g2.6_c220,2021/22,816,0.6177875524920713,0.15677342532633542,0.695859872611465,0.4238183852283321,country_strength
country_b10_g2.6_c220,2022/23,804,0.6343725284059992,0.16523315283294757,0.6666666666666666,0.40304516443811467,country_strength
country_b10_g2.6_c220,2023/24,806,0.6104976189814947,0.15811155928627763,0.6992125984251969,0.4076017326294392,country_strength
country_b10_g2.6_c220,2024/25,957,0.6229070435241407,0.16917325193492344,0.6954838709677419,0.45167859451976256,country_strength
country_b10_g2.6_c220,2025/26,961,0.6335860161460568,0.17286375486894315,0.6619170984455959,0.3896160165356469,country_strength
country_b10_g2.6_c240,2021/22,816,0.6170345621192808,0.1564291257867612,0.6990445859872612,0.42513983862414584,country_strength
country_b10_g2.6_c240,2022/23,804,0.6335610457570335,0.16485677096374224,0.6618357487922706,0.4041659085734075,country_strength
country_b10_g2.6_c240,2023/24,806,0.6096292981843789,0.15771292755335206,0.6929133858267716,0.4078338644016393,country_strength
country_b10_g2.6_c240,2024/25,957,0.6225286380775695,0.16903169862105905,0.6993548387096774,0.45200479868292276,country_strength
country_b10_g2.6_c240,2025/26,961,0.6326666401471968,0.17243455374099187,0.6606217616580311,0.39131765868816765,country_strength
country_b10_g2.6_c260,2021/22,816,0.6164368328809351,0.15615552501944446,0.697452229299363,0.4263119419109858,country_strength
country_b10_g2.6_c260,2022/23,804,0.6329413783039735,0.16456470396681203,0.6634460547504025,0.4043581860900201,country_strength
