season,country,check,status,detail
2022/23,Faroe Islands,league_team_count_plausible,PASS,10
2022/23,Faroe Islands,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Finland,league_team_count_plausible,PASS,12
2022/23,Finland,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,France,league_team_count_plausible,PASS,20
2022/23,France,participant_position_coverage,PASS,all=6/6; required=5/5
2022/23,Georgia,league_team_count_plausible,PASS,10
2022/23,Georgia,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Germany,league_team_count_plausible,PASS,18
2022/23,Germany,participant_position_coverage,PASS,all=8/8; required=7/7
2022/23,Gibraltar,league_team_count_plausible,PASS,11
2022/23,Gibraltar,participant_position_coverage,PASS,all=4/4; required=4/4
2022/23,Greece,league_team_count_plausible,PASS,14
2022/23,Greece,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Hungary,league_team_count_plausible,PASS,12
2022/23,Hungary,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Iceland,league_team_count_plausible,PASS,12
2022/23,Iceland,participant_position_coverage,PASS,all=3/3; required=2/2
2022/23,Ireland,league_team_count_plausible,PASS,10
2022/23,Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Israel,league_team_count_plausible,PASS,14
2022/23,Israel,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Italy,league_team_count_plausible,PASS,20
2022/23,Italy,participant_position_coverage,PASS,all=7/7; required=6/6
2022/23,Kazakhstan,league_team_count_plausible,PASS,14
2022/23,Kazakhstan,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Kosovo,league_team_count_plausible,PASS,10
2022/23,Kosovo,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Latvia,league_team_count_plausible,PASS,9
2022/23,Latvia,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Liechtenstein,league_table_read,PASS,ValueError; optional_cup_only=True
2022/23,Lithuania,league_team_count_plausible,PASS,10
2022/23,Lithuania,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Luxembourg,league_team_count_plausible,PASS,16
2022/23,Luxembourg,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Malta,league_team_count_plausible,PASS,12
2022/23,Malta,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Moldova,league_team_count_plausible,PASS,8
2022/23,Moldova,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Montenegro,league_team_count_plausible,PASS,10
2022/23,Montenegro,participant_position_coverage,PASS,all=3/4; required=3/3
2022/23,Netherlands,league_team_count_plausible,PASS,18
2022/23,Netherlands,participant_position_coverage,PASS,all=5/5; required=4/4
2022/23,North Macedonia,league_team_count_plausible,PASS,12
2022/23,North Macedonia,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Northern Ireland,league_team_count_plausible,PASS,12
2022/23,Northern Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Norway,league_team_count_plausible,PASS,16
2022/23,Norway,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Poland,league_team_count_plausible,PASS,18
2022/23,Poland,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Portugal,league_team_count_plausible,PASS,18
2022/23,Portugal,participant_position_coverage,PASS,all=6/6; required=5/5
2022/23,Romania,league_team_count_plausible,PASS,16
2022/23,Romania,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,San Marino,league_team_count_plausible,PASS,15
2022/23,San Marino,participant_position_coverage,PASS,all=3/3; required=2/2
2022/23,Scotland,league_team_count_plausible,PASS,12
2022/23,Scotland,participant_position_coverage,PASS,all=5/5; required=4/4
2022/23,Serbia,league_team_count_plausible,PASS,16
2022/23,Serbia,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Slovakia,league_team_count_plausible,PASS,12
2022/23,Slovakia,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Slovenia,league_team_count_plausible,PASS,10
2022/23,Slovenia,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Spain,league_team_count_plausible,PASS,20
2022/23,Spain,participant_position_coverage,PASS,all=7/7; required=6/6
2022/23,Sweden,league_team_count_plausible,PASS,16
2022/23,Sweden,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Switzerland,league_team_count_plausible,PASS,10
2022/23,Switzerland,participant_position_coverage,PASS,all=4/4; required=3/3
2022/23,Türkiye,league_team_count_plausible,PASS,20
2022/23,Türkiye,participant_position_coverage,PASS,all=5/5; required=4/4
2022/23,Ukraine,league_team_count_plausible,PASS,16
2022/23,Ukraine,participant_position_coverage,PASS,all=5/5; required=5/5
2022/23,Wales,league_team_count_plausible,PASS,12
2022/23,Wales,participant_position_coverage,PASS,all=3/3; required=2/2
2022/23,ALL,all_teams_enriched,PASS,233
2023/24,Albania,league_team_count_plausible,PASS,10
2023/24,Albania,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Andorra,league_team_count_plausible,PASS,10
2023/24,Andorra,participant_position_coverage,PASS,all=3/3; required=2/2
2023/24,Armenia,league_team_count_plausible,PASS,10
2023/24,Armenia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Austria,league_team_count_plausible,PASS,12
2023/24,Austria,participant_position_coverage,PASS,all=5/5; required=4/4
2023/24,Azerbaijan,league_team_count_plausible,PASS,10
2023/24,Azerbaijan,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Belarus,league_team_count_plausible,PASS,16
2023/24,Belarus,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Belgium,league_team_count_plausible,PASS,18
2023/24,Belgium,participant_position_coverage,PASS,all=5/5; required=4/4
2023/24,Bosnia-Herzegovina,league_team_count_plausible,PASS,12
2023/24,Bosnia-Herzegovina,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Bulgaria,league_team_count_plausible,PASS,16
2023/24,Bulgaria,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Croatia,league_team_count_plausible,PASS,10
2023/24,Croatia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Cyprus,league_team_count_plausible,PASS,14
2023/24,Cyprus,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Czechia,league_team_count_plausible,PASS,16
2023/24,Czechia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Denmark,league_team_count_plausible,PASS,12
2023/24,Denmark,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,England,league_team_count_plausible,PASS,20
2023/24,England,participant_position_coverage,PASS,all=8/8; required=6/6
2023/24,Estonia,league_team_count_plausible,PASS,10
2023/24,Estonia,participant_position_coverage,PASS,all=3/4; required=3/3
2023/24,Faroe Islands,league_team_count_plausible,PASS,10
2023/24,Faroe Islands,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Finland,league_team_count_plausible,PASS,12
2023/24,Finland,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,France,league_team_count_plausible,PASS,20
2023/24,France,participant_position_coverage,PASS,all=6/6; required=5/5
2023/24,Georgia,league_team_count_plausible,PASS,10
2023/24,Georgia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Germany,league_team_count_plausible,PASS,18
2023/24,Germany,participant_position_coverage,PASS,all=7/7; required=6/6
2023/24,Gibraltar,league_team_count_plausible,PASS,11
2023/24,Gibraltar,participant_position_coverage,PASS,all=3/3; required=2/2
2023/24,Greece,league_team_count_plausible,PASS,14
2023/24,Greece,participant_position_coverage,PASS,all=5/5; required=4/4
2023/24,Hungary,league_team_count_plausible,PASS,12
2023/24,Hungary,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Iceland,league_team_count_plausible,PASS,12
2023/24,Iceland,participant_position_coverage,PASS,all=3/3; required=2/2
2023/24,Ireland,league_team_count_plausible,PASS,10
2023/24,Ireland,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Israel,league_team_count_plausible,PASS,14
2023/24,Israel,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Italy,league_team_count_plausible,PASS,20
2023/24,Italy,participant_position_coverage,PASS,all=7/7; required=6/6
2023/24,Kazakhstan,league_team_count_plausible,PASS,14
2023/24,Kazakhstan,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Kosovo,league_team_count_plausible,PASS,10
2023/24,Kosovo,participant_position_coverage,PASS,all=4/4; required=4/4
2023/24,Latvia,league_team_count_plausible,PASS,10
2023/24,Latvia,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Liechtenstein,league_table_read,PASS,ValueError; optional_cup_only=True
2023/24,Lithuania,league_team_count_plausible,PASS,10
2023/24,Lithuania,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Luxembourg,league_team_count_plausible,PASS,16
2023/24,Luxembourg,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Malta,league_team_count_plausible,PASS,14
2023/24,Malta,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Moldova,league_team_count_plausible,PASS,9
2023/24,Moldova,participant_position_coverage,PASS,all=4/4; required=3/3
2023/24,Montenegro,league_team_count_plausible,PASS,10
2023/24,Montenegro,participant_position_coverage,PASS,all=3/3; required=2/2
2023/24,Netherlands,league_team_count_plausible,PASS,18
2023/24,Netherlands,participant_position_coverage,PASS,all=5/5; required=4/4
2023/24,North Macedonia,league_team_count_plausible,PASS,11
2023/24,North Macedonia,participant_position_coverage,PASS,all=4/4; required=3/3
