fold,test_season,model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t150_b0,0.025,150.0,0.0,1,806,0.5712780156201585,0.9636105469638843,0.543424317617866,0.3257550888656654,0.6158198985649096,0.9375127900742002,301.1956075221656,92.64142962927468,9.094947017729282e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t150_b0,0.025,150.0,0.0,1,957,0.5763055639790728,0.9712153055471605,0.54858934169279,0.2463360220643749,0.5876257606398977,0.9361866460945737,378.9542793270316,91.02659840976915,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t150_b0,0.025,150.0,0.0,1,961,0.5904238681562962,0.9908743116942927,0.5296566077003122,,,0.9408208447643871,364.3838296009096,91.23758109343105,9.094947017729282e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t200_b0,0.025,200.0,0.0,1,540,0.5453762109568399,0.9291974473362435,0.5777777777777777,0.28987109187418064,0.5997840407846394,0.9686834613699589,454.02247064628705,90.13929241680457,9.094947017729282e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t200_b0,0.025,200.0,0.0,1,816,0.5820395547160035,0.9792607774554145,0.5392156862745098,0.2627945664524114,0.5934648369040953,0.9414712462972745,426.0871340273634,92.11493198449872,5.820766091346741e-11
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t200_b0,0.025,200.0,0.0,1,804,0.5985664814083875,1.0026884294819864,0.4975124378109453,0.35671173196477757,0.6115188698725909,0.9407518508820861,445.44634458066935,88.19375012179306,9.094947017729282e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t200_b0,0.025,200.0,0.0,1,806,0.5712772998964073,0.9636088752847434,0.543424317617866,0.3260342452283849,0.6158729600135473,0.9374837563130872,301.3547423320888,92.65903396450088,5.820766091346741e-11
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t200_b0,0.025,200.0,0.0,1,957,0.5762987962447242,0.9712058565337988,0.54858934169279,0.2463360220643749,0.5876257606398977,0.936173864616761,378.8590211417368,91.02947436968351,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t200_b0,0.025,200.0,0.0,1,961,0.5904173824487596,0.9908653239037724,0.5296566077003122,,,0.9406866392473536,364.87252043386843,91.23634978326957,9.094947017729282e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t250_b0,0.025,250.0,0.0,1,540,0.5453701008251574,0.9291893270006705,0.5777777777777777,0.2897487217014771,0.5995925974577557,0.9686230639005227,454.22482259275307,90.16808680579719,9.094947017729282e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t250_b0,0.025,250.0,0.0,1,816,0.5820326395941295,0.9792502017567453,0.5392156862745098,0.2628363225174564,0.5934648369040953,0.941333323717816,426.22176151294866,92.1159946297801,4.547473508864641e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t250_b0,0.025,250.0,0.0,1,804,0.5985582681952367,1.0026760299637067,0.4975124378109453,0.3567825704577433,0.6116195914903451,0.9408267969019781,445.693004640935,88.18774615413514,4.547473508864641e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t250_b0,0.025,250.0,0.0,1,806,0.5712761032291054,0.963606682586411,0.543424317617866,0.3263827268217149,0.6160331923542502,0.9373826064356611,301.4908770937609,92.69004277069537,9.094947017729282e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t250_b0,0.025,250.0,0.0,1,957,0.5762942157638248,0.9711996379649684,0.54858934169279,0.2462752264673953,0.5875741758417008,0.936204905348592,378.7708263507093,91.03163634034537,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t250_b0,0.025,250.0,0.0,1,961,0.5904125136462874,0.9908583926550144,0.5296566077003122,,,0.9407140281283807,365.2691057156733,91.23562359794668,4.547473508864641e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t300_b0,0.025,300.0,0.0,1,540,0.545364667756104,0.9291820974479412,0.5796296296296296,0.2899250231691643,0.5996405611809987,0.9686284726291289,454.3957374834838,90.2074063372897,5.820766091346741e-11
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t300_b0,0.025,300.0,0.0,1,816,0.5820272097344692,0.9792418370698553,0.5392156862745098,0.2629965921200557,0.5935150511876507,0.9413405353559575,426.3287154098923,92.1169928212586,4.547473508864641e-13
