candidate_key,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,maximum_abs_match_delta,maximum_abs_rating_change,maximum_total_elo_error,brier_delta_vs_base,log_loss_delta_vs_base,ranking_delta_vs_base,pairwise_delta_vs_base,ranking_evaluable_folds,ranking_no_regression_folds,ranking_practical_no_regression_folds,ranking_both_improved_folds,brier_win_folds,log_loss_win_folds
goal_difference_only_a0.075_t250_b0,0.075,250.0,4884,0.579369781766912,0.9755831220410874,0.5372645372645373,0.2950313738092009,0.6012799375778134,92.79862474210866,457.97073931965747,1.1641532182693481e-10,-0.00012041682065078163,-0.0001729122549156692,0.0002205450202296122,-8.426214574108748e-05,5,1,5,1,5,4
goal_difference_only_a0.075_t300_b0,0.075,300.0,4884,0.579357663547198,0.975565441423958,0.5372645372645373,0.2950651176852171,0.6013028865582578,92.92215971845842,458.4771356243125,1.1641532182693481e-10,-0.00013253504036481178,-0.00019059287204514774,0.0002542888962457912,-6.131316529667252e-05,5,2,5,2,6,6
goal_difference_only_a0.075_t400_b0,0.075,400.0,4884,0.5793395972468686,0.9755391530844593,0.5372645372645373,0.29520025869928507,0.6013391635940118,93.21572124015371,459.28431890557704,5.820766091346741e-11,-0.00015060134069422304,-0.0002168812115438401,0.0003894299103137655,-2.503612954263268e-05,5,2,5,2,6,6
goal_difference_only_a0.075_t500_b0,0.075,500.0,4884,0.5793269298240727,0.9755207780366522,0.5376740376740377,0.29527232648858404,0.6013733344228542,93.52139167261892,459.89666589700096,1.1641532182693481e-10,-0.00016326876349004316,-0.00023525625935094663,0.000461497699612734,9.13469929975097e-06,5,2,5,2,6,6
goal_difference_only_a0.075_t650_b0,0.075,650.0,4884,0.5793138577057377,0.975501874129301,0.5376740376740377,0.29545516063048166,0.601461203261151,93.94483347867894,460.5768036512279,1.1641532182693481e-10,-0.00017634088182505447,-0.00025416016670209984,0.0006443318415103594,9.700353759656277e-05,5,2,5,2,6,6
goal_difference_only_a0.075_t800_b0,0.075,800.0,4884,0.5793049750550747,0.9754890691852312,0.5372645372645373,0.29560359199909675,0.6014924015576828,94.30697799516281,461.07147680237836,1.1641532182693481e-10,-0.00018522353248806578,-0.00026696511077195506,0.0007927632101254467,0.00012820183412831643,5,3,5,3,6,6
goal_difference_only_a0.1_t100_b0,0.1,100.0,4884,0.5794075899544986,0.9756399547986869,0.5372645372645373,0.2948821865840497,0.6013090960026982,92.63710249823238,456.8392152973554,1.1641532182693481e-10,-8.260863306419619e-05,-0.00011607949731617939,7.135779507838613e-05,-5.510372085626436e-05,5,1,5,1,4,4
goal_difference_only_a0.1_t150_b0,0.1,150.0,4884,0.5793765269476655,0.975594166620337,0.5372645372645373,0.29500331052453377,0.6013248987586453,92.65846316213262,458.1005183101006,5.820766091346741e-11,-0.00011367163989728368,-0.00016186767566606086,0.0001924817355624664,-3.9300964909227964e-05,5,2,5,2,4,4
goal_difference_only_a0.1_t200_b0,0.1,200.0,4884,0.5793518295914803,0.9755579297107223,0.5372645372645373,0.2950868426085474,0.6013436447869831,92.72888050303735,459.071307503192,5.820766091346741e-11,-0.00013836899608243858,-0.00019810458528080055,0.00027601381957609306,-2.0554936571381965e-05,5,2,5,2,4,4
goal_difference_only_a0.1_t250_b0,0.1,250.0,4884,0.5793321948766232,0.9755292063957927,0.5372645372645373,0.2952193887050993,0.6014246994840526,92.85291572781531,459.867698993761,1.1641532182693481e-10,-0.00015800371093954713,-0.00022682790021044674,0.0004085599161279818,6.0499760498156085e-05,5,2,5,2,5,4
goal_difference_only_a0.1_t300_b0,0.1,300.0,4884,0.5793164208283498,0.9755061844743735,0.5374692874692875,0.2954363543106745,0.6014586367768724,93.01762902961498,460.53855530146825,1.1641532182693481e-10,-0.00017377775921301186,-0.00024984982162956637,0.0006255255217031963,9.443705331790841e-05,5,2,5,2,6,6
goal_difference_only_a0.1_t400_b0,0.1,400.0,4884,0.5792929774869431,0.9754720682741896,0.5372645372645373,0.29566474106613966,0.6015957659883732,93.40904439187538,461.6071770890312,1.1641532182693481e-10,-0.00019722110061970444,-0.0002839660218134643,0.000853912277168356,0.00023156626481868336,5,2,5,2,6,6
goal_difference_only_a0.1_t500_b0,0.1,500.0,4884,0.5792766057312543,0.9754483239085723,0.5376740376740377,0.29554701942472067,0.6015368762644359,93.81660496849567,462.4174981835108,1.1641532182693481e-10,-0.00021359285630850877,-0.00030771038743082624,0.0007361906357493675,0.00017267654088137796,5,2,5,2,6,6
goal_difference_only_a0.1_t650_b0,0.1,650.0,4884,0.5792597787476994,0.9754240033834499,0.5372645372645373,0.29542916144713377,0.6014633579073517,94.38119404324236,463.3173239013295,1.1641532182693481e-10,-0.00023041983986338277,-0.00033203091255318284,0.0006183326581624682,9.915818379724328e-05,5,2,5,2,6,6
goal_difference_only_a0.1_t800_b0,0.1,800.0,4884,0.5792483889225064,0.975407597838559,0.5370597870597871,0.29567301674522917,0.6015416068403998,94.86405339855419,463.9717057494754,5.820766091346741e-11,-0.00024180966505638057,-0.00034843645744409013,0.0008621879562578649,0.0001774071168453295,5,2,5,2,6,6
goal_difference_only_a0.125_t100_b0,0.125,100.0,4884,0.5793883215013863,0.9756130163542028,0.5374692874692875,0.2947997538604369,0.6012954195751409,92.63744017654331,458.0074827424048,5.820766091346741e-11,-0.00010187708617648283,-0.00014301794180027194,-1.1074928534415829e-05,-6.878014841360525e-05,5,1,5,1,4,4
goal_difference_only_a0.125_t150_b0,0.125,150.0,4884,0.5793501655473433,0.9755567293764348,0.5374692874692875,0.2949459991852989,0.6013388493487498,92.6641410064186,459.58267305580375,1.1641532182693481e-10,-0.00014003304021947827,-0.00019930491956832164,0.00013517039632759964,-2.5350374804666842e-05,5,2,5,2,4,4
goal_difference_only_a0.125_t200_b0,0.125,200.0,4884,0.5793198942010853,0.9755122847549583,0.5376740376740377,0.295104772011951,0.6014782797250595,92.75216268254952,460.7912103834519,1.1641532182693481e-10,-0.00017030438647747115,-0.00024374954104477986,0.000293943222979709,0.00011408000150503472,5,2,5,2,4,4
goal_difference_only_a0.125_t250_b0,0.125,250.0,4884,0.5792958807240005,0.9754771396353743,0.5376740376740377,0.2952996696515355,0.6015611582976346,92.90720671352196,461.7810161673142,1.1641532182693481e-10,-0.00019431786356227665,-0.0002788946606288034,0.0004888408625641771,0.0001969585740800861,5,2,5,2,5,4
goal_difference_only_a0.125_t300_b0,0.125,300.0,4884,0.5792766469599594,0.9754490620736915,0.5370597870597871,0.29542497540453716,0.6015762834383267,93.11309834077156,462.61407068851986,5.820766091346741e-11,-0.0002135516276033922,-0.0003069722223115745,0.0006141466155658581,0.00021208371477221544,5,2,5,2,5,6
