candidate_model,baseline_model,competition,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,log_loss_1x2,tie_or_match,4884,1612,7.897185124137283e-05,-0.0001660325619704935,0.0003165807718652598,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,log_loss_1x2,team_season,4884,1413,7.897185124137283e-05,-0.00010426363894871581,0.00025761730247554106,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,log_loss_1x2,calendar_month,4884,65,7.897185124137283e-05,-0.00018689098440251758,0.0003078722293038259,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,log_loss_1x2,conservative_envelope,4884,,7.897185124137283e-05,-0.00018689098440251758,0.0003165807718652598,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,brier_1x2,tie_or_match,1384,390,0.00038750273881864387,-2.5182965230881442e-05,0.0008334830845440286,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,brier_1x2,team_season,1384,478,0.00038750273881864387,0.00012151963188182213,0.0006527601610872208,False,True
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,brier_1x2,calendar_month,1384,65,0.00038750273881864387,4.639456883298142e-05,0.0007322353464355798,False,True
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,brier_1x2,conservative_envelope,1384,,0.00038750273881864387,-2.5182965230881442e-05,0.0008334830845440286,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,log_loss_1x2,tie_or_match,1384,390,0.000545401305085518,-4.302401192006928e-05,0.0012003098242038576,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,log_loss_1x2,team_season,1384,478,0.000545401305085518,0.0001860847965384989,0.0009156214898909869,False,True
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,log_loss_1x2,calendar_month,1384,65,0.000545401305085518,5.446327846156026e-05,0.001035303786150524,False,True
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UCL,log_loss_1x2,conservative_envelope,1384,,0.000545401305085518,-4.302401192006928e-05,0.0012003098242038576,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,brier_1x2,tie_or_match,1427,441,-0.00014518667640286417,-0.00042954501242089833,0.00013190084067487518,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,brier_1x2,team_season,1427,538,-0.00014518667640286417,-0.00038402384338760665,9.467885973156594e-05,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,brier_1x2,calendar_month,1427,57,-0.00014518667640286417,-0.0004718757087279833,0.00015637222387320966,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,brier_1x2,conservative_envelope,1427,,-0.00014518667640286417,-0.0004718757087279833,0.00015637222387320966,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,log_loss_1x2,tie_or_match,1427,441,-0.00022817155179346421,-0.0006120827774235225,0.00014995135451268692,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,log_loss_1x2,team_season,1427,538,-0.00022817155179346421,-0.0005621242400862409,0.00011093214591876374,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,log_loss_1x2,calendar_month,1427,57,-0.00022817155179346421,-0.0006927185783444847,0.00019442044511108455,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UEL,log_loss_1x2,conservative_envelope,1427,,-0.00022817155179346421,-0.0006927185783444847,0.00019442044511108455,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,brier_1x2,tie_or_match,2073,792,-1.4404362330670473e-05,-0.00024263154182996793,0.0002069788297369998,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,brier_1x2,team_season,2073,864,-1.4404362330670473e-05,-0.00018988477328294188,0.00016640259057589804,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,brier_1x2,calendar_month,2073,48,-1.4404362330670473e-05,-0.0003321996190655748,0.0002694025984179454,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,brier_1x2,conservative_envelope,2073,,-1.4404362330670473e-05,-0.0003321996190655748,0.0002694025984179454,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,log_loss_1x2,tie_or_match,2073,792,-2.1001485946077466e-05,-0.00033769634166885414,0.00028356477675347424,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,log_loss_1x2,team_season,2073,864,-2.1001485946077466e-05,-0.0002693061606061549,0.00023618148189968508,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,log_loss_1x2,calendar_month,2073,48,-2.1001485946077466e-05,-0.0004635576466242501,0.00036646725491415596,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,UECL,log_loss_1x2,conservative_envelope,2073,,-2.1001485946077466e-05,-0.0004635576466242501,0.00036646725491415596,False,False
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,brier_1x2,tie_or_match,4884,1612,0.0006737493072310056,5.1733681605840394e-05,0.0012375134635147103,False,True
ABLATION_NO_XG,CURRENT_PRODUCTION,ALL,brier_1x2,team_season,4884,1413,0.0006737493072310056,0.0003140980881530063,0.0010203515474206887,False,True
