power_carry,reserve_decay,ucl_trophy_base,distance_from_reference,matches,brier,log_loss,carried_clubs,trophy_bonus_total,mean_reserve,max_reserve,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
0.85,1.0,50.0,1.1,6340,0.1615669230853809,0.6168074580015444,1146,730.0,1.4506012397826593,80.0,-5.304937016788331,36.13289492924079,171.86341202888593,0.9093017204782097
1.0,0.0,0.0,2.0,6340,0.1615818402690235,0.6165905670650408,1146,0.0,0.0,0.0,-9.536484723763277,37.03530752982478,152.34041458156753,0.8885035171888052
0.75,1.0,50.0,1.0,6340,0.1615838303492954,0.6168581212990641,1146,730.0,1.4506012397826593,80.0,-3.8775903763491133,34.882764173152864,166.917617900908,0.9173284885446004
1.0,0.25,20.0,1.25,6340,0.16159153652342245,0.6166119373458633,1146,309.0,0.2074039088146244,25.0,-9.33230197912988,37.42337092063195,152.29352555719856,0.8884222635084243
1.0,0.25,30.0,1.0,6340,0.16159712765316223,0.6166247249583509,1146,463.5,0.31110586322193656,37.5,-9.230181371042137,37.64334052785551,152.2702071891166,0.8884021783290041
1.0,0.25,40.0,0.75,6340,0.1616032062524026,0.6166389087810572,1146,618.0,0.4148078176292488,50.0,-9.128041176636504,37.88021078557422,161.5325933860138,0.8883154468724179
1.0,0.5,20.0,1.0,6340,0.16160918592638518,0.6166615021514736,1146,309.0,0.2756501804417252,30.0,-9.266655290493398,37.46316113960441,152.21251542459663,0.8883400968653424
1.0,0.25,50.0,1.0,6340,0.16160976630927634,0.6166544846442968,1146,772.5,0.5185097720365609,62.5,-9.025881330231167,38.133667996917424,171.52143113119382,0.8880452099129491
0.85,1.0,60.0,1.35,6340,0.16161242590235428,0.6169603006007882,1146,828.0,1.6812894222606973,80.0,-5.080900646504556,36.42823366086642,167.20798194292115,0.909440490808748
1.0,0.25,60.0,1.25,6340,0.16161680172585216,0.616671448304879,1146,927.0,0.6222117264438731,75.0,-8.923701771120301,38.40338461452098,181.5137202195167,0.8879219599483262
0.9,1.0,50.0,1.15,6340,0.1616187216131851,0.6169323440320833,1146,730.0,1.4506012397826593,80.0,-6.137760294725503,36.88440952377712,174.46043367240418,0.9033884610644232
1.0,0.5,30.0,0.75,6340,0.16162561142138301,0.61670507918747,1146,463.5,0.41347527066258777,45.0,-9.131622362297934,37.706251806499566,153.76959594407913,0.8883200116859226
0.75,1.0,60.0,1.25,6340,0.16162804988346666,0.6170058043835126,1146,828.0,1.6812894222606973,80.0,-3.6520994553878205,35.18600806838741,162.44623665735503,0.9173184459548904
1.0,0.75,20.0,1.25,6340,0.16163987639020166,0.6167596079748616,1146,309.0,0.39076112057428947,35.0,-9.152450537927237,37.52811200488775,152.00168092604213,0.8884870838601888
1.0,0.5,40.0,0.5,6340,0.16164380869042388,0.6167540325580615,1146,618.0,0.5513003608834504,60.0,-8.996510161876884,37.968351358171454,164.51676044235796,0.8883574431566598
1.0,0.5,50.0,0.75,6340,0.16166372908142773,0.6168083389475281,1146,772.5,0.689125451104313,75.0,-8.861318432760035,38.249109972455535,175.27803791723477,0.8882488005952517
0.9,1.0,60.0,1.4,6340,0.16166473073415882,0.6170879037711998,1146,828.0,1.6812894222606973,80.0,-5.914565007106907,37.17527724696883,169.7314278434094,0.9035107980663449
1.0,0.75,30.0,1.0,6340,0.1616753602704972,0.6168647467146832,1146,463.5,0.5861416808614343,52.5,-8.960151312768101,37.81095943011917,158.94870350554743,0.8884743023823761
1.0,0.5,60.0,1.0,6340,0.16168532314651698,0.6168679743632516,1146,917.0,0.821653931155684,80.0,-8.731343602753803,38.52873320820341,186.05345920446575,0.8882798413270826
1.0,1.0,20.0,1.5,6340,0.16169379783090412,0.6169530310596882,1146,309.0,0.5988171976007182,40.0,-8.94257740731683,37.652329029761276,152.62440270451611,0.8889526948376524
1.0,0.75,40.0,0.75,6340,0.16171491788293949,0.6169836071762459,1146,618.0,0.7815222411485789,70.0,-8.767663964005948,38.117646636422364,171.4785137339661,0.888446000538648
1.0,0.75,50.0,1.0,6340,0.16175836595989707,0.6171161694696392,1146,765.0,0.9729303438086051,80.0,-8.578961445571164,38.43358984317311,184.05200571137289,0.8886322449296333
1.0,1.0,30.0,1.25,6340,0.1617645708432747,0.617187022753035,1146,463.5,0.8982257964010771,60.0,-8.645105314375952,38.016424853982755,168.3149767858729,0.8895935946536904
1.0,0.75,60.0,1.25,6340,0.16179263896992563,0.6172116265997988,1146,886.3125,1.139765040215515,80.0,-8.415057601402697,38.70033880373566,182.8571082247306,0.8887701022974704
1.0,1.0,40.0,1.0,6340,0.16184440765571387,0.6174565310964886,1146,618.0,1.1976343952014363,80.0,-8.347296553945409,38.417306518271175,184.13425223912122,0.8897862297835822
0.5,0.25,20.0,0.75,6340,0.16186854424768415,0.6174665201586401,1146,309.0,0.2074039088146244,25.0,-2.5644305404281598,31.41105014621813,127.91296938412597,0.9290939359243625
0.5,0.0,0.0,1.5,6340,0.16186877294418162,0.6174711741597255,1146,0.0,0.0,0.0,-2.771037728040491,30.982480700684835,127.91296938412597,0.9290742678926408
0.5,0.25,30.0,0.5,6340,0.16186922685390243,0.6174661313298903,1146,463.5,0.31110586322193656,37.5,-2.4611213261414813,31.655571665895106,131.53165216778405,0.9290358684021365
0.5,0.25,40.0,0.25,6340,0.16187043416822186,0.6174670319792486,1146,618.0,0.4148078176292488,50.0,-2.357808338423184,31.919649970390836,137.39718141079197,0.929019010089232
0.5,0.5,20.0,0.5,6340,0.16187179740969151,0.617473997258904,1146,309.0,0.2756501804417252,30.0,-2.4968336758458696,31.44522456314721,127.91296938412597,0.9291454474360147
0.5,0.25,50.0,0.5,6340,0.1618721611061294,0.6174692201123366,1146,772.5,0.5185097720365609,62.5,-2.2544915586241947,32.2028071233501,147.64792393621474,0.9290677118820668
0.5,0.25,60.0,0.75,6340,0.16187440247551155,0.6174726937190831,1146,927.0,0.6222117264438731,75.0,-2.151170969048626,32.50454795391956,157.90021884655448,0.928945020827041
0.5,0.5,30.0,0.25,6340,0.16187663626412527,0.6174837771323649,1146,463.5,0.41347527066258777,45.0,-2.359707834531358,31.710636492072148,131.5800906022406,0.9291529400195278
0.5,0.75,20.0,0.75,6340,0.1618787573696269,0.6174971239884384,1146,309.0,0.39076112057428947,35.0,-2.3819287685823354,31.49971626288768,127.91296938412597,0.9292156904064494
0.5,0.5,40.0,0.0,6340,0.16188363440429196,0.6174991204872219,1146,618.0,0.5513003608834504,60.0,-2.222565993742946,31.998053662035208,141.1124473820389,0.9291061113725714
0.5,1.0,20.0,1.0,6340,0.16189033130210123,0.6175491304372126,1146,309.0,0.5988171976007182,40.0,-2.173425490868465,31.60709299068594,127.93013517709812,0.9292081978229365
0.5,0.5,50.0,0.25,6340,0.1618927459947327,0.6175200156816606,1146,772.5,0.689125451104313,75.0,-2.085408084046491,32.30692705466295,152.30843896730084,0.9291885297912147
0.5,0.75,30.0,0.5,6340,0.16189322559726232,0.6175349880847993,1146,463.5,0.5861416808614343,52.5,-2.18731582042263,31.801585036902793,135.20566449857347,0.9292344218652321
1.0,1.0,50.0,1.25,6340,0.1619009480766233,0.6176405566588542,1146,730.0,1.4506012397826593,80.0,-8.096609844563659,38.72577915076789,179.94132276316122,0.8899551278832503
0.5,0.5,60.0,0.5,6340,0.16190392370935988,0.6175464509282602,1146,917.0,0.821653931155684,80.0,-1.9535306643236736,32.61578158610229,163.51272064844784,0.9291004919349365
0.5,0.75,40.0,0.25,6340,0.1619137420443209,0.6175894211452987,1146,618.0,0.7815222411485789,70.0,-1.9926642590425465,32.13146845805523,148.1974983395137,0.9291932126559103
0.5,1.0,30.0,0.75,6340,0.1619291379937954,0.6176657011397176,1146,463.5,0.8982257964010771,60.0,-1.8745115049095629,31.989249976284277,143.83422878789088,0.9294254827448145
0.5,0.75,50.0,0.5,6340,0.16194009292001438,0.617660404877538,1146,765.0,0.9729303438086051,80.0,-1.8019469901120295,32.473413417357484,161.22058902215508,0.9294189267342405
1.0,1.0,60.0,1.5,6340,0.16194749080842996,0.6178014482381814,1146,828.0,1.6812894222606973,80.0,-7.875360328073089,39.006481609101876,175.60554991801405,0.8898574408742531
0.5,0.75,60.0,0.75,6340,0.1619612874308187,0.6177170715057339,1146,886.3125,1.139765040215515,80.0,-1.6357851735383764,32.76870535886902,160.50143908115638,0.9294104975777884
0.5,1.0,40.0,0.5,6340,0.16198529005802018,0.6178340435568542,1146,618.0,1.1976343952014363,80.0,-1.575532815055126,32.41710028603805,159.8403920234034,0.9296193533432142
0.5,1.0,50.0,0.75,6340,0.16202901381026483,0.6179711904355422,1146,730.0,1.4506012397826593,80.0,-1.3230657628139142,32.76095412808637,155.89441589021135,0.9296249727808491
0.5,1.0,60.0,1.0,6340,0.162069522591926,0.6181092079508832,1146,828.0,1.6812894222606973,80.0,-1.0949721560716181,33.07942595664973,157.24984553752938,0.9296184167702753
0.25,1.0,20.0,1.25,6340,0.16265244796262393,0.6194349111696174,1146,309.0,0.5988171976007182,40.0,-0.5289146690571598,30.347825219860894,127.91296938412597,0.9349578190962542
