win_bonus_base,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_prestige_delta,start_end_rank_correlation
4.0,1.0,0.55,0.4,0.14999999999999997,6340,0.16376864833695032,0.6221104127677147,-1.7915458912014756e-18,30.867469707596833,134.1954932645815,27.794911767869316,3.4743639709836645,0.9316994818410215
4.0,1.0,0.75,0.4,0.14999999999999997,6340,0.16376865956906364,0.6221152913368072,-3.0363771235315725e-16,31.11484802459839,136.32062016195982,28.431638044744744,3.4743639709836645,0.9314728311897522
4.0,1.0,0.65,0.45,0.0,6340,0.163775217565801,0.6221263081033719,3.584720460485857e-16,31.037700753774807,135.2617657546292,28.047280160374324,3.4743639709836645,0.9313145503630393
4.0,1.0,0.6,0.45,0.050000000000000044,6340,0.16377528832078267,0.6221252555054991,1.2041131618517893e-16,30.975923322519428,134.72956285589203,27.85522763985105,3.4743639709836645,0.9313726178852654
4.0,1.0,0.7,0.45,0.04999999999999993,6340,0.16377529723923584,0.6221277061723391,-4.8731166646230724e-18,31.099500354184457,135.79211414618908,28.239417125690014,3.4743639709836645,0.9312555462678741
4.0,1.0,0.55,0.45,0.09999999999999998,6340,0.16377551016802813,0.6221245498288543,1.8013836660250274e-16,30.914169254601973,134.1954932645815,27.794911767869316,3.4743639709836645,0.9313726178852654
4.0,1.0,0.75,0.45,0.09999999999999998,6340,0.16377552667975168,0.6221294482708893,-4.23306463173084e-16,31.16132095592541,136.32062016195982,28.431638044744744,3.4743639709836645,0.9311478403798741
4.0,1.0,0.65,0.5,0.04999999999999999,6340,0.16378217260802883,0.6221406658836863,2.3701831997006654e-16,31.08435431068888,135.2617657546292,28.047280160374324,3.4743639709836645,0.9309249360203613
4.0,1.0,0.6,0.5,0.10000000000000003,6340,0.16378224204007888,0.6221396083128252,-2.436959001099994e-16,31.02263336441989,134.72956285589203,27.85522763985105,3.4743639709836645,0.9309249360203613
4.0,1.0,0.7,0.5,0.09999999999999992,6340,0.1637822535738558,0.6221420688647968,2.3420385240224237e-16,31.146097454882806,135.79211414618908,28.239417125690014,3.4743639709836645,0.9308256592888136
4.0,1.0,0.75,0.5,0.14999999999999997,6340,0.16378248427629433,0.6221438158148039,-4.253586534778287e-16,31.207861630552436,136.32062016195982,28.431638044744744,3.4743639709836645,0.9307113973902397
4.0,1.0,0.65,0.55,0.10000000000000003,6340,0.16378921775677985,0.6221552335106697,4.799323986799914e-16,31.13107396519404,135.2617657546292,28.047280160374324,3.4743639709836645,0.930273081254727
4.0,1.0,0.7,0.55,0.14999999999999997,6340,0.16378930000294278,0.6221566413787022,5.368317843439951e-16,31.19276083752328,135.79211414618908,28.239417125690014,3.4743639709836645,0.9301850433984487
4.0,1.0,0.75,0.55,0.2,6340,0.16378953195536156,0.6221583931552236,5.997449764537123e-17,31.25446877087211,136.32062016195982,28.431638044744744,3.4743639709836645,0.9302178234513183
6.0,1.0,0.55,0.35,0.2,6340,0.16383896213348242,0.6222793689401519,-3.646548435729788e-16,31.70145834944273,137.25337764313315,29.596679721883962,5.2229434803324635,0.9297467272629361
6.0,1.0,0.6,0.35,0.15000000000000008,6340,0.16383987343078255,0.6222832954984445,6.014056129752279e-16,31.792823008725556,138.03899010989107,29.596679721883962,5.2229434803324635,0.9295519200915972
6.0,1.0,0.65,0.35,0.10000000000000003,6340,0.16384111597634324,0.6222879835231525,4.222901680493479e-16,31.884235104693087,138.8205635786819,29.596679721883962,5.2229434803324635,0.9294741845376493
6.0,1.0,0.7,0.35,0.14999999999999997,6340,0.16384268758043136,0.6222934282955734,7.243837817393511e-16,31.975691049347883,139.5981380604985,29.596679721883962,5.2229434803324635,0.9293477471908667
6.0,1.0,0.75,0.35,0.2,6340,0.1638445860665546,0.6222996251397782,1.7833356760552788e-16,32.067187372169435,140.3717532860785,29.869056851214577,5.2229434803324635,0.9292166269793886
6.0,1.0,0.55,0.4,0.14999999999999997,6340,0.1638495997676619,0.6223014003262983,-2.3983261977705826e-16,31.770461003054457,137.25337764313315,29.596679721883962,5.2229434803324635,0.9290377415480148
6.0,1.0,0.6,0.4,0.10000000000000003,6340,0.1638505137666316,0.6223053374843455,3.044587897880543e-16,31.861704574403376,138.03899010989107,29.596679721883962,5.2229434803324635,0.9289010018989019
