ucl_multiplier,uel_multiplier,uecl_multiplier,is_strict,distance_from_neutral,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
1.0,0.95,0.3,True,0.75,6340,0.16368166029427691,0.6221137843905571,-4.79157036071971e-16,24.205804887086916,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.8,0.55,True,0.6499999999999999,6340,0.16368309867385664,0.6220127407246818,-3.0211338150810816e-16,23.97208512929055,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.85,0.4,True,0.75,6340,0.16369089090126923,0.6220869138988017,-3.008234125461656e-16,23.61637142956952,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.8,0.5,True,0.7,6340,0.1636987026221289,0.6220650824336454,-1.1836569651304335e-16,23.659925013998247,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.8,0.45,True,0.75,6340,0.1637216333438139,0.6221352474087571,-2.3983919040966746e-16,23.360879991637844,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.9,0.3,True,0.7999999999999999,6340,0.16372357735349605,0.6222069467197197,-2.3906382780164703e-16,23.662128883189073,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.85,0.35,True,0.8,6340,0.1637290166735225,0.6221944873166321,-1.2119976413814012e-16,23.35561585999115,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.75,0.65,True,0.6,6340,0.16374323161640236,0.6221160044081285,-3.597619590902507e-16,24.111226568097393,104.23621148103905,24.212950686031697,0.9585441896771307
1.0,0.75,0.6,True,0.65,6340,0.1637452177065675,0.6221356998967519,-4.184465436939568e-16,23.774463729660496,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.8,0.4,True,0.7999999999999999,6340,0.1637521616555931,0.6222240728431104,-3.625895120030158e-16,23.07740341884788,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.75,0.55,True,0.7,6340,0.1637540103184594,0.622171700161295,-3.597619590902507e-16,23.446720711283035,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.75,0.5,True,0.75,6340,0.16376987302190654,0.6222247633456921,-5.815672514401058e-17,23.129908947830963,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.85,0.3,True,0.85,6340,0.1637752721254779,0.6223224730054092,-1.7961707777541635e-16,23.11608139775924,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.8,0.35,True,0.85,6340,0.16379055996618136,0.6223324366816767,1.2043743095478292e-16,22.81226582794926,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.75,0.45,True,0.8,6340,0.16379307397148937,0.6222956882509622,-4.79684839611389e-16,22.826225718423114,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.75,0.4,True,0.85,6340,0.1638238845095656,0.6223853146022795,-3.003217796966292e-16,22.538179218916582,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.7,0.6,True,0.7000000000000001,6340,0.16382661673061621,0.6223188278367869,-6.008976331741925e-16,23.254954873669348,102.95018712846797,24.212950686031697,0.9621357849425062
1.0,0.7,0.55,True,0.75,6340,0.16383567774587696,0.622355561594165,-4.804535197462452e-16,22.922556390711513,102.95018712846797,24.212950686031697,0.962346234352999
1.0,0.8,0.3,True,0.8999999999999999,6340,0.16383710048013211,0.622461257156949,-1.1940164761432944e-16,22.568563868961398,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.7,0.5,True,0.8,6340,0.16385182031381879,0.6224093960468084,2.5734232115535082e-18,22.60105668952933,102.95018712846797,24.212950686031697,0.962346234352999
1.0,0.75,0.35,True,0.9,6340,0.1638625775544677,0.6224945229589443,-1.1966880674020428e-16,22.268608184856763,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.7,0.45,True,0.8500000000000001,6340,0.16387531311215683,0.6224811324803089,-4.186940468422817e-16,22.292697052197582,102.95018712846797,24.212950686031697,0.962346234352999
1.0,0.7,0.4,True,0.9,6340,0.16390642799878874,0.62257161320097,-5.409296502411529e-16,22.00004194945284,102.95018712846797,24.212950686031697,0.962346234352999
1.0,0.75,0.3,True,0.95,6340,0.16390942578901907,0.6226242342272196,-1.7885491235289175e-16,22.020692042032465,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.65,0.55,True,0.7999999999999999,6340,0.16392847243731523,0.6225653369536502,-1.8090710265763647e-16,22.40117606864912,103.05055476127018,24.212950686031697,0.9655895228400443
1.0,0.65,0.5,True,0.85,6340,0.1639449163719526,0.622619993651337,-1.8090053202502729e-16,22.074970723347036,103.05055476127018,24.212950686031697,0.9659709839739373
1.0,0.7,0.35,True,0.9500000000000001,6340,0.16394543838686976,0.6226817214273188,-3.0082992725849725e-16,21.726000396941103,102.95018712846797,24.212950686031697,0.962346234352999
1.0,0.65,0.45,True,0.9,6340,0.16396872303627666,0.6226925944247974,-2.4087508559067595e-16,21.761915205544327,103.05055476127018,24.212950686031697,0.9659709839739373
1.0,0.7,0.3,True,1.0,6340,0.16399261741709567,0.6228123807787214,-3.595013146767076e-16,21.473837435692065,102.95018712846797,24.212950686031697,0.962346234352999
1.0,0.65,0.4,True,0.95,6340,0.16400016479331078,0.6227839842101895,-3.6310417427721553e-16,21.464631552886438,103.05055476127018,24.212950686031697,0.9659709839739373
1.0,0.65,0.35,True,1.0,6340,0.16403951553588253,0.6228950489296011,-6.22677323063866e-17,21.186100971767218,103.05055476127018,24.212950686031697,0.9659709839739373
1.0,0.6,0.5,True,0.9,6340,0.164049534931965,0.6228576105081702,1.2171442641233979e-16,21.553597486767202,103.14041158929444,24.212950686031697,0.9684799627511218
1.0,0.6,0.45,True,0.9500000000000001,6340,0.1640736778665685,0.6229311296656178,-2.408816003030077e-16,21.23585026072958,103.14041158929444,24.212950686031697,0.9691558236682357
1.0,0.65,0.3,True,1.0499999999999998,6340,0.16408704884169595,0.6230267149539838,1.2899689619425918e-18,20.929676772011206,103.05055476127018,24.212950686031697,0.9659709839739373
1.0,0.6,0.4,True,1.0,6340,0.16410546940494367,0.6230234844715493,-6.04892158398484e-17,20.933941862275358,103.14041158929444,24.212950686031697,0.9691558236682357
1.0,0.6,0.35,True,1.05,6340,0.16414518390409003,0.6231355635952193,-1.0425217338952446e-18,20.650927364580795,103.14041158929444,24.212950686031697,0.9691558236682357
1.0,0.55,0.45,True,1.0,6340,0.16419055083532863,0.6231978343568909,-1.7935648928215064e-16,20.71688777150382,103.21977566986311,24.212950686031697,0.9712699767650992
1.0,0.6,0.3,True,1.1,6340,0.16419309535739876,0.6232682961966183,-5.971390915210553e-17,20.39025072232222,103.14041158929444,24.212950686031697,0.9691558236682357
1.0,0.55,0.4,True,1.0499999999999998,6340,0.16422271544329975,0.6232912114152913,5.867138741821031e-17,20.410388124155197,103.21977566986311,24.212950686031697,0.971820523961569
1.0,0.55,0.35,True,1.1,6340,0.16426281747894933,0.6234043641564327,1.1863937035124984e-16,20.122924446762006,103.21977566986311,24.212950686031697,0.971820523961569
1.0,0.55,0.3,True,1.15,6340,0.16431113132959885,0.6235382245655968,1.814282796441678e-16,19.85803332489794,103.21977566986311,24.212950686031697,0.971820523961569
