season,team_id,club_id,uefa_team_id,team_name,uefa_team_name,country,country_code,identity_method,identity_source,identity_verified
2026/27,AO-UEFA-77431,AO-UEFA-77431,77431,Pyunik Yerevan,Pyunik,Armenia,ARM,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-50110,AO-UEFA-50110,50110,Austria Wien,Austria Wien,Austria,AUT,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50030,AO-UEFA-50030,50030,FC Salzburg,Salzburg,Austria,AUT,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-63405,AO-UEFA-63405,63405,LASK,LASK,Austria,AUT,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50042,AO-UEFA-50042,50042,Rapid Wien,SK Rapid,Austria,AUT,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-50111,AO-UEFA-50111,50111,Sturm Graz,Sturm Graz,Austria,AUT,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-59890,AO-UEFA-59890,59890,Neftchi Baku,Neftchi,Azerbaijan,AZB,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-60609,AO-UEFA-60609,60609,Qarabag FK,Qarabağ,Azerbaijan,AZB,CURRENT_UEFA_FIXTURE_EXACT,UEFA_2026_27_MATCH_FEED,True
2026/27,AO-UEFA-2609356,AO-UEFA-2609356,2609356,Sabah FK,Sabah,Azerbaijan,AZB,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
2026/27,AO-UEFA-2607480,AO-UEFA-2607480,2607480,Zira FK,Zire,Azerbaijan,AZB,HISTORICAL_UEFA_REGISTRY_EXACT,/Users/buycell/Desktop/Akil Oyunu Elo/data/club_identity/club_registry.csv,True
