baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:NONE,log_loss_1x2,conservative_envelope,1587,,0.0009759241425853625,-0.000867411871035156,0.00283636717422693,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,tie_or_match,1980,1485,-0.001482536236495602,-0.0032711460542101996,0.000247134076227391,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,team_season,1980,912,-0.001482536236495602,-0.002693065160102484,-0.0002494675677106156,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,calendar_month,1980,60,-0.001482536236495602,-0.004260898073856414,0.0009544045564449829,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,brier_1x2,conservative_envelope,1980,,-0.001482536236495602,-0.004260898073856414,0.0009544045564449829,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,tie_or_match,1980,1485,-0.0021425287410151797,-0.005081496156636691,0.0007133373423699893,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,team_season,1980,912,-0.0021425287410151797,-0.004060804926865579,-0.00019601263319758951,True,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,calendar_month,1980,60,-0.0021425287410151797,-0.006290518648663504,0.0015460361283972008,False,False
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,conservative_envelope,1980,,-0.0021425287410151797,-0.006290518648663504,0.0015460361283972008,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,tie_or_match,4884,3502,-0.004450114231683852,-0.006456555956133093,-0.002371860948848741,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,team_season,4884,1413,-0.004450114231683852,-0.005939992208831039,-0.0029393054294676283,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,calendar_month,4884,65,-0.004450114231683852,-0.006596805680595485,-0.0021961176296668916,True,False
