baseline_model,candidate_model,scope,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_ML_BLEND,ML_POISSON_ENSEMBLE,coverage:ONE,log_loss_1x2,conservative_envelope,1980,,-0.0018286791444240926,-0.004979163664135299,0.0010741241229604507,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,tie_or_match,4884,3502,-0.004359925004418081,-0.006346484697895505,-0.002228267323310918,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,team_season,4884,1413,-0.004359925004418081,-0.005844199790887401,-0.0028483638416958008,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,calendar_month,4884,65,-0.004359925004418081,-0.006475264828098671,-0.002339270486978884,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,brier_1x2,conservative_envelope,4884,,-0.004359925004418081,-0.006475264828098671,-0.002228267323310918,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,tie_or_match,4884,3502,-0.006370952322134965,-0.009627100359724914,-0.0032147524701482163,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,team_season,4884,1413,-0.006370952322134965,-0.008616061461703704,-0.003974217599788986,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,calendar_month,4884,65,-0.006370952322134965,-0.009710265693290025,-0.002955589596907006,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,ALL,log_loss_1x2,conservative_envelope,4884,,-0.006370952322134965,-0.009710265693290025,-0.002955589596907006,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,tie_or_match,1384,1056,-0.004198889343726999,-0.008433066306321792,0.00014881175588318983,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,team_season,1384,478,-0.004198889343726999,-0.006827637170168128,-0.0014573757952802168,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,calendar_month,1384,65,-0.004198889343726999,-0.008938542168651985,0.0007406499245886182,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,brier_1x2,conservative_envelope,1384,,-0.004198889343726999,-0.008938542168651985,0.0007406499245886182,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,tie_or_match,1384,1056,-0.005969754056828334,-0.012254698021604426,0.000571548677615487,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,team_season,1384,478,-0.005969754056828334,-0.009951814320683395,-0.0018476202355871656,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,calendar_month,1384,65,-0.005969754056828334,-0.013478508167341115,0.001152236136266713,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UCL,log_loss_1x2,conservative_envelope,1384,,-0.005969754056828334,-0.013478508167341115,0.001152236136266713,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,tie_or_match,2073,1291,-0.007050976979561337,-0.010002052142976309,-0.004060392941144759,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,team_season,2073,864,-0.007050976979561337,-0.009186379672533463,-0.004923374788749626,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,calendar_month,2073,48,-0.007050976979561337,-0.010097610782177233,-0.00417335126240038,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,brier_1x2,conservative_envelope,2073,,-0.007050976979561337,-0.010097610782177233,-0.004060392941144759,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,tie_or_match,2073,1291,-0.011029000475659845,-0.016031395357819552,-0.006023116769474524,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,team_season,2073,864,-0.011029000475659845,-0.01461806578214305,-0.007257455878465274,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,calendar_month,2073,48,-0.011029000475659845,-0.016291906656194406,-0.006100064259717103,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UECL,log_loss_1x2,conservative_envelope,2073,,-0.011029000475659845,-0.016291906656194406,-0.006023116769474524,True,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,brier_1x2,tie_or_match,1427,1155,-0.0006068224185207377,-0.00421357591020153,0.0032167885470884765,False,False
CURRENT_AO,ML_POISSON_ENSEMBLE,competition:UEL,brier_1x2,team_season,1427,538,-0.0006068224185207377,-0.0032411966734714657,0.0020292549011560195,False,False
