candidate_key,reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,reserve_cap,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
reserve_b222.816_uel0.65_uecl0.45_semifinal_heavy_d0.25,222.81639928698755,0.65,0.45,SEMIFINAL_HEAVY,0.25,297.0885323826501,6340,0.5757619901494898,0.9701224685883709,95.22834778486083,9.094947017729282e-13,703.934333409919,0.9364516529341661,297.0885323826501,19114.17558950093,803.8840911342095,0.308469717658209,0.6066780693018488
reserve_b222.816_uel0.65_uecl0.45_semifinal_heavy_d0.5,222.81639928698755,0.65,0.45,SEMIFINAL_HEAVY,0.5,297.0885323826501,6340,0.5760466728574707,0.9706491569880552,95.68413583377982,9.094947017729282e-13,713.7356220412216,0.9365846978321699,297.0885323826501,18492.668233169254,767.4447780047835,0.3089466004659511,0.6067782453897429
reserve_b222.816_uel0.65_uecl0.45_semifinal_heavy_d0.75,222.81639928698755,0.65,0.45,SEMIFINAL_HEAVY,0.75,297.0885323826501,6340,0.5770191579766755,0.972397138795199,96.30787979471283,9.094947017729282e-13,728.3495829163026,0.9373068513285888,297.0885323826501,17202.715821975253,729.6694949852756,0.3091480723138757,0.6068778843624391
reserve_b222.816_uel0.65_uecl0.45_semifinal_heavy_d1,222.81639928698755,0.65,0.45,SEMIFINAL_HEAVY,1.0,297.0885323826501,6340,0.5796594733957189,0.9771606828531949,98.3082269157679,9.094947017729282e-13,744.4959384061126,0.9385220046834986,297.0885323826501,14104.04645321858,650.5762925613336,0.30843129723663276,0.6066713237948703
reserve_b222.816_uel0.65_uecl0.6_flat_d0.25,222.81639928698755,0.65,0.6,FLAT,0.25,297.0885323826501,6340,0.5866959747520868,0.9854664478037632,95.65919045342773,9.094947017729282e-13,781.4983641787958,0.9021957635231738,297.0885323826501,140042.37679686036,600.462412675533,0.29795809943371315,0.6034649402991308
reserve_b222.816_uel0.65_uecl0.6_flat_d0.5,222.81639928698755,0.65,0.6,FLAT,0.5,297.0885323826501,6340,0.5882767070198818,0.9879222887348433,96.16109639634294,9.094947017729282e-13,791.719551110345,0.9011212294400704,297.0885323826501,134051.05531479142,466.41147586508885,0.2956819565167607,0.6029367036397736
reserve_b222.816_uel0.65_uecl0.6_flat_d0.75,222.81639928698755,0.65,0.6,FLAT,0.75,297.0885323826501,6340,0.590977080020246,0.9924193728825526,97.54399431330407,9.094947017729282e-13,796.3773646125346,0.8994418192078377,297.0885323826501,120729.99730700764,372.4565003909367,0.2903783880951711,0.6009983603660969
reserve_b222.816_uel0.65_uecl0.6_flat_d1,222.81639928698755,0.65,0.6,FLAT,1.0,297.0885323826501,6340,0.5931051647397073,0.9965100935532536,98.14905518770954,9.094947017729282e-13,799.7796644797977,0.8974342794401606,297.0885323826501,90821.21258161038,341.64381767227167,0.28683702821038887,0.5993170358411091
reserve_b222.816_uel0.65_uecl0.6_gentle_ascending_d0.25,222.81639928698755,0.65,0.6,GENTLE_ASCENDING,0.25,297.0885323826501,6340,0.5802679017810847,0.9763807178797969,95.30632369520228,9.094947017729282e-13,751.9838202802216,0.9230609813436071,297.0885323826501,86025.43493058145,463.9378984602489,0.3037777862499439,0.6056438212969096
reserve_b222.816_uel0.65_uecl0.6_gentle_ascending_d0.5,222.81639928698755,0.65,0.6,GENTLE_ASCENDING,0.5,297.0885323826501,6340,0.5816909907629984,0.9785001177433366,96.13261613648598,9.094947017729282e-13,764.5922677894428,0.9231572912365977,297.0885323826501,84034.40257828336,321.1092839499953,0.30176926662888176,0.6049351611916801
reserve_b222.816_uel0.65_uecl0.6_gentle_ascending_d0.75,222.81639928698755,0.65,0.6,GENTLE_ASCENDING,0.75,297.0885323826501,6340,0.5854325058844445,0.9843155101166018,97.6249888113981,9.094947017729282e-13,775.0223291528218,0.9219655680336928,297.0885323826501,79705.044559426,242.9393173739026,0.2981838823707324,0.6038444264319693
reserve_b222.816_uel0.65_uecl0.6_gentle_ascending_d1,222.81639928698755,0.65,0.6,GENTLE_ASCENDING,1.0,297.0885323826501,6340,0.5906456717566259,0.992906870756619,98.49004710952991,9.094947017729282e-13,782.7284907585704,0.9206503455276125,297.0885323826501,65537.35342941183,209.4770862171349,0.2919343418463247,0.6015700679902823
reserve_b222.816_uel0.65_uecl0.6_knockout_ascending_d0.25,222.81639928698755,0.65,0.6,KNOCKOUT_ASCENDING,0.25,297.0885323826501,6340,0.5776566219441855,0.9727326071515692,95.17821618964454,9.094947017729282e-13,735.6990647791604,0.9291950858017887,297.0885323826501,52450.743354557286,784.4841361297464,0.30676678200322566,0.6063509997266875
reserve_b222.816_uel0.65_uecl0.6_knockout_ascending_d0.5,222.81639928698755,0.65,0.6,KNOCKOUT_ASCENDING,0.5,297.0885323826501,6340,0.5784243978758236,0.973918883290909,95.98643667984469,9.094947017729282e-13,745.6365503697939,0.9316142537035608,297.0885323826501,51474.36482664263,706.3609022222577,0.3054366542843015,0.6062974858072823
