country_code,sportsdb_league_id,league_name,provider_season,schedule_matches,table_expected_matches,coverage_rate,unique_events,unique_teams,timestamps_valid,scores_valid,quality_status,quality_reason,error_detail,source_selection,source_provider,format_expectation_method
DEN,4340,Danish Superliga,2016-2017,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2016-2017.json,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2017-2018,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2017-2018.json,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2018-2019,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2018-2019.json,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2019-2020,0,,,0,0,False,False,REJECTED,FETCH_OR_PARSE_ERROR:ValueError,Offline cache is missing: /Users/buycell/Desktop/Akil Oyunu Elo/data/domestic_league_matches_2013_2026/_source_cache/table/DEN/2019-2020.json,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2020-2021,193,220.0,0.8772727272727273,193,12,True,True,REJECTED,TABLE_COVERAGE_BELOW_95_PCT,,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2021-2022,193,132.0,1.4621212121212122,193,12,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2022-2023,193,132.0,1.4621212121212122,193,12,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2023-2024,193,132.0,1.4621212121212122,193,12,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2024-2025,193,132.0,1.4621212121212122,193,12,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
DEN,4340,Danish Superliga,2025-2026,193,162.0,1.191358024691358,193,12,True,True,ACCEPTED,ACCEPTED,,EXISTING_ACCEPTED,,
