ao_club_id,team_name,country,country_code,domestic_league,selection_reason,is_expansion_target_country
AO-UEFA-64227,Lech Poznan,Poland,POL,Poland top division,UPCOMING_UEL_PLAYOFF,False
AO-UEFA-50147,Benfica,Portugal,POR,Portugal top division,UPCOMING_UEL_PLAYOFF,False
AO-UEFA-50064,FC Porto,Portugal,POR,Portugal top division,DIRECT_CL-LS,False
AO-UEFA-50149,Sporting CP Lisbon,Portugal,POR,Portugal top division,DIRECT_CL-LS,False
AO-UEFA-2603107,União Torreense,Portugal,POR,Portugal top division,DIRECT_EL-LS,False
AO-UEFA-2606501,Universitatea Craiova,Romania,ROM,Romania top division,UPCOMING_UEL_PLAYOFF,True
AO-UEFA-50050,Celtic,Scotland,SCO,Scotland top division,UPCOMING_UCL_PLAYOFF,True
AO-UEFA-59030,NK Celje,Slovenia,SLO,Slovenia top division,UPCOMING_UCL_PLAYOFF,True
AO-UEFA-50069,Red Star Belgrade,Serbia,SRB,Serbia top division,UPCOMING_UEL_PLAYOFF,True
AO-UEFA-80409,FC Thun,Switzerland,SUI,Switzerland top division,UPCOMING_UEL_PLAYOFF,False
AO-UEFA-52797,Slovan Bratislava,Slovakia,SVK,Slovakia top division,UPCOMING_UCL_PLAYOFF,True
AO-UEFA-74233,Mjällby AIF,Sweden,SWE,Sweden top division,UPCOMING_UEL_PLAYOFF,False
AO-UEFA-50157,Besiktas,Türkiye,TUR,Türkiye top division,UPCOMING_UEL_PLAYOFF,False
AO-UEFA-52692,Fenerbahçe,Türkiye,TUR,Türkiye top division,UPCOMING_UCL_PLAYOFF,False
AO-UEFA-50067,Galatasaray,Türkiye,TUR,Türkiye top division,DIRECT_CL-LS,False
AO-UEFA-52731,Trabzonspor,Türkiye,TUR,Türkiye top division,UPCOMING_UEL_PLAYOFF,False
AO-UEFA-52707,Shakhtar Donetsk,Ukraine,UKR,Ukraine top division,DIRECT_CL-LS,True
