country_code,source_team_id,source_club_key,source_team_name,ao_club_id,identity_method,identity_score,runner_up_score,identity_ambiguous
ARM,137898,THESPORTSDB:137898,Gandzasar,AO-UEFA-92219,EXACT_NAME,1.0,1.0,False
ARM,140092,THESPORTSDB:140092,Van,,NO_AO_COUNTERPART,0.35294117647058826,0.35294117647058826,False
ARM,140688,THESPORTSDB:140688,BKMA,,NO_AO_COUNTERPART,0.25,0.23529411764705882,False
ARM,140689,THESPORTSDB:140689,Lernayin Artsakh,,NO_AO_COUNTERPART,0.4,0.36363636363636365,False
ARM,140690,THESPORTSDB:140690,Noravank,,NO_AO_COUNTERPART,0.5,0.45454545454545453,False
ARM,140692,THESPORTSDB:140692,Sevan,,NO_AO_COUNTERPART,0.5,0.42105263157894735,False
ARM,140695,THESPORTSDB:140695,West Armenia,,NO_AO_COUNTERPART,0.6923076923076923,0.32,False
ARM,HF:100003685,THESPORTSDB:HF:100003685,Lori,,NO_AO_COUNTERPART,0.3076923076923077,0.25,False
ARM,HF:100003698,THESPORTSDB:HF:100003698,Yerevan,,NO_AO_COUNTERPART,0.6666666666666666,0.6666666666666666,False
ARM,HF:1855,THESPORTSDB:HF:1855,Pyunik Yerevan,AO-UEFA-77431,EXACT_NAME,1.0,1.0,False
ARM,HF:1863,THESPORTSDB:HF:1863,FC Urartu,AO-UEFA-77866,EXACT_NAME,1.0,1.0,False
ARM,HF:1882,THESPORTSDB:HF:1882,Alashkert,AO-UEFA-2605268,EXACT_NAME,1.0,1.0,False
ARM,HF:1892,THESPORTSDB:HF:1892,Ararat-Armenia,AO-UEFA-2610304,EXACT_NAME,1.0,1.0,False
ARM,HF:1936,THESPORTSDB:HF:1936,FC Noah,AO-UEFA-2609987,EXACT_NAME,1.0,1.0,False
ARM,HF:1960,THESPORTSDB:HF:1960,Shirak,AO-UEFA-59877,EXACT_NAME,1.0,1.0,False
ARM,HF:2607,THESPORTSDB:HF:2607,Ararat,,NO_AO_COUNTERPART,0.6666666666666666,0.6,False
ARM,HF:4951,THESPORTSDB:HF:4951,Ulisses,,NO_AO_COUNTERPART,0.375,0.3076923076923077,False
ARM,HF:5178,THESPORTSDB:HF:5178,Mika,,NO_AO_COUNTERPART,0.4,0.4,False
ARM,HF:5193,THESPORTSDB:HF:5193,Gandzasar,AO-UEFA-92219,EXACT_NAME,1.0,1.0,False
