fold,candidate,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_rank_mae,zero_exposure_extreme_overrank_count,log_loss,pilot_guardrails_pass,pilot_guardrail_violations,pilot_como_rating,pilot_como_rank,pilot_top_team,historical_zero_guardrail_pass,eligible
3,country_b20_g1.0_c140,0.4180973584186946,0.6596215099201941,0.46166671539222753,0.24427061562061372,0.19820978606789877,24,0.6314733483269918,True,,758.3157894736842,8,Arsenal,True,True
3,country_b25_g1.0_c140,0.4178388943125069,0.6595665889139958,0.46188764151453215,0.24382129240101746,0.1949026125941776,22,0.632356366903158,True,,745.6543897155882,9,Arsenal,True,True
3,country_b30_g1.6_c180,0.41777920688631287,0.6593465199857108,0.46754335024553256,0.24373326183538044,0.19832913227514393,19,0.6310389174956792,True,,756.3124140660332,8,Arsenal,True,True
3,country_b30_g1.0_c140,0.41770204848456965,0.65968579137931,0.46184738386557883,0.24381225202788093,0.18907836793092392,20,0.6331627627483452,True,,735.4959193940458,10,Arsenal,True,True
3,country_b25_g2.0_c180,0.4175672879279775,0.6592683561262108,0.47499101530189325,0.24382478735244387,0.20926531710812266,15,0.6304945860871972,True,,769.0960718456752,8,Arsenal,True,True
3,country_b25_g1.4_c140,0.4173851539352647,0.6589026811059905,0.46754335024553256,0.24361034154943226,0.19473475140408678,19,0.6323172874885448,True,,740.8051920923251,9,Arsenal,True,True
3,country_b35_g1.4_c180,0.4172561791648579,0.6592733326212619,0.4638799041907822,0.24366517967138604,0.1928334758746816,19,0.6315944663676278,True,,748.7656223002252,8,Arsenal,True,True
3,country_b15_g1.0_c100,0.41669624044971965,0.6593763035295768,0.4658156378338329,0.24405176712079046,0.18921676972909895,19,0.6340949101895793,True,,718.3157894736842,10,Arsenal,True,True
3,country_b20_g2.0_c140,0.4166898283010895,0.6588772949795595,0.4694354597463377,0.24372729664957316,0.21053980374178596,13,0.6314393970023237,True,,758.3157894736842,8,Arsenal,True,True
3,country_b35_g2.0_c220,0.4165681524799869,0.6588867726706736,0.4694354597463377,0.24377238766744594,0.20924367199103752,13,0.6312400635631966,True,,759.8623529446626,8,Arsenal,True,True
3,country_b30_g1.2_c140,0.41649255880751274,0.6587703185490733,0.46184738386557883,0.243797593095079,0.1886987973081176,19,0.6332297482604701,True,,731.2371042429025,10,Arsenal,True,True
3,country_b30_g2.0_c180,0.41639712916054566,0.6588256562972318,0.4674029394211345,0.24350655694489565,0.21044787420061584,12,0.6323724287087862,True,,746.9595627064718,8,Arsenal,True,True
3,country_b35_g1.6_c180,0.41610880601122774,0.6586694772445436,0.465731756042634,0.24387545394833884,0.20084613553245215,16,0.6322361811081187,True,,742.535275743589,8,Arsenal,True,True
3,country_b30_g0.8_c140,0.4160334591056254,0.6590498750356176,0.46744656356338,0.24451141273120391,0.19494940989973045,25,0.6335327887973071,True,,739.853355766076,10,Arsenal,True,True
3,country_b35_g1.2_c140,0.4160134143464665,0.658759681101356,0.4715116042137865,0.24389209659978225,0.18877581206318017,19,0.6340720183081192,True,,722.0669745259245,10,Arsenal,True,True
3,country_b30_g1.4_c140,0.4159341300255295,0.6586663545800882,0.4675836078944859,0.24390308806900704,0.1963403667492374,17,0.6335769138327567,True,,727.0746782329608,10,Arsenal,True,True
3,country_b25_g1.6_c140,0.4159236479165149,0.6585814732474501,0.4694354597463377,0.2439075845247304,0.20339452744617967,16,0.6326385225228954,True,,738.4252379266812,9,Arsenal,True,True
3,country_b35_g1.0_c140,0.41575640488569615,0.6588389362074483,0.4658156378338329,0.24406255837234123,0.18827681472249172,19,0.6338227083185222,True,,727.64404876329,10,Arsenal,True,True
3,country_b20_g1.2_c100,0.41541024636488105,0.6583441679406192,0.4715116042137865,0.24410352350881223,0.1917399077393451,19,0.6345163398715359,True,,718.3157894736842,10,Arsenal,True,True
3,country_current,0.41532110147120727,0.6589593549444871,0.4614457892699228,0.24489265999160503,0.19802292108395883,25,0.6329687328746638,True,,748.1243760474089,9,Arsenal,True,True
3,country_b35_g0.8_c140,0.4152046058175017,0.6587006702155829,0.4656349693604815,0.2445400484857636,0.1930865751429608,24,0.6340003770113358,True,,733.3991225416552,10,Arsenal,True,True
3,country_b20_g0.8_c100,0.41506995701898886,0.6586059725997101,0.46396378598198096,0.2442661921530714,0.1897955072512483,23,0.6352965831268672,True,,718.3157894736842,10,Arsenal,True,True
3,country_b20_g1.0_c100,0.41485628479526077,0.6581736508983731,0.4676272320367314,0.24425415011074936,0.18998722069484938,19,0.6347456746128519,True,,718.3157894736842,10,Arsenal,True,True
3,country_b20_g1.4_c100,0.4148542893756673,0.6580795389913063,0.46951934153753655,0.24414746655438732,0.20126764790243268,17,0.6345055996631429,True,,718.3157894736842,10,Arsenal,True,True
3,country_b15_g1.2_c100,0.4144784107057153,0.6581064333067034,0.4658156378338329,0.24440622385184477,0.18975544185510115,19,0.6336131636476137,True,,718.3157894736842,10,Arsenal,True,True
3,country_b25_g0.8_c100,0.41444378998813064,0.6584804833063035,0.46396378598198096,0.24420880748119658,0.1920289260184053,21,0.6359661466006449,True,,710.0564939390396,10,Arsenal,True,True
3,country_b15_g1.6_c100,0.41439617016857316,0.6578913016286515,0.46970001001088796,0.24446517301067697,0.2002685749425154,16,0.6332626651960507,True,,718.3157894736842,10,Arsenal,True,True
3,country_b15_g1.4_c100,0.41414963030074575,0.6578543801190461,0.46965975236193463,0.24454886453300048,0.19238546530051623,19,0.6333575603479924,True,,718.3157894736842,10,Arsenal,True,True
3,country_b35_g1.4_c140,0.4140735330280339,0.657981453990801,0.46951934153753655,0.2441631521566668,0.20090078723219054,16,0.6345872984795761,True,,716.662394455029,10,Arsenal,True,True
3,country_b30_g1.6_c140,0.41383149157468496,0.6576974020477043,0.4653704190959312,0.24442466660791018,0.2066998729191238,14,0.6341010389010966,True,,723.0064598028673,10,Arsenal,True,True
3,country_b25_g2.0_c140,0.4138003476819187,0.6576505736974314,0.4653704190959312,0.24414738810960215,0.21137513320147175,11,0.633609474818189,True,,733.7527958427576,8,Arsenal,True,True
