candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count
country_b20_g1.2_c260,2024/25,UCL,81,0.44260784924798674,0.6649899396378269,0.38095238095238093,0.24096936442615455,6,0.31378600823045266,0.2890946502057613,3
country_b20_g1.2_c260,2024/25,UEL,76,0.45910669699511664,0.6761006289308176,0.5789473684210527,0.23891966759002767,9,0.2492690058479532,0.20906432748538015,3
country_b20_g1.2_c260,2024/25,UECL,164,0.37161799736611645,0.645891364902507,0.43902439024390244,0.2523423557406306,31,0.286978756884343,0.21931549960660895,7
country_b20_g1.2_c260,2025/26,UCL,82,0.42569937852441686,0.6650819672131147,0.42857142857142855,0.2453896490184414,1,0.11585365853658536,0.11585365853658536,0
country_b20_g1.2_c260,2025/26,UEL,77,0.43118361668936134,0.6642052079284881,0.65,0.24354865913307466,6,0.3441558441558441,0.3441558441558441,4
country_b20_g1.2_c260,2025/26,UECL,164,0.32153433359713496,0.623011120615911,0.4634146341463415,0.27011451516954194,23,0.28764581124072114,0.2148727465535525,5
country_b20_g1.2_c300,2021/22,UCL,80,0.4373997827845362,0.663769123783032,0.4,0.24921875,0,0.0,0.0,0
country_b20_g1.2_c300,2021/22,UEL,58,0.4479260974938891,0.667348329925017,0.5333333333333333,0.2523781212841855,1,0.20689655172413793,0.20689655172413793,0
country_b20_g1.2_c300,2021/22,UECL,181,0.3467215557117741,0.6350112803158489,0.45652173913043476,0.2600958456701566,31,0.2685795758331848,0.19497415790411685,8
country_b20_g1.2_c300,2022/23,UCL,78,0.3460515499439049,0.6323036844064012,0.55,0.25690335305719925,2,0.08333333333333334,0.06730769230769232,0
country_b20_g1.2_c300,2022/23,UEL,57,0.4038374183125945,0.6477039067854695,0.4666666666666667,0.24315173899661435,5,0.34561403508771926,0.2859649122807017,2
country_b20_g1.2_c300,2022/23,UECL,177,0.34636478455606884,0.6335583413693346,0.4444444444444444,0.26189792205304985,19,0.30523342253939933,0.22747546833184656,6
country_b20_g1.2_c300,2023/24,UCL,78,0.4072303291974466,0.6573323507737656,0.45,0.23668639053254437,2,0.4102564102564103,0.4102564102564103,1
country_b20_g1.2_c300,2023/24,UEL,57,0.6872658204165567,0.7738589211618258,0.6,0.1677439212065251,3,0.23391812865497075,0.23391812865497075,1
country_b20_g1.2_c300,2023/24,UECL,178,0.3568143388494764,0.6371038732394366,0.4,0.2611728317131675,23,0.34208597948216907,0.23632144601856372,5
country_b20_g1.2_c300,2024/25,UCL,81,0.42387312547029415,0.6592890677397719,0.38095238095238093,0.24218869074836155,6,0.3590534979423869,0.34670781893004116,3
country_b20_g1.2_c300,2024/25,UEL,76,0.45410213123546617,0.6749213836477987,0.631578947368421,0.23666897506925208,9,0.2521929824561403,0.23099415204678364,4
country_b20_g1.2_c300,2024/25,UECL,164,0.36879422385542704,0.6453690807799443,0.43902439024390244,0.2550193337299226,31,0.29779701022816674,0.2370180959874115,7
country_b20_g1.2_c300,2025/26,UCL,82,0.4250420208089978,0.6640983606557377,0.38095238095238093,0.2447947650208209,1,0.11585365853658536,0.11585365853658536,0
country_b20_g1.2_c300,2025/26,UEL,77,0.4164282837988509,0.6560435289545278,0.6,0.2492831843481194,6,0.41774891774891776,0.41774891774891776,4
country_b20_g1.2_c300,2025/26,UECL,164,0.31772351346262423,0.6220701454234389,0.4634146341463415,0.27007733491969066,23,0.2982502651113467,0.23183987274655354,7
country_b20_g1.2_c360,2021/22,UCL,80,0.43286261223456823,0.6634214186369958,0.45,0.25078125,0,0.0,0.0,0
country_b20_g1.2_c360,2021/22,UEL,58,0.4492041051485342,0.6659850034083163,0.4666666666666667,0.2544589774078478,1,0.27586206896551724,0.27586206896551724,0
country_b20_g1.2_c360,2021/22,UECL,181,0.33428105487620685,0.6300761421319797,0.43478260869565216,0.2627209181648912,31,0.27945107823917303,0.21814293352343606,8
country_b20_g1.2_c360,2022/23,UCL,78,0.33030161228634947,0.6267212504652029,0.55,0.2621630506245891,2,0.08333333333333334,0.08333333333333334,0
country_b20_g1.2_c360,2022/23,UEL,57,0.40096429252946664,0.6463331048663468,0.5333333333333333,0.2425361649738381,5,0.38421052631578945,0.3350877192982456,3
country_b20_g1.2_c360,2022/23,UECL,177,0.33703073776041365,0.6294043468585416,0.4444444444444444,0.2644195473842127,19,0.30434136187927446,0.23996431757359496,6
country_b20_g1.2_c360,2023/24,UCL,78,0.39545889723949845,0.6543846720707442,0.45,0.23783694937541086,2,0.5,0.5,1
country_b20_g1.2_c360,2023/24,UEL,57,0.6618333518513492,0.7634854771784232,0.6,0.1742074484456756,3,0.3157894736842105,0.3157894736842105,1
country_b20_g1.2_c360,2023/24,UECL,178,0.35575545300047334,0.6363703051643192,0.4222222222222222,0.25918444640828175,23,0.34452857840742546,0.25366389838788467,6
country_b20_g1.2_c360,2024/25,UCL,81,0.3951457911339901,0.647887323943662,0.42857142857142855,0.24447492760249961,6,0.4393004115226337,0.43209876543209874,4
country_b20_g1.2_c360,2024/25,UEL,76,0.4314295128768287,0.6662735849056604,0.5789473684210527,0.2359764542936288,9,0.277046783625731,0.2697368421052631,4
country_b20_g1.2_c360,2024/25,UECL,164,0.36283968480693113,0.6431058495821727,0.43902439024390244,0.25899762046400954,31,0.31018882769472855,0.25835955940204564,7
country_b20_g1.2_c360,2025/26,UCL,82,0.4185232234644255,0.6631147540983606,0.42857142857142855,0.24643069601427717,1,0.1646341463414634,0.1646341463414634,0
country_b20_g1.2_c360,2025/26,UEL,77,0.38374528809195685,0.6455499417022931,0.55,0.25586102209478834,6,0.4913419913419914,0.4913419913419914,4
country_b20_g1.2_c360,2025/26,UECL,164,0.3111554609792554,0.6194183062446535,0.4634146341463415,0.2716017251635931,23,0.3040827147401909,0.24920466595970311,7
country_b20_g1.4_c100,2021/22,UCL,80,0.44465452944516193,0.6662030598052852,0.4,0.2446875,0,0.0,0.0,0
country_b20_g1.4_c100,2021/22,UEL,58,0.37763567648841107,0.6400817995910021,0.4,0.25980975029726516,1,0.10344827586206896,0.0,0
country_b20_g1.4_c100,2021/22,UECL,181,0.350647653124449,0.6371263395375071,0.4782608695652174,0.2563719056194866,31,0.23739083942256284,0.08349670290500802,3
country_b20_g1.4_c100,2022/23,UCL,78,0.3665149725938675,0.6367696315593598,0.55,0.25164365548980927,2,0.14102564102564102,0.0,0
country_b20_g1.4_c100,2022/23,UEL,57,0.3750735113246896,0.6401644962302947,0.4,0.24961526623576488,5,0.21228070175438596,0.08070175438596491,0
country_b20_g1.4_c100,2022/23,UECL,177,0.34208343383352896,0.6322973073214153,0.4666666666666667,0.25774841201442755,19,0.2710377639012786,0.11299435028248589,3
country_b20_g1.4_c100,2023/24,UCL,78,0.4173565664397118,0.6635961680176861,0.45,0.23816568047337272,2,0.14743589743589744,0.09615384615384617,0
country_b20_g1.4_c100,2023/24,UEL,57,0.6669394845362556,0.7524204702627939,0.5333333333333333,0.1825176977531548,3,0.3450292397660819,0.07602339181286549,0
country_b20_g1.4_c100,2023/24,UECL,178,0.3260796918493415,0.6254401408450704,0.4888888888888889,0.2691579346042166,23,0.2966536394723987,0.11003908158280411,4
country_b20_g1.4_c100,2024/25,UCL,81,0.4729494619680482,0.6753856472166331,0.42857142857142855,0.23030025910684349,6,0.12037037037037036,0.07201646090534979,0
country_b20_g1.4_c100,2024/25,UEL,76,0.4798853222347704,0.6867138364779874,0.5263157894736842,0.23822714681440438,9,0.28581871345029236,0.1067251461988304,1
country_b20_g1.4_c100,2024/25,UECL,164,0.3584311686697726,0.6407555710306406,0.5121951219512195,0.25152439024390244,31,0.254720692368214,0.11123131392604249,6
country_b20_g1.4_c100,2025/26,UCL,82,0.44006264460632316,0.67,0.38095238095238093,0.24152290303390833,1,0.0060975609756097615,0.0,0
country_b20_g1.4_c100,2025/26,UEL,77,0.4271982106060166,0.6630392537893509,0.55,0.2430426716141002,6,0.1926406926406927,0.10173160173160173,0
country_b20_g1.4_c100,2025/26,UECL,164,0.3306392601996829,0.6245508982035928,0.4146341463414634,0.26725163593099344,23,0.2330328738069989,0.09424708377518556,3
country_b20_g1.4_c140,2021/22,UCL,80,0.4434138968729051,0.6655076495132128,0.4,0.24593749999999998,0,0.0,0.0,0
country_b20_g1.4_c140,2021/22,UEL,58,0.40936767142569563,0.6509884117246081,0.4,0.2556480380499406,1,0.017241379310344834,0.0,0
country_b20_g1.4_c140,2021/22,UECL,181,0.36330239791804475,0.6420614777213762,0.4782608695652174,0.253746833124752,31,0.2430939226519337,0.108002138656211,3
country_b20_g1.4_c140,2022/23,UCL,78,0.3654292104682452,0.6382582806103461,0.55,0.25164365548980927,2,0.09615384615384616,0.0,0
country_b20_g1.4_c140,2022/23,UEL,57,0.3684783816861461,0.636737491432488,0.4,0.2508464142813174,5,0.2087719298245614,0.10877192982456141,0
country_b20_g1.4_c140,2022/23,UECL,177,0.3438258184945729,0.6331132705288925,0.4666666666666667,0.2573653803185547,19,0.27192982456140347,0.13722866488254537,4
country_b20_g1.4_c140,2023/24,UCL,78,0.41386212184981175,0.6624907885040531,0.45,0.23783694937541092,2,0.16025641025641021,0.1346153846153846,0
country_b20_g1.4_c140,2023/24,UEL,57,0.6752860475788914,0.760027662517289,0.5333333333333333,0.18436441982148355,3,0.31578947368421056,0.09941520467836258,0
country_b20_g1.4_c140,2023/24,UECL,178,0.33242006740141644,0.6267605633802817,0.4666666666666667,0.2651180406514329,23,0.3008060576453346,0.1342208109428432,5
country_b20_g1.4_c140,2024/25,UCL,81,0.46613993554642336,0.6730382293762576,0.38095238095238093,0.23289132754153333,6,0.14506172839506173,0.10288065843621398,1
country_b20_g1.4_c140,2024/25,UEL,76,0.47143838941944866,0.6812106918238994,0.5263157894736842,0.24238227146814398,9,0.28581871345029236,0.13742690058479534,1
country_b20_g1.4_c140,2024/25,UECL,164,0.3737835357195639,0.6483286908077994,0.5365853658536586,0.24721148126115405,31,0.261014948859166,0.139948859166011,6
country_b20_g1.4_c140,2025/26,UCL,82,0.44284545893493044,0.6726229508196722,0.38095238095238093,0.24063057703747767,1,0.0060975609756097615,0.0,0
country_b20_g1.4_c140,2025/26,UEL,77,0.43891450474401,0.6704236300038865,0.55,0.23966942148760328,6,0.2056277056277057,0.1471861471861472,0
country_b20_g1.4_c140,2025/26,UECL,164,0.34895378356387646,0.6337895637296835,0.3902439024390244,0.2592207019631172,23,0.2216330858960763,0.11664899257688231,5
country_b20_g1.4_c180,2021/22,UCL,80,0.4499478950867911,0.6675938803894298,0.4,0.2453125,0,0.0,0.0,0
country_b20_g1.4_c180,2021/22,UEL,58,0.42934823012392687,0.6591683708248125,0.4,0.25089179548156954,1,0.03448275862068967,0.03448275862068967,0
country_b20_g1.4_c180,2021/22,UECL,181,0.3677297646870638,0.6433305132543711,0.45652173913043476,0.25313635114923233,31,0.2443414721083586,0.12395294956335767,4
country_b20_g1.4_c180,2022/23,UCL,78,0.3590551481072395,0.6352809825083736,0.55,0.2526298487836949,2,0.10256410256410256,0.016025641025641024,0
country_b20_g1.4_c180,2022/23,UEL,57,0.37726100481866187,0.6408498971898561,0.4,0.24961526623576488,5,0.23333333333333334,0.1385964912280702,0
country_b20_g1.4_c180,2022/23,UECL,177,0.35129678647760065,0.6364513018322083,0.4666666666666667,0.2572696223945865,19,0.28085043116265246,0.160273565269105,4
country_b20_g1.4_c180,2023/24,UCL,78,0.42745729678716043,0.6669123065585851,0.45,0.2335634451019066,2,0.1730769230769231,0.1730769230769231,0
country_b20_g1.4_c180,2023/24,UEL,57,0.6795084265298716,0.76417704011065,0.6,0.1825176977531548,3,0.304093567251462,0.1345029239766082,1
country_b20_g1.4_c180,2023/24,UECL,178,0.3385728195953178,0.6285211267605634,0.4666666666666667,0.26325590203257165,23,0.3110649731314118,0.15962383976551053,5
country_b20_g1.4_c180,2024/25,UCL,81,0.45688625523389803,0.6696847753185782,0.38095238095238093,0.23700655387898187,6,0.212962962962963,0.17592592592592593,1
country_b20_g1.4_c180,2024/25,UEL,76,0.4739130227646903,0.6800314465408805,0.5263157894736842,0.24082409972299165,9,0.26973684210526316,0.15935672514619884,3
country_b20_g1.4_c180,2024/25,UECL,164,0.37457590703279847,0.6491121169916435,0.5121951219512195,0.2492563950029744,31,0.27360346184107,0.16689614476789927,6
country_b20_g1.4_c180,2025/26,UCL,82,0.4381672631935315,0.6722950819672131,0.38095238095238093,0.24241522903033905,1,0.0060975609756097615,0.0,0
country_b20_g1.4_c180,2025/26,UEL,77,0.4480582792362324,0.6746987951807228,0.65,0.23427222128520828,6,0.21212121212121215,0.19047619047619047,1
country_b20_g1.4_c180,2025/26,UECL,164,0.34869761712187464,0.6331052181351583,0.43902439024390244,0.25896044021415826,23,0.24151643690349947,0.14806468716861082,5
country_b20_g1.4_c220,2021/22,UCL,80,0.4445127428654755,0.6648122392211405,0.4,0.24718749999999998,0,0.0,0.0,0
country_b20_g1.4_c220,2021/22,UEL,58,0.4311249724730676,0.6578050443081118,0.4666666666666667,0.2502972651605232,1,0.06896551724137931,0.06896551724137931,0
country_b20_g1.4_c220,2021/22,UECL,181,0.36797783663846517,0.6431190073322053,0.4782608695652174,0.25405207411251185,31,0.24665834967029052,0.13794332561040812,4
country_b20_g1.4_c220,2022/23,UCL,78,0.36043470469038297,0.6356531447711202,0.55,0.2518080210387902,2,0.09615384615384613,0.02884615384615384,0
country_b20_g1.4_c220,2022/23,UEL,57,0.3900594742162314,0.6490747087045922,0.4,0.2471529701446599,5,0.25438596491228066,0.17017543859649123,1
country_b20_g1.4_c220,2022/23,UECL,177,0.3535647393078133,0.6371189080928714,0.4666666666666667,0.258737910562099,19,0.2939339875111508,0.18138566755872731,4
country_b20_g1.4_c220,2023/24,UCL,78,0.42222838334971863,0.6643330876934415,0.45,0.2329059829059829,2,0.25,0.25,1
country_b20_g1.4_c220,2023/24,UEL,57,0.6968234533908689,0.7759336099585062,0.6,0.17266851338873498,3,0.2456140350877193,0.14619883040935674,1
country_b20_g1.4_c220,2023/24,UECL,178,0.34759275862475786,0.6323356807511737,0.4444444444444444,0.26237217523040024,23,0.31985832926233515,0.17867611138251102,5
country_b20_g1.4_c220,2024/25,UCL,81,0.44901949015248827,0.6693494299128102,0.38095238095238093,0.2399024538942235,6,0.2726337448559671,0.23971193415637862,2
