fold,test_season,competition,model,elo_scale,home_advantage,spread_multiplier,matches,log_loss,brier,mean_expected_home_score,mean_actual_home_score
2,2021/22,UEL,joint,300.0,50.0,1.3333333333333333,175,0.6634436749455488,0.1653780457850919,0.5860703735118258,0.5742857142857143
2,2021/22,UEL,spread_only,350.0,70.0,1.1428571428571428,175,0.6623565551983421,0.16504280842418978,0.6053486001227185,0.5742857142857143
2,2021/22,UECL,baseline,400.0,70.0,1.0,423,0.6259441124358218,0.1608628279755027,0.5953407670432549,0.6016548463356974
2,2021/22,UECL,joint,300.0,50.0,1.3333333333333333,423,0.6209150404093966,0.15863638531655255,0.5882327282077847,0.6016548463356974
2,2021/22,UECL,spread_only,350.0,70.0,1.1428571428571428,423,0.6230757738628036,0.15981093164425828,0.6071878744502447,0.6016548463356974
3,2022/23,ALL,baseline,400.0,70.0,1.0,804,0.6454153500935206,0.17023927339120778,0.5942226352284221,0.5864427860696517
3,2022/23,ALL,joint,300.0,50.0,1.3333333333333333,804,0.6457613506639188,0.17028158956670675,0.5866450879225159,0.5864427860696517
3,2022/23,ALL,spread_only,350.0,70.0,1.1428571428571428,804,0.6456932127766954,0.17037680547728265,0.605778399037369,0.5864427860696517
3,2022/23,UCL,baseline,400.0,70.0,1.0,214,0.6280154764135758,0.16197305805943418,0.5945070190290624,0.5957943925233645
3,2022/23,UCL,joint,300.0,50.0,1.3333333333333333,214,0.6234389283081699,0.16016864852664137,0.5870690597968011,0.5957943925233645
3,2022/23,UCL,spread_only,350.0,70.0,1.1428571428571428,214,0.6256222203922284,0.1611407970822703,0.6061675405578912,0.5957943925233645
3,2022/23,UEL,baseline,400.0,70.0,1.0,175,0.6560162142695933,0.17174931533987398,0.5923044656173267,0.6057142857142858
3,2022/23,UEL,joint,300.0,50.0,1.3333333333333333,175,0.6672122408383238,0.1764281106058066,0.5836451355093839,0.6057142857142858
3,2022/23,UEL,spread_only,350.0,70.0,1.1428571428571428,175,0.6592669447700646,0.17290381200106184,0.6030485241836095,0.6057142857142858
3,2022/23,UECL,baseline,400.0,70.0,1.0,415,0.6499175711457988,0.17386508722249208,0.5948848558274695,0.5734939759036145
3,2022/23,UECL,joint,300.0,50.0,1.3333333333333333,415,0.6482266340461099,0.17290454908654176,0.5876915016362533,0.5734939759036145
3,2022/23,UECL,spread_only,350.0,70.0,1.1428571428571428,415,0.6503192110211204,0.17407386488661106,0.606728885336203,0.5734939759036145
4,2023/24,ALL,baseline,400.0,70.0,1.0,806,0.623160149062057,0.16380301223294147,0.5936972060506445,0.5899503722084367
4,2023/24,ALL,joint,300.0,50.0,1.3333333333333333,806,0.61759615254312,0.16134640449438034,0.5857784484186004,0.5899503722084367
4,2023/24,ALL,spread_only,350.0,70.0,1.1428571428571428,806,0.6205660542779975,0.16285148034503097,0.6050357036801766,0.5899503722084367
4,2023/24,UCL,baseline,400.0,70.0,1.0,214,0.6335689190895389,0.16420437798460633,0.5936649265029302,0.5677570093457944
4,2023/24,UCL,joint,300.0,50.0,1.3333333333333333,214,0.6273626822790205,0.1612879471923735,0.5857049126283166,0.5677570093457944
4,2023/24,UCL,spread_only,350.0,70.0,1.1428571428571428,214,0.6321855692155671,0.1636531207528375,0.6050553765180692,0.5677570093457944
4,2023/24,UEL,baseline,400.0,70.0,1.0,175,0.5936654455004251,0.15355652848809406,0.5911048011957957,0.62
4,2023/24,UEL,joint,300.0,50.0,1.3333333333333333,175,0.5882203610827168,0.15160505496319698,0.5818496348578747,0.62
4,2023/24,UEL,spread_only,350.0,70.0,1.1428571428571428,175,0.5886355652684275,0.15180592316521052,0.6014434595397524,0.62
4,2023/24,UECL,baseline,400.0,70.0,1.0,417,0.630196351310029,0.16789711867057225,0.5948017112612186,0.5887290167865707
4,2023/24,UECL,joint,300.0,50.0,1.3333333333333333,417,0.6249120425721073,0.16546450049099082,0.5874649688796262,0.5887290167865707
4,2023/24,UECL,spread_only,350.0,70.0,1.1428571428571428,417,0.6280031271317981,0.1670755126212852,0.6065331442971194,0.5887290167865707
