progression_ratio,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,progression_events,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_progression_delta,start_end_rank_correlation
0.5,1.0,0.55,0.4,0.14999999999999997,6340,2106,0.16418035806280634,0.6229853872399055,5.104407965290695e-16,31.875535615880498,138.99282161240967,25.492989094674304,11.801604687866504,0.9286621757994237
0.5,1.0,0.65,0.35,0.10000000000000003,6340,2106,0.16419210656435032,0.6230099530580216,1.473366222518541e-16,31.99446679125363,140.7758459406141,25.493117124127533,11.801604687866504,0.9291407645713191
0.5,1.0,0.6,0.4,0.10000000000000003,6340,2106,0.16419260721650106,0.6230105499740426,4.2255738309550033e-16,31.975723977425716,139.88541731972498,25.49305195881273,11.801604687866504,0.9285956791207455
0.5,1.0,0.55,0.45,0.09999999999999998,6340,2106,0.16419383103435448,0.6230128483861062,4.512546349961045e-16,31.959995761873785,138.99282161240967,25.492989094674304,11.801604687866504,0.9281779675898936
0.5,1.0,0.7,0.35,0.14999999999999997,6340,2106,0.16420518306630447,0.6230370865847394,-1.2017689838179481e-16,32.097450592146615,141.66415074427914,25.49318461044866,11.801604687866504,0.9291566863112841
0.5,1.0,0.65,0.4,0.04999999999999999,6340,2106,0.1642052835712219,0.6230367272824305,8.840459042010058e-17,32.07724727818506,140.7758459406141,25.493117124127533,11.801604687866504,0.9286312688924324
0.5,1.0,0.6,0.45,0.050000000000000044,6340,2106,0.16420610734986638,0.6230380688817654,-5.91730202677467e-17,32.060039370429045,139.88541731972498,25.49305195881273,11.801604687866504,0.9281311389429372
0.5,1.0,0.7,0.4,0.09999999999999992,6340,2106,0.1642183870913688,0.6230639182647405,-6.304292715357445e-17,32.18008264963619,141.66415074427914,25.49318461044866,11.801604687866504,0.9285441676090934
0.5,1.0,0.75,0.35,0.2,6340,2106,0.16421868678830331,0.6230652330747976,-9.097801363165414e-17,32.201726083877325,142.5503751035443,25.493254437582564,11.801604687866504,0.9290920627784843
0.5,1.0,0.65,0.45,0.0,6340,2106,0.16421881076128655,0.6230643037760527,5.750343370581298e-16,32.16141576803827,140.7758459406141,25.493117124127533,11.801604687866504,0.9280047015961547
0.5,1.0,0.6,0.5,0.10000000000000003,6340,2106,0.16421995754696497,0.623066389854212,-1.8062674634626581e-16,32.14572355725809,139.88541731972498,25.49305195881273,11.801604687866504,0.9273462908199465
0.5,1.0,0.75,0.4,0.14999999999999997,6340,2106,0.16423191772841447,0.6230921220353641,2.7315542927368326e-16,32.2842076387108,142.5503751035443,25.493254437582564,11.801604687866504,0.9284926560974411
0.5,1.0,0.7,0.45,0.04999999999999993,6340,2106,0.1642319412333233,0.6230915521690352,1.8092013208229974e-16,32.264102117978325,141.66415074427914,25.49318461044866,11.801604687866504,0.9280477839513546
0.5,1.0,0.65,0.5,0.04999999999999999,6340,2106,0.16423268794960127,0.6230926822903062,3.8923451767859785e-16,32.2469525304658,140.7758459406141,25.493117124127533,11.801604687866504,0.9272470140883986
0.5,1.0,0.75,0.45,0.09999999999999998,6340,2106,0.16424549871775818,0.6231198131755018,-2.844974875227936e-17,32.36807599907997,142.5503751035443,25.493254437582564,11.801604687866504,0.9279812872726764
0.5,1.0,0.7,0.5,0.09999999999999992,6340,2106,0.16424584530668743,0.6231199880500656,4.79684839611389e-16,32.34948932537673,141.66415074427914,25.49318461044866,11.801604687866504,0.9271542933674247
0.5,1.0,0.65,0.55,0.10000000000000003,6340,2106,0.1642469149423276,0.6231218625954308,8.737526587170118e-17,32.333837988841026,140.7758459406141,25.493117124127533,11.801604687866504,0.9265567598322599
0.5,1.0,0.75,0.5,0.14999999999999997,6340,2106,0.1642594295703192,0.6231483062486787,4.527791336019862e-16,32.45331155263218,142.5503751035443,25.493254437582564,11.801604687866504,0.9271805174097204
0.5,1.0,0.7,0.55,0.14999999999999997,6340,2106,0.1642600991170904,0.6231492256790826,1.1709532760837322e-16,32.436224752295814,141.66415074427914,25.49318461044866,11.801604687866504,0.9265399015193557
0.5,1.0,0.75,0.55,0.2,6340,2106,0.16427371009119793,0.6231776010271572,-1.5145408820628426e-16,32.53989483779738,142.5503751035443,25.493254437582564,11.801604687866504,0.9265417746652338
0.75,1.0,0.55,0.35,0.2,6340,2106,0.16451741531729577,0.6237328609550796,-7.544039116852213e-16,33.32615268362735,144.51610055905712,25.468941556435112,17.702407031799755,0.9249805075757045
0.75,1.0,0.55,0.4,0.14999999999999997,6340,2106,0.16453878774334854,0.6237767560874979,-5.74786833909805e-16,33.45517166388822,144.51610055905712,25.468941556435112,17.702407031799755,0.9240748415435659
0.75,1.0,0.6,0.35,0.15000000000000008,6340,2106,0.16453913872096038,0.6237786128925439,-5.122519983978211e-16,33.48279824041197,145.84297750725773,25.459169223164572,17.702407031799755,0.9248934062923656
0.75,1.0,0.6,0.4,0.10000000000000003,6340,2106,0.16456057229399873,0.6238226378469618,-3.321203142684825e-16,33.61147861406034,145.84297750725773,25.459169223164572,17.702407031799755,0.9238435080276008
0.75,1.0,0.55,0.45,0.09999999999999998,6340,2106,0.1645609487627314,0.6238224608663726,-6.342139279584857e-16,33.587119019713704,144.51610055905712,25.468941556435112,17.702407031799755,0.9236234133869055
