sportsdb_team_id,sportsdb_team_name,club_id,uefa_team_id,ao_team_name
133758,Feyenoord,AO-UEFA-52749,52749,Feyenoord
133650,Borussia Dortmund,AO-UEFA-52758,52758,Borussia Dortmund
134571,Brann,AO-UEFA-52770,52770,SK Brann Bergen
140666,Dinamo City,AO-UEFA-52792,52792,Dinamo Tirana
134090,Slovan Bratislava,AO-UEFA-52797,52797,Slovan Bratislava
133990,Rosenborg,AO-UEFA-52806,52806,Rosenborg BK
134782,Atalanta,AO-UEFA-52816,52816,Atalanta
133674,Fiorentina,AO-UEFA-52817,52817,Fiorentina
133646,Hibernian,AO-UEFA-52821,52821,Hibernian
137799,Partizani Tirana,AO-UEFA-52876,52876,Partizani Tirana
137800,Vllaznia Shkodër,AO-UEFA-52878,52878,Vllaznia Shkodër
133826,Charleroi,AO-UEFA-52886,52886,Charleroi
134004,Spartak Trnava,AO-UEFA-52904,52904,Spartak Trnava
136677,Sigma Olomouc,AO-UEFA-52905,52905,Sigma Olomouc
133892,Silkeborg IF,AO-UEFA-52912,52912,Silkeborg IF
133610,Chelsea,AO-UEFA-52914,52914,Chelsea
133632,Crystal Palace,AO-UEFA-52916,52916,Crystal Palace
133613,Manchester City,AO-UEFA-52919,52919,Manchester City
133742,Aris,AO-UEFA-52949,52949,Aris Thessaloniki
137970,KA Akureyri,AO-UEFA-52966,52966,KA Akureyri
134781,Bologna,AO-UEFA-52969,52969,Bologna
134063,Cliftonville,AO-UEFA-52991,52991,Cliftonville
138033,Shelbourne,AO-UEFA-53020,53020,Shelbourne
138198,Universitatea Cluj,AO-UEFA-53025,53025,Universitatea Cluj
133937,Celta Vigo,AO-UEFA-53043,53043,Celta de Vigo
133797,Samsunspor,AO-UEFA-53060,53060,Samsunspor
133983,Budućnost Podgorica,AO-UEFA-53078,53078,Buducnost Podgorica
133979,Vardar,AO-UEFA-53080,53080,Vardar Skopje
134033,Olimpija Ljubljana,AO-UEFA-53081,53081,Olimpija Ljubljana
133713,Lyon,AO-UEFA-5312,5312,Olympique Lyon
136251,AEK Larnaca,AO-UEFA-54191,54191,AEK Larnaca
138051,KÍ Klaksvík,AO-UEFA-57475,57475,KI Klaksvik
134315,Maccabi Tel Aviv,AO-UEFA-57477,57477,Maccabi Tel-Aviv
134320,Vaduz,AO-UEFA-57482,57482,FC Vaduz
133948,Maribor,AO-UEFA-57490,57490,NK Maribor
134608,Neman Grodno,AO-UEFA-59024,59024,Neman Grodno
134336,HB Tórshavn,AO-UEFA-59025,59025,HB Torshavn
133947,F91 Dudelange,AO-UEFA-59028,59028,F91 Dudelange
134318,Celje,AO-UEFA-59030,59030,NK Celje
135992,Beitar Jerusalem,AO-UEFA-59034,59034,Beitar Jerusalem
134051,Zimbru Chișinău,AO-UEFA-59036,59036,Zimbru Chisinau
134400,Maccabi Haifa,AO-UEFA-59045,59045,Maccabi Haifa
134777,Newcastle United,AO-UEFA-59324,59324,Newcastle United
134026,Víkingur Gøta,AO-UEFA-59325,59325,Víkingur
135497,Bodø/Glimt,AO-UEFA-59333,59333,Bodø/Glimt
134799,Hapoel Be'er Sheva,AO-UEFA-59340,59340,Hapoel Beer-Sheva
133967,Flora Tallinn,AO-UEFA-59341,59341,Flora Tallinn
133957,Basel,AO-UEFA-59856,59856,FC Basel
133882,Strasbourg,AO-UEFA-59857,59857,RC Strasbourg
138073,Sileks,AO-UEFA-59871,59871,Sileks Kratovo
133653,Freiburg,AO-UEFA-59880,59880,SC Freiburg
134312,The New Saints,AO-UEFA-60457,60457,The New Saints
137798,NK Varaždin,AO-UEFA-60514,60514,NK Varazdin
137670,Raków Częstochowa,AO-UEFA-60566,60566,Raków Czestochowa
135702,Qarabağ,AO-UEFA-60609,60609,Qarabag FK
133779,Genk,AO-UEFA-61582,61582,Racing Genk
133975,MSK Zilina,AO-UEFA-61601,61601,MSK Zilina
134035,Birkirkara,AO-UEFA-62171,62171,Birkirkara
134346,FC Santa Coloma,AO-UEFA-62180,62180,FC Santa Coloma
137792,Inter Club d'Escaldes,AO-UEFA-63401,63401,Inter Club d'Escaldes
138141,Union Saint-Gilloise,AO-UEFA-64125,64125,Union Saint-Gilloise
134065,NSÍ Runavík,AO-UEFA-64150,64150,NSI Runavik
134304,Go Ahead Eagles,AO-UEFA-64207,64207,Go Ahead Eagles
134749,Fredrikstad,AO-UEFA-64211,64211,Fredrikstad FK
134010,Lech Poznań,AO-UEFA-64227,64227,Lech Poznan
140057,Haverfordwest County,AO-UEFA-64283,64283,Haverfordwest County
141776,Radnički 1923,AO-UEFA-64289,64289,Radnicki 1923
137989,Banga Gargždai,AO-UEFA-64348,64348,Banga Gargzdai
137901,Dynamo Brest,AO-UEFA-64374,64374,Dynamo Brest
134013,FK Sarajevo,AO-UEFA-64378,64378,FK Sarajevo
137934,Željezničar Sarajevo,AO-UEFA-64381,64381,Zeljeznicar Sarajevo
134015,Viktoria Plzeň,AO-UEFA-64388,64388,Viktoria Plzen
133995,Dila Gori,AO-UEFA-64467,64467,Dila Gori
134042,Torpedo Kutaisi,AO-UEFA-64471,64471,Torpedo Kutaisi
134344,La Fiorita,AO-UEFA-64508,64508,La Fiorita
138082,Tre Fiori,AO-UEFA-64514,64514,Tre Fiori
138086,Virtus,AO-UEFA-64516,64516,AC Virtus
141094,Aris Limassol,AO-UEFA-69529,69529,Aris Limassol
138071,Rabotnichki,AO-UEFA-69601,69601,Rabotnicki Skopje
133962,Sheriff Tiraspol,AO-UEFA-69606,69606,Sheriff Tiraspol
134604,Koper,AO-UEFA-69617,69617,NK Koper
134160,Hacken,AO-UEFA-69621,69621,BK Häcken
133740,Villarreal,AO-UEFA-70691,70691,Villarreal
133665,Mainz,AO-UEFA-70853,70853,FSV Mainz 05
134347,Breiðablik,AO-UEFA-71235,71235,Breidablik
134341,Zrinjski Mostar,AO-UEFA-73390,73390,Zrinjski Mostar
136192,Santa Clara,AO-UEFA-73927,73927,CD Santa Clara
134310,Sutjeska,AO-UEFA-73936,73936,Sutjeska Niksic
133728,Rayo Vallecano,AO-UEFA-74070,74070,Rayo Vallecano
137915,Cherno More,AO-UEFA-75787,75787,Cherno More Varna
133891,FC Midtjylland,AO-UEFA-75795,75795,FC Midtjylland
133711,Lille,AO-UEFA-75797,75797,Lille OSC
134024,Shkëndija,AO-UEFA-75807,75807,Shkendija Tetovo
137896,Pyunik Yerevan,AO-UEFA-77431,77431,Pyunik Yerevan
134046,Levadia Tallinn,AO-UEFA-77482,77482,Levadia Tallinn
137897,Urartu,AO-UEFA-77866,77866,Urartu FC
135483,Oleksandriya,AO-UEFA-77928,77928,FC Oleksandriya
133602,Liverpool,AO-UEFA-7889,7889,Liverpool
137910,Torpedo-BelAZ Zhodino,AO-UEFA-79551,79551,Torpedo Zhodino
145004,Auda Kekava,AO-UEFA-79556,79556,FK Auda
134602,Kairat Almaty,AO-UEFA-79970,79970,Kairat Almaty
140520,Aktobe,AO-UEFA-79973,79973,FK Aktobe
134077,Ordabasy Shymkent,AO-UEFA-82825,82825,Ordabasy Shymkent
135944,Dungannon Swifts,AO-UEFA-85008,85008,Dungannon Swifts
138007,Larne,AO-UEFA-85009,85009,Larne FC
136037,Lugano,AO-UEFA-8538,8538,FC Lugano
