match_id,competition,source_event_id,home_shots_on_goal,away_shots_on_goal,home_shots_off_goal,away_shots_off_goal,home_total_shots,away_total_shots,home_blocked_shots,away_blocked_shots,home_shots_insidebox,away_shots_insidebox,home_shots_outsidebox,away_shots_outsidebox,home_fouls,away_fouls,home_corner_kicks,away_corner_kicks,home_offsides,away_offsides,home_ball_possession,away_ball_possession,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_goalkeeper_saves,away_goalkeeper_saves,home_total_passes,away_total_passes,home_passes_accurate,away_passes_accurate,home_passes,away_passes,home_expected_goals,away_expected_goals,home_goals_prevented,away_goals_prevented,stats_covered,xg_raw_present,xg_covered,xg_zero_inconsistent_with_shots,xg_both_zero,xg_placeholder_suspected,xg_analysis_eligible,xg_quality_status
202526-0024,UCL,2272342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0014,UCL,2272343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0002,UCL,2272347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0004,UCL,2272346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0008,UCL,2272345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0010,UCL,2272344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0006,UCL,2272349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0012,UCL,2272348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0020,UCL,2272350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0016,UCL,2272352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0022,UCL,2272351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0026,UCL,2272353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0580,UECL,2272252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0018,UCL,2272355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0028,UCL,2272354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0560,UECL,2272253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0283,UEL,2272318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0291,UEL,2272319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0554,UECL,2272256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0556,UECL,2272259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0562,UECL,2272254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
202526-0582,UECL,2272255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,NO_RAW_XG
