model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
FULL_MODEL,full_model_a0.05_t150_b2,0.05,150.0,2.0,2,4884,0.5794289370427604,0.975669297169229,0.5370597870597871,0.018028993405123383,0.2963430786252635,0.6016224502482803,0.9359638831955519,461.8648221712706,92.64710747356068,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t150_b4,0.05,150.0,4.0,2,4884,0.5794262419400663,0.9756660480436645,0.5370597870597871,0.01799282387389958,0.29639412380938485,0.6016226255999433,0.9360086183678966,468.531488837938,92.64710747356068,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t150_b6,0.05,150.0,6.0,2,4884,0.5794236459694688,0.9756629452302721,0.5370597870597871,0.017997458277574745,0.29643703596612675,0.6016224077100685,0.9360378331743254,475.1981555046041,92.64710747356068,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t150_b8,0.05,150.0,8.0,2,4884,0.5794211491911414,0.975659988753322,0.5370597870597871,0.01800197775470876,0.29633928339377863,0.6015895372058618,0.9359328424637211,481.86482217127104,92.64710747356068,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t150_b10,0.05,150.0,10.0,2,4884,0.579418751663434,0.9756571786359385,0.5370597870597871,0.01797921386373745,0.2963925492540057,0.6016183997221717,0.9358634572984519,488.53148883793756,92.64710747356068,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t150_b12,0.05,150.0,12.0,2,4884,0.5794164534428718,0.9756545149000999,0.5370597870597871,0.018011102660255032,0.2965496368287028,0.6016572382623584,0.9358890202540775,495.19815550460453,92.64710747356068,5.820766091346741e-11
FULL_MODEL,full_model_a0.05_t250_b0,0.05,250.0,0.0,1,4884,0.5794086445156199,0.9756388974957207,0.5370597870597871,0.018120100756756824,0.29626841950363275,0.6016048679144983,0.9359985757781866,456.08986844647984,92.74433375640203,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t250_b2,0.05,250.0,2.0,2,4884,0.5794058665895214,0.9756355243347609,0.5370597870597871,0.017933525603201182,0.29624730458528853,0.6015941554043902,0.9359602313447483,462.75653511314613,92.74433375640203,1.1641532182693481e-10
FULL_MODEL,full_model_a0.05_t250_b4,0.05,250.0,4.0,2,4884,0.5794031878182981,0.975632297586442,0.5370597870597871,0.017965548838764476,0.29634829653166034,0.6016235640394534,0.9359675350463557,469.42320177981355,92.74433375640203,5.820766091346741e-11
FULL_MODEL,full_model_a0.05_t250_b6,0.05,250.0,6.0,2,4884,0.5794006082617933,0.9756292172756562,0.5370597870597871,0.01797025602028822,0.2963773408296532,0.6015912876734968,0.9359857943003739,476.0898684464796,92.74433375640203,1.1641532182693481e-10
