model,outcome,probability_bin,matches,mean_predicted_probability,observed_rate,calibration_gap
PROGRESSION_ONLY,HOME,0.9-1.0,5,0.9256387323101775,1.0,-0.07436126768982254
PROGRESSION_ONLY,DRAW,0.0-0.1,79,0.07988622674509213,0.08860759493670886,-0.00872136819161673
PROGRESSION_ONLY,DRAW,0.1-0.2,1057,0.16346642207040563,0.1759697256385998,-0.01250330356819418
PROGRESSION_ONLY,DRAW,0.2-0.3,3748,0.24423730560542328,0.23479188900747064,0.009445416597952644
PROGRESSION_ONLY,AWAY,0.0-0.1,275,0.07785739657895574,0.06181818181818182,0.01603921476077392
PROGRESSION_ONLY,AWAY,0.1-0.2,1090,0.15367573763212905,0.13853211009174313,0.015143627540385923
PROGRESSION_ONLY,AWAY,0.2-0.3,1347,0.24944045532358658,0.2583518930957684,-0.008911437772181813
PROGRESSION_ONLY,AWAY,0.3-0.4,1017,0.3469510231797375,0.3864306784660767,-0.03947965528633918
PROGRESSION_ONLY,AWAY,0.4-0.5,599,0.44459381063233927,0.4757929883138564,-0.031199177681517143
PROGRESSION_ONLY,AWAY,0.5-0.6,329,0.5437878248486399,0.5288753799392097,0.014912444909430111
PROGRESSION_ONLY,AWAY,0.6-0.7,160,0.6406427777959562,0.58125,0.0593927777959562
PROGRESSION_ONLY,AWAY,0.7-0.8,61,0.7350481202421675,0.6557377049180327,0.07931041532413474
PROGRESSION_ONLY,AWAY,0.8-0.9,6,0.8264721005871527,0.8333333333333334,-0.006861232746180668
GOAL_DIFFERENCE_ONLY,HOME,0.0-0.1,19,0.08711447421042033,0.10526315789473684,-0.018148683684316505
GOAL_DIFFERENCE_ONLY,HOME,0.1-0.2,260,0.16085095961146267,0.21923076923076923,-0.058379809619306555
GOAL_DIFFERENCE_ONLY,HOME,0.2-0.3,567,0.25537207432704223,0.25044091710758376,0.004931157219458471
GOAL_DIFFERENCE_ONLY,HOME,0.3-0.4,910,0.3535839181594727,0.31758241758241756,0.036001500577055146
GOAL_DIFFERENCE_ONLY,HOME,0.4-0.5,1014,0.45111138415028496,0.4388560157790927,0.012255368371192232
GOAL_DIFFERENCE_ONLY,HOME,0.5-0.6,905,0.548211088473588,0.5657458563535912,-0.017534767880003188
GOAL_DIFFERENCE_ONLY,HOME,0.6-0.7,647,0.646512227221008,0.6738794435857806,-0.027367216364772573
GOAL_DIFFERENCE_ONLY,HOME,0.7-0.8,416,0.7448201952633363,0.7235576923076923,0.021262502955644025
GOAL_DIFFERENCE_ONLY,HOME,0.8-0.9,141,0.8353051543712183,0.8226950354609929,0.012610118910225454
GOAL_DIFFERENCE_ONLY,HOME,0.9-1.0,5,0.9256387323101775,1.0,-0.07436126768982254
GOAL_DIFFERENCE_ONLY,DRAW,0.0-0.1,79,0.07976767505237185,0.08860759493670886,-0.008839919884337008
GOAL_DIFFERENCE_ONLY,DRAW,0.1-0.2,1065,0.16354070389452488,0.17652582159624414,-0.012985117701719256
GOAL_DIFFERENCE_ONLY,DRAW,0.2-0.3,3740,0.2443352597342557,0.23475935828877006,0.009575901445485646
GOAL_DIFFERENCE_ONLY,AWAY,0.0-0.1,278,0.0780620123236766,0.06474820143884892,0.013313810884827679
GOAL_DIFFERENCE_ONLY,AWAY,0.1-0.2,1088,0.15364651233328536,0.140625,0.013021512333285357
GOAL_DIFFERENCE_ONLY,AWAY,0.2-0.3,1348,0.24968245283162882,0.25445103857566764,-0.004768585744038822
GOAL_DIFFERENCE_ONLY,AWAY,0.3-0.4,1016,0.34737527960646875,0.3887795275590551,-0.04140424795258635
GOAL_DIFFERENCE_ONLY,AWAY,0.4-0.5,603,0.44513277847182486,0.47429519071310117,-0.029162412241276303
GOAL_DIFFERENCE_ONLY,AWAY,0.5-0.6,326,0.5447484378389587,0.5337423312883436,0.011006106550615069
GOAL_DIFFERENCE_ONLY,AWAY,0.6-0.7,158,0.6415051882630217,0.5822784810126582,0.0592267072503635
GOAL_DIFFERENCE_ONLY,AWAY,0.7-0.8,61,0.7357351917062047,0.6557377049180327,0.07999748678817198
GOAL_DIFFERENCE_ONLY,AWAY,0.8-0.9,6,0.8270778729459692,0.8333333333333334,-0.006255460387364131
FULL_MODEL,HOME,0.0-0.1,19,0.08708088986689409,0.10526315789473684,-0.018182268027842743
FULL_MODEL,HOME,0.1-0.2,258,0.16045855840543458,0.21705426356589147,-0.056595705160456894
FULL_MODEL,HOME,0.2-0.3,569,0.25523546928096386,0.2513181019332162,0.003917367347747669
FULL_MODEL,HOME,0.3-0.4,917,0.3537969398361663,0.31952017448200654,0.034276765354159744
FULL_MODEL,HOME,0.4-0.5,1007,0.45139420753511017,0.4339622641509434,0.01743194338416676
FULL_MODEL,HOME,0.5-0.6,899,0.5479758545482634,0.5717463848720801,-0.023770530323816708
FULL_MODEL,HOME,0.6-0.7,651,0.6460640742162171,0.6697388632872504,-0.023674789071033264
FULL_MODEL,HOME,0.7-0.8,416,0.7445537609811534,0.7235576923076923,0.020996068673461155
FULL_MODEL,HOME,0.8-0.9,143,0.8347916672898781,0.8251748251748252,0.00961684211505287
FULL_MODEL,HOME,0.9-1.0,5,0.9260734397978398,1.0,-0.07392656020216015
FULL_MODEL,DRAW,0.0-0.1,79,0.07977751403383762,0.08860759493670886,-0.00883008090287124
FULL_MODEL,DRAW,0.1-0.2,1067,0.16351678218120788,0.17619493908153702,-0.01267815690032914
FULL_MODEL,DRAW,0.2-0.3,3738,0.24434776379581724,0.23488496522204388,0.009462798573773357
FULL_MODEL,AWAY,0.0-0.1,276,0.07788438476786351,0.06159420289855073,0.016290181869312782
FULL_MODEL,AWAY,0.1-0.2,1095,0.15366993113271585,0.14063926940639268,0.013030661726323167
FULL_MODEL,AWAY,0.2-0.3,1341,0.24977031038336528,0.255779269202088,-0.006008958818722709
FULL_MODEL,AWAY,0.3-0.4,1019,0.3474877829770711,0.38763493621197254,-0.04014715323490142
FULL_MODEL,AWAY,0.4-0.5,598,0.4448795404217745,0.47324414715719065,-0.02836460673541613
FULL_MODEL,AWAY,0.5-0.6,329,0.5438980079291651,0.5349544072948328,0.008943600634332305
FULL_MODEL,AWAY,0.6-0.7,159,0.6415933487401411,0.5911949685534591,0.05039838018668197
FULL_MODEL,AWAY,0.7-0.8,61,0.7356280378570756,0.639344262295082,0.09628377556199363
FULL_MODEL,AWAY,0.8-0.9,6,0.827321795590095,0.8333333333333334,-0.006011537743238371
