match_id,fotmob_fetch_status,detail_identity_verified,detail_score_verified,detail_chronology_verified,xg_disposition
202021-0300,OK,True,True,True,NO_PUBLIC_XG
202021-0302,OK,True,True,True,NO_PUBLIC_XG
202021-0304,OK,True,True,True,NO_PUBLIC_XG
202021-0306,OK,True,True,True,NO_PUBLIC_XG
202021-0307,OK,True,True,True,NO_PUBLIC_XG
202021-0312,OK,True,True,True,NO_PUBLIC_XG
202021-0285,OK,True,True,True,NO_PUBLIC_XG
202021-0289,OK,True,True,True,NO_PUBLIC_XG
202021-0290,OK,True,True,True,NO_PUBLIC_XG
202021-0291,OK,True,True,True,NO_PUBLIC_XG
202021-0301,OK,True,True,True,NO_PUBLIC_XG
202021-0311,OK,True,True,True,NO_PUBLIC_XG
202021-0288,OK,True,True,True,NO_PUBLIC_XG
202021-0282,OK,True,True,True,NO_PUBLIC_XG
202021-0295,OK,True,True,True,NO_PUBLIC_XG
202021-0047,OK,True,True,True,NO_PUBLIC_XG
202021-0049,OK,True,True,True,NO_PUBLIC_XG
202021-0053,OK,True,True,True,ACCEPTED
202021-0043,OK,True,True,True,NO_PUBLIC_XG
202021-0045,OK,True,True,True,NO_PUBLIC_XG
202021-0051,OK,True,True,True,NO_PUBLIC_XG
202021-0330,OK,True,True,True,NO_PUBLIC_XG
202021-0316,OK,True,True,True,NO_PUBLIC_XG
202021-0320,OK,True,True,True,NO_PUBLIC_XG
202021-0323,OK,True,True,True,NO_PUBLIC_XG
202021-0325,OK,True,True,True,NO_PUBLIC_XG
202021-0329,OK,True,True,True,NO_PUBLIC_XG
202021-0331,OK,True,True,True,NO_PUBLIC_XG
202021-0315,OK,True,True,True,NO_PUBLIC_XG
202021-0322,OK,True,True,True,NO_PUBLIC_XG
202021-0326,OK,True,True,True,NO_PUBLIC_XG
202021-0332,OK,True,True,True,NO_PUBLIC_XG
202021-0333,OK,True,True,True,NO_PUBLIC_XG
202021-0334,OK,True,True,True,NO_PUBLIC_XG
202021-0318,OK,True,True,True,NO_PUBLIC_XG
202021-0328,OK,True,True,True,NO_PUBLIC_XG
202021-0335,OK,True,True,True,NO_PUBLIC_XG
202021-0317,OK,True,True,True,NO_PUBLIC_XG
202021-0327,OK,True,True,True,NO_PUBLIC_XG
202021-0319,OK,True,True,True,NO_PUBLIC_XG
202021-0321,OK,True,True,True,NO_PUBLIC_XG
