match_id,competition,kickoff_utc,home_team_name,away_team_name,xg_home,xg_away,secondary_xg_home,secondary_xg_away,home_xg_delta_primary_minus_secondary,away_xg_delta_primary_minus_secondary,pair_absolute_difference
202526-0221,UCL,2026-01-28 20:00:00+00:00,AS Monaco,Juventus,1.04,0.18,0.71,0.49,0.33,-0.31,0.32
202526-0224,UCL,2026-01-28 20:00:00+00:00,Bayer Leverkusen,Villarreal,1.93,0.26,1.33,0.34,0.6,-0.08,0.34
202526-0229,UCL,2026-01-28 20:00:00+00:00,Liverpool,Qarabag FK,5.91,0.22,3.49,0.34,2.42,-0.12,1.27
202526-0231,UCL,2026-01-28 20:00:00+00:00,Pafos FC,Slavia Praha,1.4,1.73,1.4,1.18,0,0.55,0.275
202526-0233,UCL,2026-01-28 20:00:00+00:00,PSV Eindhoven,Bayern München,0.6,1.98,1.02,1.48,-0.42,0.5,0.46
202526-0235,UCL,2026-01-28 20:00:00+00:00,Benfica,Real Madrid,3.01,1.5,3.01,1.52,0,-0.02,0.01
202526-0236,UCL,2026-01-28 20:00:00+00:00,Napoli,Chelsea,0.98,2.02,0.76,1.51,0.22,0.51,0.365
202526-0490,UEL,2026-01-29 20:00:00+00:00,Aston Villa,FC Salzburg,1.54,2.73,1.37,1.21,0.17,1.52,0.845
202526-0491,UEL,2026-01-29 20:00:00+00:00,Celtic,FC Utrecht,2.66,0.41,1.72,0.53,0.94,-0.12,0.53
202526-0494,UEL,2026-01-29 20:00:00+00:00,FC Midtjylland,Dinamo Zagreb,1.21,0.8,0.91,0.75,0.3,0.05,0.175
202526-0496,UEL,2026-01-29 20:00:00+00:00,FCSB,Fenerbahçe,1.77,1.54,1.65,1.48,0.12,0.06,0.09
202526-0499,UEL,2026-01-29 20:00:00+00:00,Lille OSC,SC Freiburg,1.62,0.63,1.48,0.38,0.14,0.25,0.195
202526-0500,UEL,2026-01-29 20:00:00+00:00,Maccabi Tel-Aviv,Bologna,0.86,3.28,0.49,2.2,0.37,1.08,0.725
202526-0501,UEL,2026-01-29 20:00:00+00:00,Nottingham Forest,Ferencváros,2.88,0.65,2.71,0.8,0.17,-0.15,0.16
202526-0503,UEL,2026-01-29 20:00:00+00:00,Panathinaikos,AS Roma,0.8,1.38,0.79,0.79,0.01,0.59,0.3
202526-0507,UEL,2026-01-29 20:00:00+00:00,VfB Stuttgart,Young Boys,3.48,1.52,2.42,1.06,1.06,0.46,0.76
202526-0239,UCL,2026-02-17 17:45:00+00:00,Galatasaray,Juventus,2.92,1.13,2.05,0.81,0.87,0.32,0.595
202526-0241,UCL,2026-02-17 20:00:00+00:00,Benfica,Real Madrid,0.47,0.89,0.67,1.44,-0.2,-0.55,0.375
202526-0251,UCL,2026-02-18 20:00:00+00:00,Olympiakos Piraeus,Bayer Leverkusen,0.75,1.95,0.78,0.84,-0.03,1.11,0.57
202526-0518,UEL,2026-02-19 17:45:00+00:00,Fenerbahçe,Nottingham Forest,0.48,2.74,0.53,1.93,-0.05,0.81,0.43
202526-0919,UECL,2026-02-19 17:45:00+00:00,FC Noah,AZ Alkmaar,0.98,0.7,1.09,0.72,-0.11,-0.02,0.065
202526-0921,UECL,2026-02-19 17:45:00+00:00,Zrinjski Mostar,Crystal Palace,1.24,0.7,0.58,1.03,0.66,-0.33,0.495
202526-0929,UECL,2026-02-19 17:45:00+00:00,Sigma Olomouc,Lausanne Sports,2.96,0.46,2.02,0.88,0.94,-0.42,0.68
202526-0516,UEL,2026-02-19 20:00:00+00:00,Celtic,VfB Stuttgart,2.09,1.88,1.03,1.36,1.06,0.52,0.79
202526-0925,UECL,2026-02-19 20:00:00+00:00,Shkendija Tetovo,Samsunspor,0.24,2.4,0.27,1.32,-0.03,1.08,0.555
202526-0927,UECL,2026-02-19 20:00:00+00:00,FC Drita,NK Celje,1.55,2.03,1.75,1.34,-0.2,0.69,0.445
202526-0931,UECL,2026-02-19 20:00:00+00:00,Omonia Nicosia,NK Rijeka,3.32,0.5,1.29,0.72,2.03,-0.22,1.125
202526-0252,UCL,2026-02-24 20:00:00+00:00,Bayer Leverkusen,Olympiakos Piraeus,0.69,0.21,0.65,0.41,0.04,-0.2,0.12
202526-0240,UCL,2026-02-25 20:00:00+00:00,Juventus,Galatasaray,5.2,2.01,3.46,1.44,1.74,0.57,1.155
202526-0242,UCL,2026-02-25 20:00:00+00:00,Real Madrid,Benfica,0.98,1.64,1.29,1.06,-0.31,0.58,0.445
202526-0517,UEL,2026-02-26 17:45:00+00:00,VfB Stuttgart,Celtic,2.13,0.3,2.04,0.27,0.09,0.03,0.06
202526-0926,UECL,2026-02-26 17:45:00+00:00,Samsunspor,Shkendija Tetovo,3.84,0.38,2.44,0.57,1.4,-0.19,0.795
202526-0928,UECL,2026-02-26 17:45:00+00:00,NK Celje,FC Drita,2.9,1.42,1.9,1.32,1,0.1,0.55
202526-0932,UECL,2026-02-26 17:45:00+00:00,NK Rijeka,Omonia Nicosia,1.15,2.31,1.02,1.49,0.13,0.82,0.475
202526-0519,UEL,2026-02-26 20:00:00+00:00,Nottingham Forest,Fenerbahçe,0.99,1.76,1.09,1.59,-0.1,0.17,0.135
202526-0920,UECL,2026-02-26 20:00:00+00:00,AZ Alkmaar,FC Noah,1.76,0.13,1.52,0.22,0.24,-0.09,0.165
202526-0922,UECL,2026-02-26 20:00:00+00:00,Crystal Palace,Zrinjski Mostar,2.05,0.33,1.29,0.22,0.76,0.11,0.435
202526-0930,UECL,2026-02-26 20:00:00+00:00,Lausanne Sports,Sigma Olomouc,1.09,1.14,1.18,0.57,-0.09,0.57,0.33
202526-0255,UCL,2026-03-10 17:45:00+00:00,Galatasaray,Liverpool,1.34,1.31,1.49,1.25,-0.15,0.06,0.105
202526-0259,UCL,2026-03-10 20:00:00+00:00,Atalanta,Bayern München,1.68,4.84,1.03,2.32,0.65,2.52,1.585
202526-0261,UCL,2026-03-10 20:00:00+00:00,Newcastle United,FC Barcelona,1.3,1.42,1.52,1.6,-0.22,-0.18,0.2
202526-0267,UCL,2026-03-11 17:45:00+00:00,Bayer Leverkusen,Arsenal,0.85,1.64,0.67,1.37,0.18,0.27,0.225
202526-0532,UEL,2026-03-12 17:45:00+00:00,VfB Stuttgart,FC Porto,0.63,0.94,0.81,1.13,-0.18,-0.19,0.185
202526-0536,UEL,2026-03-12 17:45:00+00:00,Bologna,AS Roma,1.46,1.35,1.02,0.84,0.44,0.51,0.475
202526-0538,UEL,2026-03-12 17:45:00+00:00,Lille OSC,Aston Villa,0.43,0.51,0.49,0.88,-0.06,-0.37,0.215
202526-0933,UECL,2026-03-12 17:45:00+00:00,Lech Poznan,Shakhtar Donetsk,1.45,1.79,0.68,1.2,0.77,0.59,0.68
202526-0935,UECL,2026-03-12 17:45:00+00:00,AZ Alkmaar,Sparta Praha,3.84,0.97,2.39,0.53,1.45,0.44,0.945
202526-0941,UECL,2026-03-12 17:45:00+00:00,Samsunspor,Rayo Vallecano,0.54,0.55,0.95,0.6,-0.41,-0.05,0.23
202526-0947,UECL,2026-03-12 17:45:00+00:00,NK Rijeka,RC Strasbourg,2.1,2.5,1.63,1.09,0.47,1.41,0.94
202526-0534,UEL,2026-03-12 20:00:00+00:00,Nottingham Forest,FC Midtjylland,1.72,0.69,1.89,0.45,-0.17,0.24,0.205
202526-0937,UECL,2026-03-12 20:00:00+00:00,Crystal Palace,AEK Larnaca,1.98,0.23,1.26,0.15,0.72,0.08,0.4
202526-0943,UECL,2026-03-12 20:00:00+00:00,NK Celje,AEK Athens,0.26,3.76,0.44,1.9,-0.18,1.86,1.02
202526-0268,UCL,2026-03-17 20:00:00+00:00,Arsenal,Bayer Leverkusen,1.7,0.52,1.78,0.72,-0.08,-0.2,0.14
202526-0262,UCL,2026-03-18 17:45:00+00:00,FC Barcelona,Newcastle United,4.29,1.54,2.56,0.84,1.73,0.7,1.215
202526-0256,UCL,2026-03-18 20:00:00+00:00,Liverpool,Galatasaray,4.88,0.18,2.88,0.3,2,-0.12,1.06
202526-0260,UCL,2026-03-18 20:00:00+00:00,Bayern München,Atalanta,3.59,2.06,2.72,1.29,0.87,0.77,0.82
202526-0535,UEL,2026-03-19 17:45:00+00:00,FC Midtjylland,Nottingham Forest,0.7,2.07,0.98,1.74,-0.28,0.33,0.305
202526-0938,UECL,2026-03-19 17:45:00+00:00,AEK Larnaca,Crystal Palace,0.22,3.61,0.53,2.54,-0.31,1.07,0.69
202526-0944,UECL,2026-03-19 17:45:00+00:00,AEK Athens,NK Celje,1.1,1.21,1.13,0.53,-0.03,0.68,0.355
202526-0533,UEL,2026-03-19 20:00:00+00:00,FC Porto,VfB Stuttgart,1.5,1.71,0.91,1.74,0.59,-0.03,0.31
202526-0537,UEL,2026-03-19 20:00:00+00:00,AS Roma,Bologna,2.19,1.75,2.92,1.94,-0.73,-0.19,0.46
202526-0539,UEL,2026-03-19 20:00:00+00:00,Aston Villa,Lille OSC,1.85,0.39,0.68,0.68,1.17,-0.29,0.73
202526-0934,UECL,2026-03-19 20:00:00+00:00,Shakhtar Donetsk,Lech Poznan,0.62,2.13,0.83,2.05,-0.21,0.08,0.145
202526-0936,UECL,2026-03-19 20:00:00+00:00,Sparta Praha,AZ Alkmaar,0.74,2.52,0.69,1.2,0.05,1.32,0.685
202526-0942,UECL,2026-03-19 20:00:00+00:00,Rayo Vallecano,Samsunspor,1.15,0.92,1.63,0.88,-0.48,0.04,0.26
202526-0948,UECL,2026-03-19 20:00:00+00:00,RC Strasbourg,NK Rijeka,1.11,1.34,1.33,1.35,-0.22,-0.01,0.115
202526-0271,UCL,2026-04-07 19:00:00+00:00,Real Madrid,Bayern München,2.2,2.92,2.2,2.92,0,0,0
202526-0953,UECL,2026-04-09 16:45:00+00:00,Rayo Vallecano,AEK Athens,2.33,1.11,2.31,1.11,0.02,0,0.01
202526-0544,UEL,2026-04-09 19:00:00+00:00,FC Porto,Nottingham Forest,2.16,0.45,2.16,0.45,0,0,0
202526-0546,UEL,2026-04-09 19:00:00+00:00,Bologna,Aston Villa,0.85,1.57,0.85,1.57,0,0,0
202526-0949,UECL,2026-04-09 19:00:00+00:00,Shakhtar Donetsk,AZ Alkmaar,0.71,0.49,0.78,0.49,-0.07,0,0.035
202526-0951,UECL,2026-04-09 19:00:00+00:00,Crystal Palace,Fiorentina,3.05,0.45,3.05,0.45,0,0,0
202526-0272,UCL,2026-04-15 19:00:00+00:00,Bayern München,Real Madrid,2.14,2.25,2.14,2.25,0,0,0
202526-0950,UECL,2026-04-16 16:45:00+00:00,AZ Alkmaar,Shakhtar Donetsk,0.81,1.65,0.85,1.51,-0.04,0.14,0.09
202526-0545,UEL,2026-04-16 19:00:00+00:00,Nottingham Forest,FC Porto,2.17,0.97,2.17,0.97,0,0,0
202526-0547,UEL,2026-04-16 19:00:00+00:00,Aston Villa,Bologna,2.49,0.8,2.49,0.8,0,0,0
202526-0952,UECL,2026-04-16 19:00:00+00:00,Fiorentina,Crystal Palace,1.9,1.43,1.92,1.34,-0.02,0.09,0.055
202526-0954,UECL,2026-04-16 19:00:00+00:00,AEK Athens,Rayo Vallecano,2.78,1.9,2.78,1.8,0,0.1,0.05
202526-0550,UEL,2026-04-30 19:00:00+00:00,Nottingham Forest,Aston Villa,1.56,0.79,1.56,0.79,0,0,0
202526-0957,UECL,2026-04-30 19:00:00+00:00,Shakhtar Donetsk,Crystal Palace,1.15,2.2,1.06,2.31,0.09,-0.11,0.1
202526-0959,UECL,2026-04-30 19:00:00+00:00,Rayo Vallecano,RC Strasbourg,1.29,0.21,1.29,0.21,0,0,0
202526-0551,UEL,2026-05-07 19:00:00+00:00,Aston Villa,Nottingham Forest,2.74,0.79,2.74,0.79,0,0,0
202526-0958,UECL,2026-05-07 19:00:00+00:00,Crystal Palace,Shakhtar Donetsk,1.35,1.11,1.37,1.04,-0.02,0.07,0.045
202526-0960,UECL,2026-05-07 19:00:00+00:00,RC Strasbourg,Rayo Vallecano,1.48,1.69,1.6,1.73,-0.12,-0.04,0.08
202526-0552,UEL,2026-05-20 19:00:00+00:00,SC Freiburg,Aston Villa,0.27,2.3,0.27,2.3,0,0,0
202526-0961,UECL,2026-05-27 19:00:00+00:00,Crystal Palace,Rayo Vallecano,2.58,0.56,2.57,0.52,0.01,0.04,0.025
