segment,competition,model_arm,matches,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_draw_rate,observed_draw_rate,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2
NON_KNOCKOUT,UEL,BASELINE,720,0.5785069797520964,0.9750457041125903,0.5680555555555555,0.19869107451474788,0.2013888888888889,0.0,0.0,0.0
NON_KNOCKOUT,UEL,CANDIDATE,720,0.5785069797520964,0.9750457041125903,0.5680555555555555,0.19869107451474788,0.2013888888888889,0.0,0.0,0.0
NON_KNOCKOUT,UEL,PRESPECIFIED_012,720,0.5785069797520964,0.9750457041125903,0.5680555555555555,0.19869107451474788,0.2013888888888889,0.0,0.0,0.0
POST_COVID_SINGLE_2021_22_PLUS,ALL,BASELINE,24,0.6445936087692279,1.0583343324610133,0.375,0.2311110535498024,0.125,0.0,0.0,0.0
POST_COVID_SINGLE_2021_22_PLUS,ALL,CANDIDATE,24,0.6289545393698562,1.014526337940434,0.375,0.10592589954365944,0.125,-0.015639069399371652,-0.043807994520579374,0.0
POST_COVID_SINGLE_2021_22_PLUS,ALL,PRESPECIFIED_012,24,0.6284864329182995,1.0137082708493599,0.375,0.1155555267749012,0.125,-0.016107175850928357,-0.04462606161165339,0.0
POST_COVID_SINGLE_2021_22_PLUS,UCL,BASELINE,14,0.6810995354846675,1.1023306636160017,0.21428571428571427,0.23396877065323124,0.07142857142857142,0.0,0.0,0.0
POST_COVID_SINGLE_2021_22_PLUS,UCL,CANDIDATE,14,0.6439625695432577,0.9976411688916259,0.21428571428571427,0.10723568654939766,0.07142857142857142,-0.037136965941409805,-0.10468949472437583,0.0
POST_COVID_SINGLE_2021_22_PLUS,UCL,PRESPECIFIED_012,14,0.6451080954269146,1.0028053008938451,0.21428571428571427,0.11698438532661562,0.07142857142857142,-0.0359914400577529,-0.09952536272215662,0.0
POST_COVID_SINGLE_2021_22_PLUS,UECL,BASELINE,5,0.4278979928035394,0.7603780211925063,1.0,0.2295922921445722,0.0,0.0,0.0,0.0
POST_COVID_SINGLE_2021_22_PLUS,UECL,CANDIDATE,5,0.36532674855765324,0.6340037211889182,1.0,0.10522980056626227,0.0,-0.06257124424588617,-0.12637430000358807,0.0
POST_COVID_SINGLE_2021_22_PLUS,UECL,PRESPECIFIED_012,5,0.3684896905744783,0.6431639050166023,1.0,0.1147961460722861,0.0,-0.05940830222906113,-0.11721411617590405,0.0
POST_COVID_SINGLE_2021_22_PLUS,UEL,BASELINE,5,0.7590726299316856,1.2331009164955522,0.2,0.2246282070654318,0.4,0.0,0.0,0.0
POST_COVID_SINGLE_2021_22_PLUS,UEL,CANDIDATE,5,0.8505598456965353,1.4423274280286122,0.2,0.10295459490498955,0.4,0.09148721576484975,0.20922651153306004,0.0
POST_COVID_SINGLE_2021_22_PLUS,UEL,PRESPECIFIED_012,5,0.8419425202379985,1.4147809525575588,0.2,0.1123141035327159,0.4,0.08286989030631298,0.18168003606200656,0.0
