candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,fold
domestic_c80_a0.4,2024/25,ALL,957,0.6238254500649355,0.16959149103103247,0.7019354838709677,0.4420461531356286,2
domestic_c80_a0.4,2024/25,UCL,279,0.6223090659282648,0.17708136944410582,0.7063829787234043,0.4138828516552465,2
domestic_c80_a0.4,2024/25,UEL,269,0.6226678208338445,0.16474823789773066,0.7383177570093458,0.49601882566436184,2
domestic_c80_a0.4,2024/25,UECL,409,0.6256212286402283,0.16766767444328365,0.6748466257668712,0.3646913168984165,2
domestic_c120_a0.0,2021/22,ALL,816,0.6196185148840747,0.15754501714120964,0.6894904458598726,0.42016834899802796,2
domestic_c120_a0.0,2021/22,UCL,218,0.6030790043807,0.15873703517733326,0.7215909090909091,0.42916937575846803,2
domestic_c120_a0.0,2021/22,UEL,175,0.6436163955833343,0.1565306875204743,0.6507936507936508,0.4536303755621829,2
domestic_c120_a0.0,2021/22,UECL,423,0.6182142221355292,0.15735033097514278,0.6871165644171779,0.360423943209222,2
domestic_c120_a0.0,2022/23,ALL,804,0.6331192666939124,0.16461349860809546,0.6714975845410628,0.40441443898331414,2
domestic_c120_a0.0,2022/23,UCL,214,0.622763836212184,0.15976522323108683,0.6787878787878788,0.3467265523142415,2
domestic_c120_a0.0,2022/23,UEL,175,0.6353738009629805,0.1627516123821513,0.6842105263157895,0.4185295387944983,2
domestic_c120_a0.0,2022/23,UECL,415,0.6375084682023533,0.16789870588573425,0.6625386996904025,0.33773076383959877,2
domestic_c120_a0.0,2023/24,ALL,806,0.6115703129450445,0.15861106589843246,0.705511811023622,0.4002374105551627,2
domestic_c120_a0.0,2023/24,UCL,214,0.6258241447174959,0.160580650623966,0.696969696969697,0.4012196155802363,2
domestic_c120_a0.0,2023/24,UEL,175,0.5653151462023154,0.13980204707885904,0.7785714285714286,0.7032061192470022,2
domestic_c120_a0.0,2023/24,UECL,417,0.6236670375989366,0.16549376892519782,0.6787878787878788,0.3220955625664704,2
domestic_c120_a0.0,2024/25,ALL,957,0.6236937549330459,0.16959987146851485,0.7058064516129032,0.44150906487262265,2
domestic_c120_a0.0,2024/25,UCL,279,0.6236970289704494,0.17776272140157023,0.6978723404255319,0.39560275097511255,2
domestic_c120_a0.0,2024/25,UEL,269,0.6213340595895982,0.16416525328234843,0.7523364485981309,0.49994505957524776,2
domestic_c120_a0.0,2024/25,UECL,409,0.6252434972092118,0.16760592809628086,0.6809815950920245,0.36544635134348824,2
domestic_c120_a0.1,2021/22,ALL,816,0.6197109229920464,0.15757819700728098,0.6910828025477707,0.4229206593896585,2
domestic_c120_a0.1,2021/22,UCL,218,0.6035981933228507,0.1589674722040516,0.7272727272727273,0.42874401103385745,2
domestic_c120_a0.1,2021/22,UEL,175,0.6436330141512201,0.15654130084974544,0.6507936507936508,0.45020157453752546,2
domestic_c120_a0.1,2021/22,UECL,423,0.6181180367391607,0.1572911871601716,0.6871165644171779,0.36466986892287717,2
domestic_c120_a0.1,2022/23,ALL,804,0.6328328510270117,0.16447519725018622,0.6698872785829307,0.4052097907754543,2
domestic_c120_a0.1,2022/23,UCL,214,0.6228786664396171,0.15980586781014242,0.6787878787878788,0.3481955431782104,2
domestic_c120_a0.1,2022/23,UEL,175,0.6349185026785088,0.1625594143575871,0.6917293233082706,0.4148075349390826,2
domestic_c120_a0.1,2022/23,UECL,415,0.6370863605756635,0.16769085630169034,0.6563467492260062,0.33838251225815047,2
domestic_c120_a0.1,2023/24,ALL,806,0.6116263888080267,0.1586246483002041,0.7023622047244095,0.40246973710624645,2
domestic_c120_a0.1,2023/24,UCL,214,0.6260915330324314,0.16071099962588414,0.6909090909090909,0.4029796024506593,2
domestic_c120_a0.1,2023/24,UEL,175,0.5658600790122355,0.14003259005061566,0.7714285714285715,0.7032061192470022,2
domestic_c120_a0.1,2023/24,UECL,417,0.6234095143481727,0.16535637734092934,0.6787878787878788,0.32559894541118317,2
domestic_c120_a0.1,2024/25,ALL,957,0.6238497529562558,0.16965115590375818,0.704516129032258,0.44172959726461825,2
domestic_c120_a0.1,2024/25,UCL,279,0.6242023133488742,0.17797736451719498,0.6936170212765957,0.3956709603060086,2
domestic_c120_a0.1,2024/25,UEL,269,0.6218240717729493,0.16440032524302697,0.7476635514018691,0.4991570478396122,2
domestic_c120_a0.1,2024/25,UECL,409,0.624941547305324,0.16742489977805605,0.6840490797546013,0.36560261305098474,2
domestic_c120_a0.2,2021/22,ALL,816,0.6198444930386697,0.15763001009658661,0.6910828025477707,0.4237454899985308,2
domestic_c120_a0.2,2021/22,UCL,218,0.6041320844447122,0.15920499676752523,0.7272727272727273,0.4294883993019259,2
domestic_c120_a0.2,2021/22,UEL,175,0.6436627397628295,0.15655781530127258,0.6428571428571429,0.45359920464377695,2
domestic_c120_a0.2,2021/22,UECL,423,0.6180882563879718,0.1572618942453226,0.6901840490797546,0.3659153541334255,2
domestic_c120_a0.2,2022/23,ALL,804,0.6326037038984575,0.16436170708361117,0.6714975845410628,0.4062460859719322,2
domestic_c120_a0.2,2022/23,UCL,214,0.6230220102562369,0.1598586469384613,0.6787878787878788,0.3500222013829716,2
domestic_c120_a0.2,2022/23,UEL,175,0.6344959956440627,0.16238004099204287,0.6917293233082706,0.4168644318065492,2
domestic_c120_a0.2,2022/23,UECL,415,0.6367466710887091,0.16751940934165097,0.6594427244582043,0.34013148023655354,2
domestic_c120_a0.2,2023/24,ALL,806,0.6117326918203028,0.15866075974918994,0.705511811023622,0.4023774494023839,2
domestic_c120_a0.2,2023/24,UCL,214,0.6263901184931931,0.16085562714929785,0.6909090909090909,0.4062062450464348,2
domestic_c120_a0.2,2023/24,UEL,175,0.5664387804453086,0.14027829214534937,0.7785714285714286,0.703009729528352,2
domestic_c120_a0.2,2023/24,UECL,417,0.6232188912990211,0.16524884178048252,0.6818181818181818,0.32730804415198644,2
domestic_c120_a0.2,2024/25,ALL,957,0.6240507797926426,0.1697241428444814,0.7019354838709677,0.441927616974931,2
domestic_c120_a0.2,2024/25,UCL,279,0.6247341032621005,0.1782061896460374,0.6893617021276596,0.3962052667313608,2
domestic_c120_a0.2,2024/25,UEL,269,0.6223381673896121,0.16464703783168103,0.7476635514018691,0.4932538722059914,2
domestic_c120_a0.2,2024/25,UECL,409,0.6247110377105799,0.1672773217951151,0.6809815950920245,0.3665374176020259,2
domestic_c120_a0.4,2021/22,ALL,816,0.6202360320412411,0.15779069586950625,0.6926751592356688,0.4270820364901166,2
domestic_c120_a0.4,2021/22,UCL,218,0.6052442408307261,0.15970152564033224,0.7272727272727273,0.4307054150417839,2
domestic_c120_a0.4,2021/22,UEL,175,0.643761661443357,0.15660869380614123,0.6587301587301587,0.4600827556722202,2
domestic_c120_a0.4,2021/22,UECL,423,0.6182294725578418,0.15729492629751762,0.6871165644171779,0.37198286603567693,2
domestic_c120_a0.4,2022/23,ALL,804,0.6323189006195912,0.16421144686939007,0.6666666666666666,0.40932825308484516,2
domestic_c120_a0.4,2022/23,UCL,214,0.6233953428973239,0.16000202118903414,0.6848484848484848,0.350660893062958,2
domestic_c120_a0.4,2022/23,UEL,175,0.6337502376306718,0.1620608378786934,0.6766917293233082,0.4151013773487207,2
domestic_c120_a0.4,2022/23,UECL,415,0.6363168701994132,0.16728897378256619,0.653250773993808,0.3459642994167232,2
domestic_c120_a0.4,2023/24,ALL,806,0.6120972559071077,0.1588020751979163,0.7039370078740157,0.40294153444946224,2
domestic_c120_a0.4,2023/24,UCL,214,0.6270818003783916,0.16118851292808978,0.6909090909090909,0.41725080033474155,2
domestic_c120_a0.4,2023/24,UEL,175,0.5676986369066571,0.140816295780956,0.7785714285714286,0.6987218873378214,2
domestic_c120_a0.4,2023/24,UECL,417,0.6230398597637603,0.16512536949938134,0.6787878787878788,0.32802295422463784,2
domestic_c120_a0.4,2024/25,ALL,957,0.624589090990442,0.16993644600759342,0.7032258064516129,0.4421849047655926,2
domestic_c120_a0.4,2024/25,UCL,279,0.625878282787306,0.17870717174459758,0.6851063829787234,0.3947615025607283,2
domestic_c120_a0.4,2024/25,UEL,269,0.6234392282728356,0.1651757149720764,0.7383177570093458,0.48941058689885647,2
domestic_c120_a0.4,2024/25,UECL,409,0.6244659334347233,0.16708462245729983,0.6932515337423313,0.3705048055560749,2
domestic_c160_a0.0,2021/22,ALL,816,0.6192803951799418,0.15736585813351658,0.6942675159235668,0.42307364118117746,2
domestic_c160_a0.0,2021/22,UCL,218,0.6031084386383446,0.15874255263388865,0.7272727272727273,0.4296301875434627,2
domestic_c160_a0.0,2021/22,UEL,175,0.643907903727121,0.15665767092999155,0.6428571428571429,0.4625764291446984,2
domestic_c160_a0.0,2021/22,UECL,423,0.6174261931239414,0.15694934125298657,0.696319018404908,0.36388977489388363,2
domestic_c160_a0.0,2022/23,ALL,804,0.632131551242049,0.16413878512645122,0.6714975845410628,0.405910196552816,2
domestic_c160_a0.0,2022/23,UCL,214,0.6221884375671904,0.15950254127423,0.6848484848484848,0.3481444478438115,2
domestic_c160_a0.0,2022/23,UEL,175,0.6335269324581725,0.16202817509387002,0.6766917293233082,0.4182030472282337,2
domestic_c160_a0.0,2022/23,UECL,415,0.6366704298290325,0.16741953919892602,0.6625386996904025,0.3381850127373772,2
domestic_c160_a0.0,2023/24,ALL,806,0.6113236286834827,0.15844385347750126,0.7086614173228346,0.4004874348957292,2
domestic_c160_a0.0,2023/24,UCL,214,0.625631493866518,0.16047472380351901,0.6909090909090909,0.407570872547415,2
domestic_c160_a0.0,2023/24,UEL,175,0.5649584032007715,0.13949462038012525,0.7928571428571428,0.7016022698780251,2
domestic_c160_a0.0,2023/24,UECL,417,0.6234388116818158,0.16535394830309597,0.6818181818181818,0.3234272577998407,2
domestic_c160_a0.0,2024/25,ALL,957,0.6244678079651138,0.16995453388282744,0.7070967741935484,0.44160968277647067,2
domestic_c160_a0.0,2024/25,UCL,279,0.6271620586223269,0.1793055481934884,0.6978723404255319,0.393749730819104,2
domestic_c160_a0.0,2024/25,UEL,269,0.621805434817767,0.1644468848430807,0.7476635514018691,0.4970003841420833,2
domestic_c160_a0.0,2024/25,UECL,409,0.6243809679731183,0.1671981148095205,0.6871165644171779,0.3663797730475604,2
domestic_c160_a0.1,2021/22,ALL,816,0.6194379313019235,0.15742645008864886,0.6926751592356688,0.424598919577331,2
domestic_c160_a0.1,2021/22,UCL,218,0.6038099466244315,0.15905456008647337,0.7272727272727273,0.4286967482866784,2
domestic_c160_a0.1,2021/22,UEL,175,0.6439157959151701,0.1566678830255608,0.6428571428571429,0.4593658245488827,2
domestic_c160_a0.1,2021/22,UECL,423,0.617365293837089,0.15690120483218237,0.6932515337423313,0.3672992265895903,2
domestic_c160_a0.1,2022/23,ALL,804,0.631798862825796,0.16397610108713237,0.6714975845410628,0.4075996630770923,2
domestic_c160_a0.1,2022/23,UCL,214,0.6223676329900574,0.15956898431652086,0.6787878787878788,0.3504054163909635,2
domestic_c160_a0.1,2022/23,UEL,175,0.6329619460546707,0.1617879436789776,0.6766917293233082,0.4183989421679924,2
domestic_c160_a0.1,2022/23,UECL,415,0.6361717390180732,0.1671714035819226,0.6656346749226006,0.3414283937562977,2
domestic_c160_a0.1,2023/24,ALL,806,0.6114510335331808,0.15848809775387743,0.710236220472441,0.4034067398138307,2
domestic_c160_a0.1,2023/24,UCL,214,0.6260346114052036,0.16067060412693387,0.6909090909090909,0.4141261859633384,2
domestic_c160_a0.1,2023/24,UEL,175,0.5657377384754183,0.1398288723705178,0.7857142857142857,0.6943031186681908,2
domestic_c160_a0.1,2023/24,UECL,417,0.6231511317837696,0.16519866868494187,0.6878787878787879,0.32885863341966787,2
domestic_c160_a0.1,2024/25,ALL,957,0.6247106000626824,0.17004195098151223,0.7070967741935484,0.4410960260801142,2
domestic_c160_a0.1,2024/25,UCL,279,0.6278447605150906,0.17959939432632419,0.6978723404255319,0.3943749830189842,2
domestic_c160_a0.1,2024/25,UEL,269,0.6224824682444817,0.16477277707334048,0.7476635514018691,0.4910142599047113,2
domestic_c160_a0.1,2024/25,UECL,409,0.6240380736393919,0.16698787051230843,0.6871165644171779,0.36538412322988345,2
domestic_c160_a0.2,2021/22,ALL,816,0.6196688782062836,0.15752054746717484,0.695859872611465,0.4269544760052002,2
domestic_c160_a0.2,2021/22,UCL,218,0.6045376613308252,0.15937919279816576,0.7272727272727273,0.42915756007167327,2
domestic_c160_a0.2,2021/22,UEL,175,0.6439468619842812,0.1566884449049522,0.6428571428571429,0.45849303883351533,2
domestic_c160_a0.2,2021/22,UECL,423,0.6174229163095941,0.15690691452682726,0.6993865030674846,0.37151029921916434,2
domestic_c160_a0.2,2022/23,ALL,804,0.6315683229347792,0.1638581601523194,0.6682769726247987,0.4086827156074812,2
domestic_c160_a0.2,2022/23,UCL,214,0.6225978141142543,0.15965738826514433,0.6787878787878788,0.35025213038776665,2
domestic_c160_a0.2,2022/23,UEL,175,0.6324555897392675,0.16157096430069134,0.6691729323308271,0.4158523079511291,2
domestic_c160_a0.2,2022/23,UECL,415,0.6358199306379283,0.16698882149663358,0.6625386996904025,0.34424715080555585,2
domestic_c160_a0.2,2023/24,ALL,806,0.6116680640158487,0.15857293478997,0.7070866141732284,0.4032442946208073,2
domestic_c160_a0.2,2023/24,UCL,214,0.6264935028307325,0.16089229917987782,0.6909090909090909,0.41478936942175865,2
domestic_c160_a0.2,2023/24,UEL,175,0.5665776327575288,0.14019069555661023,0.7785714285714286,0.69371394951224,2
domestic_c160_a0.2,2023/24,UECL,417,0.62298264810175,0.1650970304408038,0.6848484848484848,0.32874649066317346,2
domestic_c160_a0.2,2024/25,ALL,957,0.6250335792451405,0.17016812529950584,0.7109677419354838,0.4418132157965833,2
domestic_c160_a0.2,2024/25,UCL,279,0.6285747064354936,0.17991847312307913,0.6978723404255319,0.39241964886663155,2
domestic_c160_a0.2,2024/25,UEL,269,0.6232025416690459,0.16511944771188147,0.7523364485981309,0.4920096431497247,2
domestic_c160_a0.2,2024/25,UECL,409,0.6238222702521357,0.16683743392614153,0.6932515337423313,0.36883570926449694,2
domestic_c160_a0.4,2021/22,ALL,816,0.6203530623493156,0.15781184128344064,0.7022292993630573,0.4274406584939741,2
domestic_c160_a0.4,2021/22,UCL,218,0.6060723202877075,0.16006680685983374,0.7272727272727273,0.43285587003842624,2
domestic_c160_a0.4,2021/22,UEL,175,0.6440788592390891,0.156760939094787,0.6587301587301587,0.45350569188855905,2
domestic_c160_a0.4,2021/22,UECL,423,0.6178972403959355,0.15708447813299314,0.7055214723926381,0.37017358093558,2
domestic_c160_a0.4,2022/23,ALL,804,0.6314174781524748,0.16376160071523635,0.6618357487922706,0.41071713674826466,2
domestic_c160_a0.4,2022/23,UCL,214,0.6232136338278403,0.15990323936854509,0.6848484848484848,0.34915358069819,2
domestic_c160_a0.4,2022/23,UEL,175,0.6316207593592218,0.1612091450991856,0.6541353383458647,0.4182356963848602,2
domestic_c160_a0.4,2022/23,UECL,415,0.6355621732712486,0.16682755025981658,0.653250773993808,0.35035866375392777,2
domestic_c160_a0.4,2023/24,ALL,806,0.6123738650066283,0.15886768693748524,0.7007874015748031,0.40462343076679425,2
domestic_c160_a0.4,2023/24,UCL,214,0.627580682655283,0.1614148409559646,0.6787878787878788,0.4108485292553767,2
domestic_c160_a0.4,2023/24,UEL,175,0.5684417303421349,0.1409995910319611,0.7857142857142857,0.6996056410717475,2
domestic_c160_a0.4,2023/24,UECL,417,0.6230066338063267,0.16505911577084775,0.6757575757575758,0.3359969511888271,2
domestic_c160_a0.4,2024/25,ALL,957,0.6259227214286058,0.1705393618925988,0.7070967741935484,0.4440070536544565,2
domestic_c160_a0.4,2024/25,UCL,279,0.6301788027829072,0.1806339903377752,0.6893617021276596,0.3932836337246478,2
domestic_c160_a0.4,2024/25,UEL,269,0.6247731872657594,0.1658757254712073,0.7383177570093458,0.48339681312690086,2
domestic_c160_a0.4,2024/25,UECL,409,0.623775479355148,0.16672057671203666,0.6993865030674846,0.3743311431192863,2
domestic_c200_a0.0,2021/22,ALL,816,0.6191662186125098,0.15728104667285941,0.7022292993630573,0.42342499995457705,2
domestic_c200_a0.0,2021/22,UCL,218,0.6032072342671555,0.15878363507587653,0.7272727272727273,0.4275860737279731,2
domestic_c200_a0.0,2021/22,UEL,175,0.6446531124527924,0.15697900747197008,0.6666666666666666,0.46033212301946796,2
domestic_c200_a0.0,2021/22,UECL,423,0.616846720185176,0.15663162016765353,0.7024539877300614,0.3660168381135443,2
domestic_c200_a0.0,2022/23,ALL,804,0.6313999654649779,0.16377269361778482,0.6763285024154589,0.40819892033619737,2
domestic_c200_a0.0,2022/23,UCL,214,0.6216743180818519,0.1592704170033489,0.6848484848484848,0.34588347929665947,2
domestic_c200_a0.0,2022/23,UEL,175,0.6320895707050181,0.16149346582385207,0.6917293233082706,0.4194437151800389,2
domestic_c200_a0.0,2022/23,UECL,415,0.6361243211830069,0.16705546966459808,0.6656346749226006,0.3407711592399468,2
domestic_c200_a0.0,2023/24,ALL,806,0.6113878508636313,0.1584054496961385,0.7070866141732284,0.4025601413875812,2
domestic_c200_a0.0,2023/24,UCL,214,0.6257482667124119,0.1604996343761021,0.6848484848484848,0.41359053778538346,2
domestic_c200_a0.0,2023/24,UEL,175,0.5649992343781168,0.1393899456354164,0.7857142857142857,0.6838290003401774,2
domestic_c200_a0.0,2023/24,UECL,417,0.6234858817828783,0.16531086381871446,0.6848484848484848,0.3281232357280415,2
domestic_c200_a0.0,2024/25,ALL,957,0.6256695693694827,0.1704818534354671,0.7032258064516129,0.4405382629053586,2
domestic_c200_a0.0,2024/25,UCL,279,0.6312844429071397,0.18107964857599776,0.6851063829787234,0.3935451028264159,2
domestic_c200_a0.0,2024/25,UEL,269,0.6227462157416105,0.16494494810352842,0.7476635514018691,0.48764101668549936,2
domestic_c200_a0.0,2024/25,UECL,409,0.623762069146723,0.16689418275107457,0.6871165644171779,0.36582110287208613,2
domestic_c200_a0.1,2021/22,ALL,816,0.6194068678793431,0.15737817554706568,0.6990445859872612,0.42577420105579566,2
domestic_c200_a0.1,2021/22,UCL,218,0.6040958325509751,0.15917961346748127,0.7272727272727273,0.42876764240744697,2
domestic_c200_a0.1,2021/22,UEL,175,0.6446465408648693,0.15698817932620213,0.6507936507936508,0.45624873270828503,2
domestic_c200_a0.1,2021/22,UECL,423,0.6168557164115348,0.156611120870944,0.7024539877300614,0.3700679965926281,2
domestic_c200_a0.1,2022/23,ALL,804,0.6310464555516012,0.16359747568398264,0.6698872785829307,0.41103012461607746,2
domestic_c200_a0.1,2022/23,UCL,214,0.6219312048927251,0.1593691302826834,0.6848484848484848,0.3482721861798087,2
domestic_c200_a0.1,2022/23,UEL,175,0.6314370446250014,0.16121454149088524,0.6691729323308271,0.4202599440957002,2
domestic_c200_a0.1,2022/23,UECL,415,0.6355821436314913,0.16678272724945276,0.6625386996904025,0.34630772913895663,2
domestic_c200_a0.1,2023/24,ALL,806,0.6116138780165403,0.15849461149502117,0.7070866141732284,0.402092581745053,2
