fold,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,selected_candidate,model
2,2024/25,ALL,957,0.6339071159209336,0.1740557206240515,0.68,0.4440368160685751,baseline_v1_1,baseline
2,2024/25,UCL,279,0.6252963895862377,0.1783506770406056,0.6936170212765957,0.4713238154266587,baseline_v1_1,baseline
2,2024/25,UEL,269,0.6418037595986806,0.17378904386685154,0.6822429906542056,0.4414386443961296,baseline_v1_1,baseline
2,2024/25,UECL,409,0.6345873005127828,0.1713013030383992,0.6687116564417178,0.3632683673673199,baseline_v1_1,baseline
2,2024/25,ALL,957,0.6244132911662559,0.16982001599105115,0.7019354838709677,0.4467305267334904,country_candidate_fixed,country_candidate_fixed
2,2024/25,UCL,279,0.6260349264437779,0.17873247939798922,0.6851063829787234,0.3975558405519942,country_candidate_fixed,country_candidate_fixed
2,2024/25,UEL,269,0.6239673551883438,0.16546618435243435,0.7336448598130841,0.48114337605832885,country_candidate_fixed,country_candidate_fixed
2,2024/25,UECL,409,0.623600382940412,0.16660388743421056,0.6932515337423313,0.377030460402766,country_candidate_fixed,country_candidate_fixed
2,2024/25,ALL,957,0.6259227214286058,0.1705393618925988,0.7070967741935484,0.4440070536544565,country_b17.5_g2.2_c360,country_selected
2,2024/25,UCL,279,0.6301788027829072,0.1806339903377752,0.6893617021276596,0.3932836337246478,country_b17.5_g2.2_c360,country_selected
2,2024/25,UEL,269,0.6247731872657594,0.1658757254712073,0.7383177570093458,0.48339681312690086,country_b17.5_g2.2_c360,country_selected
2,2024/25,UECL,409,0.623775479355148,0.16672057671203666,0.6993865030674846,0.3743311431192863,country_b17.5_g2.2_c360,country_selected
2,2024/25,ALL,957,0.6272875624146572,0.17116483083380926,0.6993548387096774,0.4424431114412207,domestic_c240_a0.0,combined_selected
2,2024/25,UCL,279,0.6360424806042598,0.18304806396777237,0.676595744680851,0.39236280775755156,domestic_c240_a0.0,combined_selected
2,2024/25,UEL,269,0.6241444114037153,0.16564300778117041,0.7336448598130841,0.4871571498302846,domestic_c240_a0.0,combined_selected
2,2024/25,UECL,409,0.623382636857308,0.166690376938416,0.6932515337423313,0.3696349948125765,domestic_c240_a0.0,combined_selected
3,2025/26,ALL,961,0.6473207175594913,0.17901011745622614,0.6282383419689119,0.3659725937522065,baseline_v1_1,baseline
3,2025/26,UCL,281,0.6268388111525041,0.1713228210626921,0.6710526315789473,0.4332182888691667,baseline_v1_1,baseline
3,2025/26,UEL,271,0.6573153960959671,0.18515347109201247,0.6164383561643836,0.4300506417158352,baseline_v1_1,baseline
3,2025/26,UECL,409,0.6547702476743532,0.18022107454983247,0.6061538461538462,0.32603515043832787,baseline_v1_1,baseline
3,2025/26,ALL,961,0.6318705183235429,0.17174943351763283,0.6658031088082902,0.4012930947002446,country_candidate_fixed,country_candidate_fixed
3,2025/26,UCL,281,0.6193789484535458,0.16816716496559758,0.6710526315789473,0.43225104375476003,country_candidate_fixed,country_candidate_fixed
3,2025/26,UEL,271,0.6377234998365978,0.17590136619144664,0.6529680365296804,0.42741147648338623,country_candidate_fixed,country_candidate_fixed
3,2025/26,UECL,409,0.6365746091387787,0.17145956483430366,0.6707692307692308,0.35552734500298716,country_candidate_fixed,country_candidate_fixed
3,2025/26,ALL,961,0.6318705183235429,0.17174943351763283,0.6658031088082902,0.4012930947002446,country_b20_g2.0_c360,country_selected
3,2025/26,UCL,281,0.6193789484535458,0.16816716496559758,0.6710526315789473,0.43225104375476003,country_b20_g2.0_c360,country_selected
3,2025/26,UEL,271,0.6377234998365978,0.17590136619144664,0.6529680365296804,0.42741147648338623,country_b20_g2.0_c360,country_selected
3,2025/26,UECL,409,0.6365746091387787,0.17145956483430366,0.6707692307692308,0.35552734500298716,country_b20_g2.0_c360,country_selected
3,2025/26,ALL,961,0.6313622294371763,0.17152571480544104,0.6696891191709845,0.405922771248794,domestic_c200_a0.0,combined_selected
3,2025/26,UCL,281,0.6185923990333779,0.16802275550498771,0.6666666666666666,0.4230480357388934,domestic_c200_a0.0,combined_selected
3,2025/26,UEL,271,0.6371856288150524,0.1756077010547952,0.6621004566210046,0.4311436293373546,domestic_c200_a0.0,combined_selected
3,2025/26,UECL,409,0.6362770976818289,0.17122770328918782,0.676923076923077,0.3629079684582972,domestic_c200_a0.0,combined_selected
