candidate,season,competition,matches,log_loss,brier,decisive_accuracy,mean_season_spearman
country_b12.5_g1.8_c280,2025/26,UCL,281,0.620231340163987,0.16840076166383014,0.6842105263157895,0.4321501166412401
country_b12.5_g1.8_c280,2025/26,UEL,271,0.6459028031844715,0.1799690743392261,0.6210045662100456,0.3877199133070028
country_b12.5_g1.8_c280,2025/26,UECL,409,0.6365578651757974,0.17175366612744558,0.6707692307692308,0.344111411466681
country_b12.5_g1.8_c300,2021/22,ALL,816,0.6197753501782356,0.15757720387105797,0.7022292993630573,0.42077728815683857
country_b12.5_g1.8_c300,2021/22,UCL,218,0.6092652320750273,0.16160244133161722,0.7159090909090909,0.43645295445627624
country_b12.5_g1.8_c300,2021/22,UEL,175,0.6423615354049116,0.15606720238234564,0.6349206349206349,0.4590852862832289
country_b12.5_g1.8_c300,2021/22,UECL,423,0.6158477457617606,0.15612743671768387,0.7208588957055214,0.3557884830264242
country_b12.5_g1.8_c300,2022/23,ALL,804,0.6341036102591208,0.16501797879023355,0.6618357487922706,0.4030584780082468
country_b12.5_g1.8_c300,2022/23,UCL,214,0.6262792096327537,0.16125562565942794,0.6848484848484848,0.3395478201288193
country_b12.5_g1.8_c300,2022/23,UEL,175,0.6359071484186526,0.1631335997899645,0.6691729323308271,0.38959237456951845
country_b12.5_g1.8_c300,2022/23,UECL,415,0.6373778332859269,0.16775270142888288,0.6470588235294118,0.3503992608776422
country_b12.5_g1.8_c300,2023/24,ALL,806,0.6134662292910201,0.1593659642264154,0.6929133858267716,0.4069521425798036
country_b12.5_g1.8_c300,2023/24,UCL,214,0.6291681813998076,0.16218385972705587,0.6727272727272727,0.40745866711176726
country_b12.5_g1.8_c300,2023/24,UEL,175,0.5787803682568955,0.145735393752087,0.75,0.6659248043232293
country_b12.5_g1.8_c300,2023/24,UECL,417,0.619964569649992,0.1636401133771838,0.6787878787878788,0.3467292286444831
country_b12.5_g1.8_c300,2024/25,ALL,957,0.6259426076041924,0.17062229477121643,0.6954838709677419,0.4452426977372424
country_b12.5_g1.8_c300,2024/25,UCL,279,0.6272614308918377,0.17943431683294728,0.6978723404255319,0.40073776567823416
country_b12.5_g1.8_c300,2024/25,UEL,269,0.6292925381247189,0.16809578915942494,0.7102803738317757,0.4657978843643731
country_b12.5_g1.8_c300,2024/25,UECL,409,0.6228397151658681,0.1662728469823387,0.6840490797546013,0.3755646426156305
country_b12.5_g1.8_c300,2025/26,ALL,961,0.6343826440505516,0.1730428338987496,0.6696891191709845,0.3846785233497311
country_b12.5_g1.8_c300,2025/26,UCL,281,0.6198367623981303,0.16821459250820878,0.6929824561403509,0.4283154047576503
country_b12.5_g1.8_c300,2025/26,UEL,271,0.646636954202318,0.18027893282740917,0.6301369863013698,0.3786293955376348
country_b12.5_g1.8_c300,2025/26,UECL,409,0.6362566653053232,0.1715654574221609,0.68,0.3391134113697749
country_b12.5_g1.8_c320,2021/22,ALL,816,0.6198425775608378,0.15759743066806348,0.695859872611465,0.4195734071658232
country_b12.5_g1.8_c320,2021/22,UCL,218,0.6095174037891833,0.16171709078133467,0.7159090909090909,0.4337116829896604
country_b12.5_g1.8_c320,2021/22,UEL,175,0.6419996972614722,0.15591789627535343,0.6190476190476191,0.4602386102642501
country_b12.5_g1.8_c320,2021/22,UECL,423,0.6159971684227994,0.15616913897546567,0.7147239263803681,0.354058129910864
country_b12.5_g1.8_c320,2022/23,ALL,804,0.6340402764228567,0.1649621957785921,0.6650563607085346,0.40247734976565325
country_b12.5_g1.8_c320,2022/23,UCL,214,0.6264223175078945,0.16132970477645442,0.6848484848484848,0.33333938368854066
country_b12.5_g1.8_c320,2022/23,UEL,175,0.63518307411924,0.16287611694297394,0.6691729323308271,0.38547851417180135
country_b12.5_g1.8_c320,2022/23,UECL,415,0.6374866706660731,0.16771500751519614,0.653250773993808,0.34997134524930024
country_b12.5_g1.8_c320,2023/24,ALL,806,0.6137375372245613,0.15948744721760247,0.6929133858267716,0.4070270086428133
country_b12.5_g1.8_c320,2023/24,UCL,214,0.6297058069746434,0.16244797034359304,0.6848484848484848,0.40060997924726605
country_b12.5_g1.8_c320,2023/24,UEL,175,0.5789155489718746,0.14572655271432608,0.75,0.6545669322612898
country_b12.5_g1.8_c320,2023/24,UECL,417,0.6201563339096993,0.16374309371427248,0.6727272727272727,0.3486615346025395
country_b12.5_g1.8_c320,2024/25,ALL,957,0.62683764725224,0.17107735397289076,0.6980645161290323,0.44435275724080187
country_b12.5_g1.8_c320,2024/25,UCL,279,0.6294492438241337,0.1804787202858594,0.7021276595744681,0.38811896821712466
country_b12.5_g1.8_c320,2024/25,UEL,269,0.6299613794932433,0.1684634554154327,0.7149532710280374,0.4580283651463522
country_b12.5_g1.8_c320,2024/25,UECL,409,0.6230016584591146,0.16638336255635766,0.6840490797546013,0.3789111322806003
country_b12.5_g1.8_c320,2025/26,ALL,961,0.6346511641042587,0.17312546233286324,0.6709844559585493,0.38280822636092615
country_b12.5_g1.8_c320,2025/26,UCL,281,0.6195433733802815,0.16807672913344046,0.6842105263157895,0.4285454874706656
country_b12.5_g1.8_c320,2025/26,UEL,271,0.647843729166065,0.1807928210670083,0.634703196347032,0.36404724533281285
country_b12.5_g1.8_c320,2025/26,UECL,409,0.6362895603431049,0.17151382373160284,0.6861538461538461,0.33415397396306246
country_b12.5_g1.8_c340,2021/22,ALL,816,0.6200754244957932,0.15769011552087073,0.7006369426751592,0.41713341458410846
country_b12.5_g1.8_c340,2021/22,UCL,218,0.6098086792563643,0.161851384493791,0.7159090909090909,0.4366301918355833
country_b12.5_g1.8_c340,2021/22,UEL,175,0.6419167007140124,0.15589660491940127,0.626984126984127,0.4655064954748602
country_b12.5_g1.8_c340,2021/22,UECL,423,0.6163305713610582,0.15628753329666398,0.7208588957055214,0.3515005285937299
country_b12.5_g1.8_c340,2022/23,ALL,804,0.6341831656558857,0.16499220601961,0.6634460547504025,0.40239719414598524
country_b12.5_g1.8_c340,2022/23,UCL,214,0.6266014956833379,0.16142166861085133,0.6848484848484848,0.3330327942346998
country_b12.5_g1.8_c340,2022/23,UEL,175,0.6347673184869859,0.16275627373146304,0.6616541353383458,0.3929879418819199
country_b12.5_g1.8_c340,2022/23,UECL,415,0.637846420182832,0.16777626181695957,0.653250773993808,0.34908698628406004
country_b12.5_g1.8_c340,2023/24,ALL,806,0.6142229798653731,0.15970460357361635,0.7023622047244095,0.40545952987703066
country_b12.5_g1.8_c340,2023/24,UCL,214,0.6304046114768148,0.16278441655438092,0.6909090909090909,0.39678389664139935
country_b12.5_g1.8_c340,2023/24,UEL,175,0.5793283791187332,0.14586243566392534,0.7571428571428571,0.650900990846485
country_b12.5_g1.8_c340,2023/24,UECL,417,0.6205627543637268,0.16393313932016862,0.6848484848484848,0.34909393119248405
country_b12.5_g1.8_c340,2024/25,ALL,957,0.6280100151943454,0.17165487963579829,0.6980645161290323,0.4440109318771716
country_b12.5_g1.8_c340,2024/25,UCL,279,0.6319623154090888,0.18165670169697506,0.6978723404255319,0.38853959479916156
country_b12.5_g1.8_c340,2024/25,UEL,269,0.6309449287231987,0.16898127991374834,0.7102803738317757,0.4519869418398128
country_b12.5_g1.8_c340,2024/25,UECL,409,0.6233836496706903,0.16659055193448555,0.6901840490797546,0.3801473974708826
country_b12.5_g1.8_c340,2025/26,ALL,961,0.6352186781598145,0.17333162184725853,0.6645077720207254,0.3832940177865898
country_b12.5_g1.8_c340,2025/26,UCL,281,0.6193512456708945,0.16798763097423364,0.6842105263157895,0.4264637867338597
country_b12.5_g1.8_c340,2025/26,UEL,271,0.6495156953091539,0.18150141620792737,0.6210045662100456,0.3473190931325829
country_b12.5_g1.8_c340,2025/26,UECL,409,0.6366471790935931,0.17158992787067848,0.68,0.3332339783541528
country_b12.5_g1.8_c360,2021/22,ALL,816,0.620471635791829,0.15785254013186278,0.6990445859872612,0.414892706977905
country_b12.5_g1.8_c360,2021/22,UCL,218,0.6101390607355265,0.16200526611842292,0.7159090909090909,0.4320692832747483
country_b12.5_g1.8_c360,2021/22,UEL,175,0.6421095366176459,0.15599998151775854,0.6349206349206349,0.46457136792268083
country_b12.5_g1.8_c360,2021/22,UECL,423,0.616844847890543,0.156478789522875,0.7147239263803681,0.34834632448438246
country_b12.5_g1.8_c360,2022/23,ALL,804,0.6345286642808702,0.16510404298215042,0.6650563607085346,0.4016590944815417
country_b12.5_g1.8_c360,2022/23,UCL,214,0.6268167350440911,0.16153141071381102,0.6848484848484848,0.3333010600068106
country_b12.5_g1.8_c360,2022/23,UEL,175,0.6346556790269127,0.16276868214554543,0.6691729323308271,0.3885802343129372
country_b12.5_g1.8_c360,2022/23,UECL,415,0.638451857717288,0.16793110672150108,0.653250773993808,0.34801829443276483
country_b12.5_g1.8_c360,2023/24,ALL,806,0.6149198529416101,0.16001381592503386,0.705511811023622,0.40529049266558104
country_b12.5_g1.8_c360,2023/24,UCL,214,0.6312629064176146,0.16318948641196365,0.6909090909090909,0.396528824467675
