cap,arm,fold,test_season,seed_spearman,seed_pairwise_accuracy
0.55,PARTICIPATION_NORMALIZED,3,2022/23,0.463993929465295,0.6617575960429916
0.55,PARTICIPATION_NORMALIZED,4,2023/24,0.49037799131109316,0.6689672990329962
0.55,PARTICIPATION_NORMALIZED,5,2024/25,0.5002260912589412,0.6744556751077782
0.55,PARTICIPATION_NORMALIZED,6,2025/26,0.4239156047998884,0.6476021443059983
0.6,BASELINE,1,2020/21,0.4643620143345589,0.6640568883781066
0.6,BASELINE,2,2021/22,0.4635865395054002,0.6594650945431015
0.6,BASELINE,3,2022/23,0.45347976027827647,0.656625385845513
0.6,BASELINE,4,2023/24,0.467899898046287,0.6611795969587363
0.6,BASELINE,5,2024/25,0.48340619859554623,0.6682969242473644
0.6,BASELINE,6,2025/26,0.4188821151466327,0.6451028687337004
0.6,PARTICIPATION_NORMALIZED,1,2020/21,0.4680167648315353,0.6649188335009337
0.6,PARTICIPATION_NORMALIZED,2,2021/22,0.463892605058286,0.6599683658063125
0.6,PARTICIPATION_NORMALIZED,3,2022/23,0.465373902311579,0.6625757744802707
0.6,PARTICIPATION_NORMALIZED,4,2023/24,0.49287139427262816,0.6702960064959032
0.6,PARTICIPATION_NORMALIZED,5,2024/25,0.49984855214178164,0.6742745353765895
0.6,PARTICIPATION_NORMALIZED,6,2025/26,0.4209866305920806,0.6463343958272966
0.65,BASELINE,1,2020/21,0.4644931850788386,0.6639132308576354
0.65,BASELINE,2,2021/22,0.46688519593547034,0.6609749083327342
0.65,BASELINE,3,2022/23,0.4561581125265126,0.6575179441407267
0.65,BASELINE,4,2023/24,0.4681406210219123,0.6616963165276445
0.65,BASELINE,5,2024/25,0.4849496807661829,0.6687678875484548
0.65,BASELINE,6,2025/26,0.4179567674659553,0.6450304259634888
0.65,PARTICIPATION_NORMALIZED,1,2020/21,0.4675642032258415,0.6647751759804625
0.65,PARTICIPATION_NORMALIZED,2,2021/22,0.4701843031248229,0.6619095549644115
0.65,PARTICIPATION_NORMALIZED,3,2022/23,0.46631032939943207,0.6628361039830413
0.65,PARTICIPATION_NORMALIZED,4,2023/24,0.49017848160755945,0.6695578356831771
0.65,PARTICIPATION_NORMALIZED,5,2024/25,0.500012441552979,0.6740571676991631
0.65,PARTICIPATION_NORMALIZED,6,2025/26,0.42110669296998793,0.645465082584758
0.675,BASELINE,1,2020/21,0.46462931416740394,0.6639132308576354
0.675,BASELINE,2,2021/22,0.4693751902125551,0.6619814508591559
0.675,BASELINE,3,2022/23,0.45575678663171854,0.6574807542117594
0.675,BASELINE,4,2023/24,0.46813874769136266,0.6614748652838267
