segment_type,segment_value,model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,baseline_brier,baseline_log_loss,delta_brier_vs_ao,delta_log_loss_vs_ao
competition,UECL,DOMESTIC_ATTACK_DEFENCE_POISSON,2073,0.5756338879886562,0.9698635276871815,0.5369030390738061,0.5771826640009489,0.9722693856325423,-0.0015487760122926408,-0.0024058579453607454
competition,UECL,EXISTING_ELO_POISSON,2073,0.5775158820068957,0.9729927163734934,0.5383502170767004,0.5771826640009489,0.9722693856325423,0.0003332180059468781,0.0007233307409511003
competition,UECL,POISSON_FEATURE_LOGISTIC,2073,0.5703203400870724,0.9638827056936339,0.5465508924264351,0.5771826640009489,0.9722693856325423,-0.0068623239138764225,-0.008386679938908403
competition,UEL,AO_ML_POISSON_BLEND,1427,0.5670035303219728,0.9585671784822194,0.562718990889979,0.5666283695656877,0.9562063092707925,0.0003751607562850756,0.0023608692114268637
competition,UEL,AO_POISSON_BLEND,1427,0.5704352662895465,0.9630495933923029,0.5634197617379118,0.5666283695656877,0.9562063092707925,0.0038068967238588103,0.006843284121510362
competition,UEL,CURRENT_AO,1427,0.5666283695656877,0.9562063092707925,0.5732305536089699,0.5666283695656877,0.9562063092707925,0.0,0.0
competition,UEL,CURRENT_ML_BLEND,1427,0.5667902244778718,0.9580096417763337,0.5662228451296426,0.5666283695656877,0.9562063092707925,0.00016185491218401182,0.0018033325055412108
competition,UEL,DOMESTIC_AD_RAW,1427,0.573316265900033,0.9672357244996388,0.5634197617379118,0.5666283695656877,0.9562063092707925,0.0066878963343453,0.011029415228846262
competition,UEL,DOMESTIC_AD_RELIABLE,1427,0.5738056258278943,0.9680863314607621,0.5606166783461808,0.5666283695656877,0.9562063092707925,0.007177256262206555,0.01188002218996953
competition,UEL,DOMESTIC_ATTACK_DEFENCE_DIXON_COLES,1427,0.5740252165078003,0.9685071173986829,0.5606166783461808,0.5666283695656877,0.9562063092707925,0.007396846942112512,0.012300808127890361
competition,UEL,DOMESTIC_ATTACK_DEFENCE_POISSON,1427,0.5738056258278943,0.9680863314607621,0.5606166783461808,0.5666283695656877,0.9562063092707925,0.007177256262206555,0.01188002218996953
competition,UEL,EXISTING_ELO_POISSON,1427,0.5691896013504827,0.960888505598379,0.5732305536089699,0.5666283695656877,0.9562063092707925,0.0025612317847949484,0.004682196327586485
competition,UEL,POISSON_FEATURE_LOGISTIC,1427,0.5998016768189334,1.013889085734194,0.5276804484933427,0.5666283695656877,0.9562063092707925,0.03317330725324563,0.057682776463401475
coverage,BOTH,AO_ML_POISSON_BLEND,2990,0.5731999204358675,0.967060762590252,0.5488294314381271,0.5746516010515942,0.9681373564175416,-0.001451680615726647,-0.0010765938272896403
coverage,BOTH,AO_POISSON_BLEND,2990,0.5764546520847676,0.9705594184811046,0.5501672240802675,0.5746516010515942,0.9681373564175416,0.001803051033173464,0.002422062063562991
