candidate_key,team_learning_rate,season_carry,shrinkage_matches,venue_context,season,matches,goal_nll,home_goal_bias,away_goal_bias
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2019/20,2730,2.9319529394955515,-0.011652761834622794,0.03919737342542436
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2020/21,8148,2.9018732323140877,0.03411852938788603,0.06446068960347115
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2021/22,8314,2.8889918056301283,-0.02953470886637877,0.07283525167089099
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2022/23,8760,2.895562639787029,-0.024258593658920153,0.06593804319071137
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2023/24,7675,2.9316585510449262,-0.02305842812377852,0.021248432188288206
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2024/25,8666,2.8949727132330967,-0.00318708661776393,0.04922563110554064
lr0.02_carry0.75_shrink40_venue1,0.02,0.75,40.0,True,2025/26,8076,2.9212052430075874,-0.01922493875994907,0.03973317895013724
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2013/14,3543,2.9586885383980444,-0.049610769420726945,0.16475746652296272
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2014/15,3574,2.8938553143119026,-0.043905799210006966,0.13382150512457602
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2015/16,2864,2.893121555765101,-0.028481597974762688,0.08726569143875298
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2016/17,3550,2.8696414883907506,-0.03935697007656197,0.07287324171460197
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2017/18,3898,2.8790748524197403,-0.0046853213112955745,0.054115537139703476
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2018/19,4597,2.8971846575720828,-0.03428172146456129,0.062457341593789704
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2019/20,2730,2.932208163575939,-0.007116582136002404,0.021538298200768045
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2020/21,8148,2.9019626252059623,0.036670870687045845,0.048168200424369326
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2021/22,8314,2.8874718600878153,-0.034202562981421866,0.06090084747579207
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2022/23,8760,2.8949628081972247,-0.029588842909122604,0.056250356832451436
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2023/24,7675,2.930228220676836,-0.02743303292133465,0.008384303180418336
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2024/25,8666,2.8935931946205744,-0.004063754355255756,0.03837511025532576
lr0.02_carry0.9_shrink10_venue0,0.02,0.9,10.0,False,2025/26,8076,2.918087473604112,-0.020164544250346892,0.02755971285394963
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2013/14,3543,2.952888997846571,-0.0470417172605933,0.1691497913693533
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2014/15,3574,2.8921697174165746,-0.042912765081221216,0.13601288163718078
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2015/16,2864,2.8917155313770784,-0.023617292181422674,0.08328325050584198
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2016/17,3550,2.8697467110617634,-0.036814359265839015,0.0713036681662812
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2017/18,3898,2.8792318365732834,-0.0025403438345654983,0.05210887366731061
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2018/19,4597,2.8960948894790026,-0.031087625701458472,0.060407306322143986
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2019/20,2730,2.932177955465825,-0.0018176264918462236,0.016069932694935708
lr0.02_carry0.9_shrink10_venue1,0.02,0.9,10.0,True,2020/21,8148,2.9004806812476827,0.03601616169207681,0.05114572876555267
