candidate_key,profile,ucl_multiplier,uel_multiplier,uecl_multiplier,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
k_hierarchy_ucl1_uel0.65_uecl0.6,HIERARCHY,1.0,0.65,0.6,6340,0.5763546610122594,0.9710125966043989,91.66042083909254,9.094947017729282e-13,382.20626909890825,0.9632048642652703,0.0,0.0,0.0,0.30850680321199064,0.6063429745019001
k_hierarchy_ucl1_uel0.8_uecl0.25,HIERARCHY,1.0,0.8,0.25,6340,0.576357203555006,0.9711316991947241,91.66042083909254,9.094947017729282e-13,405.9116353520642,0.9569167722871169,0.0,0.0,0.0,0.3058835302649324,0.6050520126680664
k_hierarchy_ucl1_uel0.8_uecl0.45,HIERARCHY,1.0,0.8,0.45,6340,0.5759547982512865,0.9704842317629853,91.66042083909254,9.094947017729282e-13,405.9116353520642,0.9569167722871169,0.0,0.0,0.0,0.306810072059694,0.6055476500737084
k_hierarchy_ucl1_uel0.8_uecl0.6,HIERARCHY,1.0,0.8,0.6,6340,0.5758256233162815,0.9702617571820411,91.66042083909254,9.094947017729282e-13,405.9116353520642,0.9569167722871169,0.0,0.0,0.0,0.30851773754724754,0.6063495063216682
k_hierarchy_ucl1_uel0.8_uecl0.75,HIERARCHY,1.0,0.8,0.75,6340,0.5758268908263834,0.9702331925266389,91.66042083909254,9.094947017729282e-13,405.9116353520642,0.9534379892909474,0.0,0.0,0.0,0.30877461743793366,0.6064632319453703
k_hierarchy_ucl1_uel0.9_uecl0.25,HIERARCHY,1.0,0.9,0.25,6340,0.576111564795903,0.9707818246634692,91.66042083909254,9.094947017729282e-13,441.62731238844503,0.9505344725317718,0.0,0.0,0.0,0.30528668425883326,0.6048854212775006
k_hierarchy_ucl1_uel0.9_uecl0.45,HIERARCHY,1.0,0.9,0.45,6340,0.5757143223659028,0.9701426545269327,91.66042083909254,9.094947017729282e-13,441.62731238844503,0.9505344725317718,0.0,0.0,0.0,0.30649839414924424,0.605420909757745
k_hierarchy_ucl1_uel0.9_uecl0.6,HIERARCHY,1.0,0.9,0.6,6340,0.5755884959075366,0.9699253732585594,91.66042083909254,9.094947017729282e-13,441.62731238844503,0.9505344725317718,0.0,0.0,0.0,0.30775986540417655,0.6060627729501904
k_hierarchy_ucl1_uel0.9_uecl0.75,HIERARCHY,1.0,0.9,0.75,6340,0.5755927241036592,0.9699012935821328,91.66042083909254,9.094947017729282e-13,441.62731238844503,0.9505344725317718,0.0,0.0,0.0,0.308006057761584,0.6062429728557219
k_hierarchy_ucl1.25_uel0.625_uecl0.3125,HIERARCHY,1.25,0.625,0.3125,6340,0.577031949283859,0.9720609097252237,114.95768596664827,9.094947017729282e-13,440.0270333779656,0.9662098694873787,0.0,0.0,0.0,0.30648059594239924,0.6052395669598527
k_hierarchy_ucl1.25_uel0.625_uecl0.5625,HIERARCHY,1.25,0.625,0.5625,6340,0.5766459678894994,0.9714344764625743,114.95768596664827,9.094947017729282e-13,440.0270333779656,0.9618125961463844,0.0,0.0,0.0,0.30851794227690876,0.6061824075089146
k_hierarchy_ucl1.25_uel0.8125_uecl0.3125,HIERARCHY,1.25,0.8125,0.3125,6340,0.5763420916130911,0.9710822097197531,114.95768596664827,9.094947017729282e-13,440.0270333779656,0.9546279786319162,0.0,0.0,0.0,0.30682027191939387,0.6051794211971379
