fold,test_season,candidate_key,profile,ucl_multiplier,uel_multiplier,uecl_multiplier,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
3,2022/23,k_hierarchy_ucl1_uel0.65_uecl0.25,HIERARCHY,1.0,0.65,0.25,2812,0.5727548813477178,0.9658971529369805,87.65121045530461,9.094947017729282e-13,375.55491624582714,0.9668778474702473,0.0,0.0,0.0,0.323459357252979,0.6114845490062287
3,2022/23,k_hierarchy_ucl1_uel0.65_uecl0.45,HIERARCHY,1.0,0.65,0.45,2812,0.5723735225421384,0.965315957744946,87.65121045530461,9.094947017729282e-13,375.55491624582714,0.9668778474702473,0.0,0.0,0.0,0.323459357252979,0.6114845490062287
3,2022/23,k_hierarchy_ucl1_uel0.65_uecl0.6,HIERARCHY,1.0,0.65,0.6,2812,0.5721684273256764,0.9650009242851494,87.65121045530461,9.094947017729282e-13,375.55491624582714,0.9645692218101573,0.0,0.0,0.0,0.323459357252979,0.6114845490062287
3,2022/23,k_hierarchy_ucl1_uel0.8_uecl0.25,HIERARCHY,1.0,0.8,0.25,2812,0.5722818754843342,0.9652415362988979,87.65121045530461,9.094947017729282e-13,402.4922323064711,0.9578605954289032,0.0,0.0,0.0,0.3223912005460705,0.6110658364830184
3,2022/23,k_hierarchy_ucl1_uel0.8_uecl0.45,HIERARCHY,1.0,0.8,0.45,2812,0.5719077422245336,0.9646698491293264,87.65121045530461,9.094947017729282e-13,402.4922323064711,0.9578605954289032,0.0,0.0,0.0,0.3223912005460705,0.6110658364830184
3,2022/23,k_hierarchy_ucl1_uel0.8_uecl0.6,HIERARCHY,1.0,0.8,0.6,2812,0.5717072177905234,0.964360685456987,87.65121045530461,9.094947017729282e-13,402.4922323064711,0.9578605954289032,0.0,0.0,0.0,0.3223912005460705,0.6110658364830184
3,2022/23,k_hierarchy_ucl1_uel0.8_uecl0.75,HIERARCHY,1.0,0.8,0.75,2812,0.5715683716366602,0.9641414143818242,87.65121045530461,9.094947017729282e-13,402.4922323064711,0.9565877412969049,0.0,0.0,0.0,0.3223912005460705,0.6110658364830184
3,2022/23,k_hierarchy_ucl1_uel0.9_uecl0.25,HIERARCHY,1.0,0.9,0.25,2812,0.5720839116052595,0.9649650569372368,87.65121045530461,9.094947017729282e-13,439.02978487927044,0.951113206492638,0.0,0.0,0.0,0.3219385365150967,0.6108985762920769
3,2022/23,k_hierarchy_ucl1_uel0.9_uecl0.45,HIERARCHY,1.0,0.9,0.45,2812,0.5717143178592765,0.9643993303747374,87.65121045530461,9.094947017729282e-13,439.02978487927044,0.951113206492638,0.0,0.0,0.0,0.3219385365150967,0.6108985762920769
3,2022/23,k_hierarchy_ucl1_uel0.9_uecl0.6,HIERARCHY,1.0,0.9,0.6,2812,0.5715166384162029,0.9640938229209051,87.65121045530461,9.094947017729282e-13,439.02978487927044,0.951113206492638,0.0,0.0,0.0,0.3219385365150967,0.6108985762920769
3,2022/23,k_hierarchy_ucl1_uel0.9_uecl0.75,HIERARCHY,1.0,0.9,0.75,2812,0.571380213103202,0.9638776131976775,87.65121045530461,9.094947017729282e-13,439.02978487927044,0.951113206492638,0.0,0.0,0.0,0.3219385365150967,0.6108985762920769
3,2022/23,k_hierarchy_ucl1.25_uel0.625_uecl0.3125,HIERARCHY,1.25,0.625,0.3125,2812,0.5730810433623281,0.9663348058484926,109.42606880020553,9.094947017729282e-13,440.3969158287664,0.966787701993477,0.0,0.0,0.0,0.3231148741378564,0.6110520894432582
