candidate,season,competition,teams,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_teams,zero_exposure_rank_mae,zero_exposure_mean_overrank,zero_exposure_extreme_overrank_count,raw_score_spearman
c0p75_e1_x0p666667,2024/25,UCL,81,0.5414702203903413,0.6918784872907625,0.5238095238095238,0.21749733272367014,6,0.17695473251028804,0.0905349794238683,1,0.4694935420478914
c0p75_e1_x0p666667,2024/25,UEL,76,0.5262697425526641,0.6865724381625442,0.631578947368421,0.22004847645429368,9,0.23391812865497075,0.14400584795321636,1,0.43877046430880223
c0p75_e1_x0p666667,2024/25,UECL,164,0.42529304923737743,0.652177211348809,0.5121951219512195,0.23728435455086258,31,0.2466561762391818,0.19079464988198272,7,0.36286457605237304
c0p75_e1_x0p666667,2025/26,UCL,82,0.4845258793470633,0.6756674757281553,0.42857142857142855,0.23304580606781677,1,0.03658536585365854,0.03658536585365854,0,0.43270336146092103
c0p75_e1_x0p666667,2025/26,UEL,77,0.39569092493443386,0.631723192874272,0.55,0.24928318434811936,6,0.19913419913419914,0.10173160173160174,1,0.42339941216537025
c0p75_e1_x0p666667,2025/26,UECL,164,0.4273246938457849,0.6474150329271062,0.4634146341463415,0.24538964901844135,23,0.2378048780487805,0.1504506892895016,3,0.32788202785082476
c0p75_e1_x1,2018/19,UCL,79,0.5490530668736616,0.6982617251557888,0.6,0.2105431821823426,1,0.6582278481012658,0.0,0,0.5531493754990782
c0p75_e1_x1,2018/19,UEL,213,0.463390311369634,0.6603841160406501,0.5740740740740741,0.23458749366307388,30,0.2183881064162754,0.1569640062597809,5,0.3966327257226257
c0p75_e1_x1,2019/20,UCL,79,0.4529783523470854,0.6600196142530239,0.5,0.2438711744912674,3,0.2679324894514768,0.02742616033755273,0,0.43852513056414627
c0p75_e1_x1,2019/20,UEL,213,0.4153952105221383,0.6404951291446956,0.42592592592592593,0.2535872512067711,25,0.25333333333333335,0.1894835680751174,6,0.3671569004394791
c0p75_e1_x1,2020/21,UCL,79,0.4481151039358112,0.6546106223525578,0.55,0.2385835603268707,1,0.07594936708860761,0.07594936708860761,0,0.4686505728989739
c0p75_e1_x1,2020/21,UEL,213,0.42665575848746423,0.6529674252565819,0.5740740740740741,0.2444179946659614,34,0.20947252140292738,0.13407898370615853,5,0.42390876021751
c0p75_e1_x1,2021/22,UCL,80,0.47006628630165215,0.659892029215624,0.5,0.2425,0,0.0,0.0,0,0.4587622941239684
c0p75_e1_x1,2021/22,UEL,58,0.4716450055009584,0.6618181818181819,0.4,0.23840665873959574,1,0.08620689655172412,0.0,0,0.39100800048457524
c0p75_e1_x1,2021/22,UECL,181,0.428968550498995,0.6511122157325712,0.5652173913043478,0.2484051158389548,31,0.24817323115309212,0.1653894136517555,4,0.35640661272351104
c0p75_e1_x1,2022/23,UCL,78,0.3739731547943601,0.6311557788944724,0.5,0.24950690335305714,2,0.05448717948717949,0.04487179487179488,0,0.3590423744351733
c0p75_e1_x1,2022/23,UEL,57,0.4257980880537996,0.64366373902133,0.4,0.24192059095106183,5,0.2192982456140351,0.12105263157894737,0,0.3502601522885854
c0p75_e1_x1,2022/23,UECL,177,0.4444236634543695,0.6550894308943089,0.4666666666666667,0.24111845255194866,19,0.22494796312815935,0.14005352363960746,3,0.3441242622148525
c0p75_e1_x1,2023/24,UCL,78,0.43845161648225867,0.6579913246579914,0.5,0.22649572649572655,2,0.10897435897435898,0.10897435897435898,0,0.42627122617817964
c0p75_e1_x1,2023/24,UEL,57,0.7084886430277488,0.7536140791954745,0.4666666666666667,0.17051400430901817,3,0.2573099415204678,0.023391812865497075,0,0.664124565235602
c0p75_e1_x1,2023/24,UECL,178,0.4429810569463514,0.6553320048852607,0.5777777777777777,0.24135210200732232,23,0.289447972642892,0.18197361993160718,4,0.3481998388009173
c0p75_e1_x1,2024/25,UCL,81,0.5363319674855778,0.689398636081835,0.5238095238095238,0.21902149062642895,6,0.17695473251028804,0.0905349794238683,1,0.46433239848292024
c0p75_e1_x1,2024/25,UEL,76,0.5236991714388419,0.684452296819788,0.631578947368421,0.2207409972299169,9,0.23391812865497075,0.14400584795321636,1,0.4368764711898185
c0p75_e1_x1,2024/25,UECL,164,0.4256087595197628,0.652177211348809,0.5121951219512195,0.23713563355145748,31,0.24645948072383952,0.19059795436664043,7,0.3632490075097539
c0p75_e1_x1,2025/26,UCL,82,0.4856362284752009,0.6750606796116505,0.42857142857142855,0.2339381320642475,1,0.03658536585365854,0.03658536585365854,0,0.43316350935765124
c0p75_e1_x1,2025/26,UEL,77,0.39328530919864424,0.6310380267214799,0.55,0.24928318434811947,6,0.19913419913419914,0.10173160173160174,1,0.422373070130529
c0p75_e1_x1,2025/26,UECL,164,0.4264103334592819,0.6471122549390659,0.4634146341463415,0.24583581201665672,23,0.2378048780487805,0.15018557794273593,3,0.32758867595756463
c1_e0_x0,2018/19,UCL,79,0.5470318931232508,0.6995736306985897,0.6,0.21054318218234258,1,0.6582278481012658,0.0,0,0.5486993683339222
c1_e0_x0,2018/19,UEL,213,0.464101399423079,0.6607422661951023,0.5740740740740741,0.2343450373603121,30,0.218075117370892,0.1560250391236307,4,0.3983467307048803
c1_e0_x0,2019/20,UCL,79,0.45187052816305506,0.6590389016018307,0.5,0.24355071302675851,3,0.2679324894514768,0.02742616033755273,0,0.43859906837068213
c1_e0_x0,2019/20,UEL,213,0.4142463701700689,0.6397801412101171,0.42592592592592593,0.2537415415812559,25,0.2535211267605634,0.18957746478873239,6,0.36647477459937855
c1_e0_x0,2020/21,UCL,79,0.4508295513791123,0.6562398175301402,0.55,0.2382630988623618,1,0.07594936708860761,0.07594936708860761,0,0.47436658147735195
c1_e0_x0,2020/21,UEL,213,0.4277809978927793,0.6531905399375278,0.5740740740740741,0.24388899909629927,34,0.20905827119580225,0.1343551505109086,5,0.42486918696819453
c1_e0_x0,2021/22,UCL,80,0.4644751430314258,0.6586217846935535,0.5,0.24093749999999997,0,0.0,0.0,0,0.4528781510669788
c1_e0_x0,2021/22,UEL,58,0.4742290245762311,0.6636363636363637,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39378221222270715
c1_e0_x0,2021/22,UECL,181,0.4282813247318579,0.6507394059898098,0.5652173913043478,0.24852721223405877,31,0.2478167884512565,0.16574585635359115,4,0.35534974420328447
c1_e0_x0,2022/23,UCL,78,0.3744411271539174,0.6318257956448912,0.55,0.24983563445101906,2,0.05448717948717949,0.04487179487179488,0,0.3596810580384805
c1_e0_x0,2022/23,UEL,57,0.4339005025775818,0.6461731493099122,0.4,0.23699599876885197,5,0.22280701754385962,0.12456140350877191,0,0.3559737546982147
c1_e0_x0,2022/23,UECL,177,0.445515815608299,0.655479674796748,0.4666666666666667,0.2407673401640652,19,0.22494796312815946,0.14035087719298245,3,0.34510956537959897
c1_e0_x0,2023/24,UCL,78,0.4412084580037935,0.6586586586586587,0.5,0.2271531886916502,2,0.10897435897435898,0.10897435897435898,0,0.4285030794746487
c1_e0_x0,2023/24,UEL,57,0.7125401129201716,0.754242614707731,0.4666666666666667,0.17174515235457066,3,0.2573099415204678,0.023391812865497075,0,0.66644851023963
c1_e0_x0,2023/24,UECL,178,0.44509989612718864,0.6559748023397828,0.5777777777777777,0.24091023860623653,23,0.2892037127503664,0.18172936003908155,4,0.3502162507537031
c1_e0_x0,2024/25,UCL,81,0.5431189784652765,0.694048357098574,0.47619047619047616,0.2168876695625667,6,0.1810699588477366,0.09465020576131687,1,0.4713238154266587
c1_e0_x0,2024/25,UEL,76,0.5286625614086156,0.6865724381625442,0.631578947368421,0.2193559556786704,9,0.2353801169590643,0.14546783625730994,1,0.4414386443961296
c1_e0_x0,2024/25,UECL,164,0.425616924440859,0.6523289333940222,0.4878048780487805,0.2372843545508626,31,0.24685287175452403,0.19099134539732499,7,0.36294339832960587
c1_e0_x0,2025/26,UCL,82,0.4856362284752009,0.6768810679611651,0.42857142857142855,0.23364069006543725,1,0.03658536585365854,0.03658536585365854,0,0.4332182888691667
c1_e0_x0,2025/26,UEL,77,0.40144862817091376,0.6327509421034601,0.55,0.24810254680384553,6,0.19913419913419914,0.10173160173160174,1,0.4300506417158352
c1_e0_x0,2025/26,UECL,164,0.4284730869502619,0.6476421164181364,0.4634146341463415,0.24486912552052348,23,0.23780487804878053,0.15045068928950162,3,0.328474240593087
c1_e0_x0p333333,2018/19,UCL,79,0.547579801670049,0.6992456543128894,0.6,0.21022272071783368,1,0.6582278481012658,0.0,0,0.5502194809743612
c1_e0_x0p333333,2018/19,UEL,213,0.4639939599180607,0.6606527286564893,0.5740740740740741,0.2343450373603121,30,0.21760563380281686,0.15586854460093896,4,0.3976315117141233
c1_e0_x0p333333,2019/20,UCL,79,0.4540861765311157,0.6606734226871527,0.5,0.2425893286332318,3,0.2679324894514768,0.02742616033755273,0,0.44041054463081053
c1_e0_x0p333333,2019/20,UEL,213,0.41419296461856725,0.6396907677182948,0.42592592592592593,0.2539839978840177,25,0.25333333333333335,0.18967136150234742,6,0.36634989599571705
c1_e0_x0p333333,2020/21,UCL,79,0.4511216892205438,0.6552623004235908,0.55,0.237622175933344,1,0.07594936708860761,0.07594936708860761,0,0.4716701165610301
c1_e0_x0p333333,2020/21,UEL,213,0.42776112611520195,0.6535029004908522,0.5740740740740741,0.24410941391699179,34,0.20933443800055232,0.13407898370615853,5,0.4249265932682691
c1_e0_x0p333333,2021/22,UCL,80,0.46207224078740816,0.6567164179104478,0.5,0.24281250000000001,0,0.0,0.0,0,0.4506922746301453
c1_e0_x0p333333,2021/22,UEL,58,0.47638237380562504,0.6642424242424242,0.4,0.23781212841854937,1,0.08620689655172412,0.0,0,0.39574598008228373
c1_e0_x0p333333,2021/22,UECL,181,0.4283137123968776,0.650677271032683,0.5652173913043478,0.24852721223405877,31,0.24817323115309217,0.16574585635359115,4,0.3554430274577371
c1_e0_x0p333333,2022/23,UCL,78,0.37380873207343457,0.6314907872696818,0.55,0.2501643655489809,2,0.05448717948717949,0.04487179487179488,0,0.3589146377145118
c1_e0_x0p333333,2022/23,UEL,57,0.43130772992997146,0.6468005018820577,0.4,0.23699599876885197,5,0.22280701754385962,0.12456140350877191,0,0.3546024901199037
c1_e0_x0p333333,2022/23,UECL,177,0.4454562830330105,0.655479674796748,0.4666666666666667,0.2407673401640652,19,0.22494796312815946,0.14035087719298245,3,0.3450777460123633
c1_e0_x0p333333,2023/24,UCL,78,0.438755121970868,0.6579913246579914,0.5,0.22715318869165024,2,0.10897435897435898,0.10897435897435898,0,0.4262967330729965
c1_e0_x0p333333,2023/24,UEL,57,0.713933818563165,0.7548711502199874,0.4666666666666667,0.17051400430901817,3,0.2573099415204678,0.023391812865497075,0,0.6690015765820833
c1_e0_x0p333333,2023/24,UECL,178,0.4440144034278145,0.6556534036125217,0.5777777777777777,0.24128897866431007,23,0.2892037127503664,0.18172936003908155,4,0.34911423309822337
c1_e0_x0p333333,2024/25,UCL,81,0.5406345484893469,0.6924984500929944,0.5238095238095238,0.21719250114311842,6,0.17695473251028804,0.0905349794238683,1,0.4694253331020988
c1_e0_x0p333333,2024/25,UEL,76,0.5289770461725407,0.6869257950530036,0.631578947368421,0.2193559556786704,9,0.23391812865497075,0.14400584795321636,1,0.4415354177671726
c1_e0_x0p333333,2024/25,UECL,164,0.4247868241294145,0.6521013503262024,0.4878048780487805,0.23728435455086258,31,0.2466561762391818,0.19079464988198272,7,0.3621717697209062
c1_e0_x0p333333,2025/26,UCL,82,0.48274061212143043,0.6753640776699029,0.42857142857142855,0.2345330160618679,1,0.03658536585365854,0.03658536585365854,0,0.43036975427036084
c1_e0_x0p333333,2025/26,UEL,77,0.39818855875847764,0.6327509421034601,0.55,0.24827120931017033,6,0.19913419913419914,0.10173160173160174,1,0.42601191916314807
c1_e0_x0p333333,2025/26,UECL,164,0.42743218561741253,0.6473393384300962,0.4634146341463415,0.2452409280190363,23,0.23753976670201488,0.15018557794273593,3,0.3278558603110504
c1_e0_x0p666667,2018/19,UCL,79,0.5500027750214451,0.7002295834699902,0.6,0.20926133632430705,1,0.6582278481012658,0.0,0,0.5535294036591879
c1_e0_x0p666667,2018/19,UEL,213,0.4635505390707596,0.6603393472713435,0.5740740740740741,0.23436707884238137,30,0.21791862284820027,0.15649452269170577,4,0.39708076158379596
c1_e0_x0p666667,2019/20,UCL,79,0.45424443712883433,0.6603465184700883,0.5,0.24290979009774075,3,0.2679324894514768,0.02742616033755273,0,0.4409774011475854
c1_e0_x0p666667,2019/20,UEL,213,0.41469721238390805,0.6399588881937617,0.42592592592592593,0.25376358306332514,25,0.2531455399061033,0.18929577464788733,6,0.36658208234423334
c1_e0_x0p666667,2020/21,UCL,79,0.44897934505004605,0.6546106223525578,0.55,0.23826309886236183,1,0.07594936708860761,0.07594936708860761,0,0.4699428878819115
c1_e0_x0p666667,2020/21,UEL,213,0.4271780136419179,0.6530566711289603,0.5740740740740741,0.24428574577354584,34,0.20961060480530241,0.1343551505109086,5,0.42414354553466865
