candidate,pilot_guardrails_pass,pilot_guardrail_violations,pilot_top_team,pilot_top_rating,ratings,reference_band_share,median_rating,p90_rating,minimum_rating,maximum_rating,exact_500_or_2000_count,elite_duplicate_rating_count,distribution_guardrails_pass
c0_e0p75_x0p666667,True,,Arsenal,2161.2028698579875,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2197.3057270975546,0,0,True
c0_e0p75_x1,True,,Arsenal,2177.354039553133,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2236.741227359578,0,2,False
c0_e1_x0,True,,Arsenal,2174.2440822159897,1887,0.9703232644409115,1075.827613869686,1747.6534859063288,651.4949936787367,2168.5922157395303,0,0,True
c0_e1_x0p333333,True,,Arsenal,2191.8177947110817,1887,0.9618441971383148,1076.5635231649287,1764.46819103107,651.4949936787367,2210.978156540731,0,0,True
c0_e1_x0p666667,True,,Arsenal,2209.3915072061736,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2253.364097341932,0,0,True
c0_e1_x1,True,,Arsenal,2226.9652197012656,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2295.7500381431328,0,2,False
c0p25_e0_x0,True,,Arsenal,1992.9792048595345,1887,1.0,1075.827613869686,1747.6534859063288,651.4949936787367,1996.0881679884412,0,0,True
c0p25_e0_x0p333333,True,,Arsenal,2004.8433097749796,1887,0.9809220985691574,1076.5635231649287,1764.46819103107,651.4949936787367,2017.2970436619319,0,0,True
c0p25_e0_x0p666667,True,,Arsenal,2016.7074146904247,1887,0.9607843137254902,1077.1628179417426,1781.7458568270888,651.4949936787367,2038.5059193354223,0,0,True
c0p25_e0_x1,True,,Arsenal,2028.5715196058698,1887,0.9523052464228935,1077.1628179417426,1798.5997814267125,651.4949936787367,2059.714795008913,0,19,False
c0p25_e0p25_x0,True,,Arsenal,2038.322756607828,1887,0.9867514573396926,1075.827613869686,1747.6534859063288,651.4949936787367,2039.117211148384,0,0,True
c0p25_e0p25_x0p333333,True,,Arsenal,2051.6094043232197,1887,0.9687334393216747,1076.5635231649287,1764.46819103107,651.4949936787367,2062.8572070077535,0,0,True
c0p25_e0p25_x0p666667,True,,Arsenal,2064.896052038611,1887,0.9602543720190779,1077.1628179417426,1781.7458568270888,651.4949936787367,2086.597202867123,0,0,True
c0p25_e0p25_x1,True,,Arsenal,2078.1826997540024,1887,0.9517753047164812,1077.1628179417426,1798.5997814267125,651.4949936787367,2118.7236057924683,0,2,False
c0p25_e0p5_x0,True,,Arsenal,2083.666308356121,1887,0.9772125066242713,1075.827613869686,1747.6534859063288,651.4949936787367,2082.1462543083276,0,0,True
c0p25_e0p5_x0p333333,True,,Arsenal,2098.375498871459,1887,0.9634340222575517,1076.5635231649287,1764.46819103107,651.4949936787367,2108.417370353576,0,0,True
c0p25_e0p5_x0p666667,True,,Arsenal,2113.0846893867974,1887,0.9591944886062533,1077.1628179417426,1781.7458568270888,651.4949936787367,2141.2473568531777,0,0,True
c0p25_e0p5_x1,True,,Arsenal,2127.7938799021354,1887,0.9512453630100689,1077.1628179417426,1798.5997814267125,651.4949936787367,2177.732416576023,0,2,False
