power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
0.25,ALL,0.34,1.25,6340,0.5816292213201549,0.9815281491652323,0.065
0.25,ALL,0.18,1.25,6340,0.5795401042266808,0.9818883049270674,0.10500000000000004
0.25,ALL,0.36,2.0,6340,0.5829370374594008,0.9837671433153787,0.09999999999999996
0.25,ALL,0.34,1.0,6340,0.5830616341534105,0.9849134085954724,0.06
0.25,ALL,0.18,1.5,6340,0.5805067677941659,0.9855887055281827,0.11000000000000003
0.25,ALL,0.2,2.0,6340,0.5795420238494045,0.9855919504442706,0.10000000000000002
0.25,ALL,0.36,1.5,6340,0.584383635734135,0.9857440829760984,0.08999999999999996
0.25,ALL,0.36,1.25,6340,0.585712951797607,0.9885230287203217,0.08499999999999996
0.25,ALL,0.38,2.0,6340,0.5867051959082835,0.9895762260365307,0.11999999999999998
0.25,ALL,0.36,1.0,6340,0.5876505037898846,0.9930453026405704,0.07999999999999996
0.25,ALL,0.38,1.5,6340,0.5888603242666856,0.9930642929679155,0.10999999999999997
0.25,ALL,0.18,2.0,6340,0.5824614288957881,0.9941551286350228,0.12000000000000004
0.25,ALL,0.38,1.25,6340,0.5906461469063405,0.9968213114824584,0.10499999999999998
0.25,ALL,0.38,1.0,6340,0.5931356024554844,1.0025936452215598,0.09999999999999998
0.25,UCL,0.24,1.0,1810,0.5581209445622356,0.944310651332776,0.040000000000000036
0.25,UCL,0.26,1.0,1810,0.5582206495154926,0.9445097541197706,0.020000000000000018
0.25,UCL,0.26,1.25,1810,0.5583555271040535,0.945262913434559,0.02500000000000002
0.25,UCL,0.24,1.25,1810,0.558548310462824,0.9458912120314074,0.04500000000000003
0.25,UCL,0.22,1.0,1810,0.5588792688902392,0.9460064293154433,0.060000000000000026
0.25,UCL,0.28,1.25,1810,0.5589702957746856,0.9462956338914162,0.005
0.25,UCL,0.28,1.0,1810,0.5591783837500099,0.9464236589462992,0.0
0.25,UCL,0.26,1.5,1810,0.5587610236217638,0.9469685877663997,0.03000000000000002
0.25,UCL,0.28,1.5,1810,0.5591070837270375,0.9472536788678416,0.01
0.25,UCL,0.24,1.5,1810,0.5591796726022953,0.9483053807474923,0.05000000000000004
0.25,UCL,0.22,1.25,1810,0.5595486458509971,0.9483669107657635,0.06500000000000003
0.25,UCL,0.3,1.25,1810,0.5603926164747202,0.9488501377266801,0.024999999999999963
0.25,UCL,0.3,1.5,1810,0.5602178529181164,0.9490168639231931,0.029999999999999964
0.25,UCL,0.2,1.0,1810,0.5604956224995031,0.9498418142487078,0.08000000000000002
0.25,UCL,0.3,1.0,1810,0.5609941472657879,0.9499207421048398,0.019999999999999962
0.25,UCL,0.22,1.5,1810,0.5603630306686318,0.9514543333826339,0.07000000000000002
0.25,UCL,0.28,2.0,1810,0.5600013620289246,0.9516374299477154,0.02
0.25,UCL,0.3,2.0,1810,0.5606588267034285,0.952121998175481,0.039999999999999966
0.25,UCL,0.32,1.5,1810,0.5620933311950003,0.9521497629247918,0.04999999999999998
0.25,UCL,0.26,2.0,1810,0.5600396489018075,0.9525714120606211,0.04000000000000002
0.25,UCL,0.32,1.25,1810,0.5626224892041574,0.9528234105096105,0.04499999999999998
0.25,UCL,0.2,1.25,1810,0.5613565332685727,0.9529400066139709,0.08500000000000002
0.25,UCL,0.32,2.0,1810,0.562012042925319,0.9539107147897602,0.059999999999999984
0.25,UCL,0.32,1.0,1810,0.5636679400628263,0.9549072865636626,0.03999999999999998
0.25,UCL,0.24,2.0,1810,0.5607736873220769,0.9550729822605742,0.06000000000000004
0.25,UCL,0.18,1.0,1810,0.5629700053900276,0.9561514336839344,0.10000000000000003
0.25,UCL,0.34,1.5,1810,0.5647335185576892,0.9565718674244024,0.06999999999999999
0.25,UCL,0.2,1.5,1810,0.5623110978207735,0.9566687954203889,0.09000000000000001
0.25,UCL,0.34,2.0,1810,0.5640610106945961,0.9569161207099193,0.08
0.25,UCL,0.34,1.25,1810,0.5656599139629971,0.9581413158699319,0.065
0.25,UCL,0.22,2.0,1810,0.5622034772897331,0.9593370135713789,0.08000000000000003
0.25,UCL,0.18,1.25,1810,0.5639719727155509,0.9599495754094403,0.10500000000000004
0.25,UCL,0.36,2.0,1810,0.56680573001126,0.9610723300400812,0.09999999999999996
0.25,UCL,0.34,1.0,1810,0.5671997621411251,0.9613206559795472,0.06
0.25,UCL,0.36,1.5,1810,0.5681384150061832,0.962225364438786,0.08999999999999996
0.25,UCL,0.18,1.5,1810,0.5650238740587201,0.9642907472024496,0.11000000000000003
0.25,UCL,0.36,1.25,1810,0.5695048907512392,0.9647536750207649,0.08499999999999996
0.25,UCL,0.2,2.0,1810,0.5643290188047758,0.9656209037228571,0.10000000000000002
0.25,UCL,0.38,2.0,1810,0.5702462008753105,0.9663312546721843,0.11999999999999998
0.25,UCL,0.38,1.5,1810,0.5723080205404824,0.9690716061929866,0.10999999999999997
0.25,UCL,0.36,1.0,1810,0.5715896135006845,0.9691251007383351,0.07999999999999996
0.25,UCL,0.38,1.25,1810,0.5741574195688842,0.9726310754314198,0.10499999999999998
0.25,UCL,0.18,2.0,1810,0.5671503118672053,0.9742702138496705,0.12000000000000004
0.25,UCL,0.38,1.0,1810,0.5768374941415043,0.9783096115451639,0.09999999999999998
0.25,UECL,0.24,1.0,2073,0.5812278081218527,0.9782411536122358,0.040000000000000036
0.25,UECL,0.26,1.25,2073,0.5811497337262719,0.9782443553870006,0.02500000000000002
0.25,UECL,0.24,1.25,2073,0.5812458187223846,0.9783564802429595,0.04500000000000003
0.25,UECL,0.26,1.5,2073,0.581114049353914,0.97837885907444,0.03000000000000002
0.25,UECL,0.26,1.0,2073,0.5814027750188752,0.978812195056308,0.020000000000000018
0.25,UECL,0.24,1.5,2073,0.581432982558611,0.9790839953971326,0.05000000000000004
0.25,UECL,0.28,1.5,2073,0.5816572744659287,0.9793787073188587,0.01
0.25,UECL,0.22,1.0,2073,0.5819936146140725,0.9796417641711361,0.060000000000000026
0.25,UECL,0.28,1.25,2073,0.5819524909230152,0.9798708270363922,0.005
0.25,UECL,0.28,2.0,2073,0.5816069639280983,0.9802118723401527,0.02
0.25,UECL,0.26,2.0,2073,0.581466800416086,0.9802572793991018,0.04000000000000002
0.25,UECL,0.22,1.25,2073,0.5822407459113531,0.9804002207421776,0.06500000000000003
0.25,UECL,0.28,1.0,2073,0.5825185153051405,0.9811670847851002,0.0
0.25,UECL,0.3,2.0,2073,0.5825478291429522,0.9816702404173224,0.039999999999999966
0.25,UECL,0.22,1.5,2073,0.58261407408002,0.9816904306164371,0.07000000000000002
