season,competition,team_id,matches,raw_score_rate,home_edge_training_matches,leave_team_out_home_edge,venue_neutral_score_rate,mean_opponent_strength,schedule_adjusted_score_unshrunk,schedule_adjusted_score,target_reliability
2018/19,UCL,84,6,0.25,209,0.061135371179039305,0.25,0.5,0.25,0.3125,0.75
2018/19,UCL,86,8,0.6875,207,0.06167400881057268,0.6875,0.5854166666666667,0.7729166666666667,0.7183333333333334,0.8
2018/19,UCL,87,8,0.5625,207,0.05726872246696035,0.5625,0.4822916666666667,0.5447916666666667,0.5358333333333334,0.8
2018/19,UCL,90,8,0.5,207,0.05506607929515418,0.5,0.48958333333333337,0.48958333333333337,0.4916666666666667,0.8
2018/19,UCL,92,2,0.5,213,0.06223175965665236,0.5,0.46873083997547516,0.4687308399754752,0.48436541998773763,0.5
2018/19,UCL,94,10,0.3,205,0.060000000000000005,0.3,0.5891666666666666,0.38916666666666677,0.407638888888889,0.8333333333333334
2018/19,UCL,98,6,0.6666666666666666,209,0.05895196506550219,0.6666666666666666,0.5,0.6666666666666666,0.625,0.75
2018/19,UCL,101,8,0.5625,207,0.05726872246696035,0.5625,0.5364583333333333,0.5989583333333333,0.5791666666666666,0.8
2018/19,UCL,106,2,0.5,213,0.0536480686695279,0.5,0.4166666666666667,0.4166666666666667,0.45833333333333337,0.5
2018/19,UCL,107,2,0.0,213,0.057939914163090134,0.0,0.5,-2.7755575615628914e-17,0.25,0.5
2018/19,UCL,112,4,0.625,211,0.05627705627705628,0.625,0.53125,0.65625,0.6041666666666666,0.6666666666666666
2018/19,UCL,116,8,0.5,207,0.05066079295154185,0.5,0.53125,0.53125,0.525,0.8
2018/19,UCL,118,6,0.5,209,0.05458515283842795,0.5,0.5658730158730159,0.5658730158730159,0.549404761904762,0.75
2018/19,UCL,119,10,0.55,205,0.057777777777777775,0.55,0.5616666666666666,0.6116666666666666,0.5930555555555554,0.8333333333333334
2018/19,UCL,121,6,0.5833333333333334,209,0.052401746724890834,0.5833333333333334,0.5986111111111111,0.6819444444444445,0.6364583333333333,0.75
2018/19,UCL,122,6,0.5833333333333334,209,0.056768558951965066,0.5833333333333334,0.5,0.5833333333333334,0.5625,0.75
2018/19,UCL,126,4,0.5,211,0.06277056277056278,0.5313852813852814,0.5593885281385281,0.5907738095238095,0.560515873015873,0.6666666666666666
2018/19,UCL,131,2,0.25,213,0.055793991416309016,0.25,0.5,0.25,0.375,0.5
2018/19,UCL,135,4,0.25,211,0.05411255411255412,0.25,0.484375,0.23437500000000003,0.3229166666666667,0.6666666666666666
2018/19,UCL,138,2,0.25,213,0.055793991416309016,0.25,0.5,0.25,0.375,0.5
2018/19,UCL,144,2,0.5,213,0.057939914163090134,0.5,0.4166666666666667,0.4166666666666667,0.45833333333333337,0.5
2018/19,UCL,147,4,0.375,211,0.05194805194805195,0.375,0.4375,0.3125,0.375,0.6666666666666666
