fold,test_season,power_carry,competition,draw_at_even,draw_shape,matches,brier_1x2,log_loss_1x2,distance_from_reference
2,2021/22,0.5,ALL,0.26,1.0,1996,0.566900663009347,0.9570413303856703,0.020000000000000018
2,2021/22,0.5,UCL,0.28,1.25,604,0.5629561539265259,0.9512324865030659,0.005
2,2021/22,0.5,UEL,0.24,1.0,1392,0.567999893760934,0.9589176683938567,0.040000000000000036
2,2021/22,0.75,ALL,0.26,1.0,1996,0.5661499399462528,0.9557845233911645,0.020000000000000018
2,2021/22,0.75,UCL,0.28,1.0,604,0.5627676288235028,0.950307695689792,0.0
2,2021/22,0.75,UEL,0.24,1.0,1392,0.5671337610761088,0.9575988743069097,0.040000000000000036
2,2021/22,0.85,ALL,0.26,1.0,1996,0.5659460415517751,0.9554222979971675,0.020000000000000018
2,2021/22,0.85,UCL,0.28,1.0,604,0.5626806014845067,0.9500123634364805,0.0
2,2021/22,0.85,UEL,0.24,1.0,1392,0.5668867173062054,0.9572069497441441,0.040000000000000036
2,2021/22,0.9,ALL,0.26,1.0,1996,0.5658694453658067,0.9552785381714968,0.020000000000000018
2,2021/22,0.9,UCL,0.28,1.0,604,0.5626629337935166,0.9499061889738207,0.0
2,2021/22,0.9,UEL,0.24,1.0,1392,0.5667888384556876,0.9570459864205205,0.040000000000000036
2,2021/22,1.0,ALL,0.26,1.0,1996,0.5657734986990237,0.9550759413167286,0.020000000000000018
2,2021/22,1.0,UCL,0.28,1.0,604,0.5626872342772703,0.9497915308350503,0.0
2,2021/22,1.0,UEL,0.24,1.0,1392,0.5666502891892868,0.9568022870584011,0.040000000000000036
3,2022/23,0.0,ALL,0.26,1.0,2812,0.5712514269429629,0.9636323224905547,0.020000000000000018
3,2022/23,0.0,UCL,0.26,1.0,822,0.5574474691827488,0.9439065087132698,0.020000000000000018
3,2022/23,0.0,UECL,0.28,1.5,423,0.5673287783666086,0.9584487437809407,0.01
3,2022/23,0.0,UEL,0.24,1.0,1567,0.5794105546394681,0.9752248831538751,0.040000000000000036
3,2022/23,0.25,ALL,0.26,1.0,2812,0.5700846451840788,0.9617909030718162,0.020000000000000018
3,2022/23,0.25,UCL,0.26,1.0,822,0.5561842874094021,0.9417286495418473,0.020000000000000018
3,2022/23,0.25,UECL,0.28,1.5,423,0.5673207497489793,0.9583744411185445,0.01
3,2022/23,0.25,UEL,0.26,1.0,1567,0.5780244430415874,0.9731149419535804,0.020000000000000018
3,2022/23,0.5,ALL,0.26,1.0,2812,0.5691952737663403,0.9602837504421299,0.020000000000000018
3,2022/23,0.5,UCL,0.26,1.0,822,0.5552895863010119,0.9399586312657401,0.020000000000000018
3,2022/23,0.5,UECL,0.28,1.25,423,0.5681040841453195,0.9589992692840535,0.005
3,2022/23,0.5,UEL,0.26,1.0,1567,0.5767614619880145,0.9712082034782833,0.020000000000000018
3,2022/23,0.75,ALL,0.26,1.0,2812,0.5687725090737658,0.9593656166360394,0.020000000000000018
3,2022/23,0.75,UCL,0.26,1.0,822,0.5550376408275602,0.9389850655491906,0.020000000000000018
3,2022/23,0.75,UECL,0.28,1.25,423,0.5697293860847388,0.9609540296924997,0.005
3,2022/23,0.75,UEL,0.26,1.0,1567,0.5757232841581773,0.9696091279155331,0.020000000000000018
3,2022/23,0.85,ALL,0.26,1.0,2812,0.5688173955992354,0.9592825526705606,0.020000000000000018
3,2022/23,0.85,UCL,0.26,1.0,822,0.5552261713754657,0.9389858282771439,0.020000000000000018
3,2022/23,0.85,UECL,0.26,1.0,423,0.5708375243839786,0.9623580022654113,0.020000000000000018
3,2022/23,0.85,UEL,0.26,1.0,1567,0.575401615022332,0.9690993952185928,0.020000000000000018
3,2022/23,0.9,ALL,0.26,1.0,2812,0.5689031390821863,0.9593281854688729,0.020000000000000018
3,2022/23,0.9,UCL,0.26,1.0,822,0.555403723799574,0.9391048613922426,0.020000000000000018
3,2022/23,0.9,UECL,0.26,1.0,423,0.5715602485769907,0.9632365313036576,0.020000000000000018
3,2022/23,0.9,UEL,0.26,1.0,1567,0.5752672501517492,0.9688816903207402,0.020000000000000018
3,2022/23,1.0,ALL,0.26,1.0,2812,0.569228693225398,0.959637720310611,0.020000000000000018
3,2022/23,1.0,UCL,0.26,1.0,822,0.5559569784951839,0.9396367885350597,0.020000000000000018
3,2022/23,1.0,UECL,0.26,1.0,423,0.5734100516099088,0.9655409909185559,0.020000000000000018
3,2022/23,1.0,UEL,0.26,1.0,1567,0.5750618999334952,0.9685360498909188,0.020000000000000018
4,2023/24,0.0,ALL,0.26,1.0,3616,0.5759806927757087,0.9703148539139947,0.020000000000000018
4,2023/24,0.0,UCL,0.26,1.0,1036,0.5612262572591437,0.9490037897954834,0.020000000000000018
4,2023/24,0.0,UECL,0.26,1.25,838,0.5804265773067786,0.9772872956229754,0.02500000000000002
4,2023/24,0.0,UEL,0.26,1.0,1742,0.5824716601537052,0.9794594667553934,0.020000000000000018
4,2023/24,0.25,ALL,0.26,1.0,3616,0.574586918581367,0.9681781657326526,0.020000000000000018
4,2023/24,0.25,UCL,0.26,1.0,1036,0.5594437973095541,0.946154379619372,0.020000000000000018
4,2023/24,0.25,UECL,0.26,1.25,838,0.5798282164875749,0.9764091927349058,0.02500000000000002
4,2023/24,0.25,UEL,0.26,1.0,1742,0.5809254933764724,0.9771293170229769,0.020000000000000018
4,2023/24,0.5,ALL,0.26,1.0,3616,0.5734363011192128,0.966342274088471,0.020000000000000018
4,2023/24,0.5,UCL,0.26,1.0,1036,0.5579990356728771,0.9436730654809076,0.020000000000000018
4,2023/24,0.5,UECL,0.26,1.25,838,0.5796613476778618,0.9760926484092796,0.02500000000000002
4,2023/24,0.5,UEL,0.26,1.0,1742,0.5794910740159778,0.9749603067660231,0.020000000000000018
