season,local_team_id,team_name,country,country_code,club_id,uefa_team_id,uefa_team_name,resolution_method,similarity,runner_up_similarity,identity_status,event_identity_verified
2018/19,38,Dinamo Zagreb,Croatia,CRO,AO-UEFA-50164,50164,GNK Dinamo,exact_name_country,1.0,,VERIFIED,True
2018/19,39,Hajduk Split,Croatia,CRO,AO-UEFA-52359,52359,Hajduk Split,exact_name_country,1.0,,VERIFIED,True
2018/19,40,NK Osijek,Croatia,CRO,AO-UEFA-53082,53082,Osijek,exact_name_country,1.0,,VERIFIED,True
2018/19,41,NK Rijeka,Croatia,CRO,AO-UEFA-52356,52356,Rijeka,fixture_graph_unique,,,VERIFIED,True
2018/19,42,AEK Larnaca,Cyprus,CYP,AO-UEFA-54191,54191,AEK Larnaca,exact_name_country,1.0,,VERIFIED,True
2018/19,43,APOEL Nicosia,Cyprus,CYP,AO-UEFA-50118,50118,APOEL,fixture_graph_unique,,,VERIFIED,True
2018/19,44,Anorthosis Famagusta,Cyprus,CYP,AO-UEFA-52897,52897,Anorthosis,fixture_graph_unique,,,VERIFIED,True
2018/19,45,Apollon Limassol,Cyprus,CYP,AO-UEFA-52741,52741,Apollon,fixture_graph_unique,,,VERIFIED,True
2018/19,46,FK Jablonec,Czechia,CZE,AO-UEFA-62169,62169,Jablonec,exact_name_country,1.0,,VERIFIED,True
2018/19,47,Sigma Olomouc,Czechia,CZE,AO-UEFA-52905,52905,Sigma Olomouc,exact_name_country,1.0,,VERIFIED,True
2018/19,48,Slavia Praha,Czechia,CZE,AO-UEFA-52498,52498,Slavia Praha,exact_name_country,1.0,,VERIFIED,True
2018/19,49,Sparta Praha,Czechia,CZE,AO-UEFA-50033,50033,Sparta Praha,exact_name_country,1.0,,VERIFIED,True
2018/19,50,Viktoria Plzen,Czechia,CZE,AO-UEFA-64388,64388,Viktoria Plzeň,exact_name_country,1.0,,VERIFIED,True
2018/19,51,Brøndby IF,Denmark,DEN,AO-UEFA-50021,50021,Brøndby,exact_name_country,1.0,,VERIFIED,True
2018/19,52,FC København,Denmark,DEN,AO-UEFA-52709,52709,Copenhagen,fixture_graph_unique,,,VERIFIED,True
2018/19,53,FC Midtjylland,Denmark,DEN,AO-UEFA-75795,75795,Midtjylland,exact_name_country,1.0,,VERIFIED,True
2018/19,54,FC Nordsjælland,Denmark,DEN,AO-UEFA-79940,79940,Nordsjælland,exact_name_country,1.0,,VERIFIED,True
2018/19,55,Arsenal,England,ENG,AO-UEFA-52280,52280,Arsenal,exact_name_country,1.0,,VERIFIED,True
2018/19,56,Burnley FC,England,ENG,AO-UEFA-53354,53354,Burnley,exact_name_country,1.0,,VERIFIED,True
2018/19,57,Chelsea,England,ENG,AO-UEFA-52914,52914,Chelsea,exact_name_country,1.0,,VERIFIED,True
2018/19,58,Liverpool,England,ENG,AO-UEFA-7889,7889,Liverpool,exact_name_country,1.0,,VERIFIED,True
2018/19,59,Manchester City,England,ENG,AO-UEFA-52919,52919,Man City,exact_name_country,1.0,,VERIFIED,True
2018/19,60,Manchester United,England,ENG,AO-UEFA-52682,52682,Man Utd,exact_name_country,1.0,,VERIFIED,True
2018/19,61,Tottenham Hotspur,England,ENG,AO-UEFA-1652,1652,Tottenham,exact_name_country,1.0,,VERIFIED,True
2018/19,62,Flora Tallinn,Estonia,EST,AO-UEFA-59341,59341,Flora Tallinn,exact_name_country,1.0,,VERIFIED,True
2018/19,63,Kalju Nomme,Estonia,EST,AO-UEFA-2600371,2600371,Kalju,fixture_graph_unique,,,VERIFIED,True
2018/19,64,Levadia Tallinn,Estonia,EST,AO-UEFA-77482,77482,Levadia Tallinn,exact_name_country,1.0,,VERIFIED,True
2018/19,65,Trans Narva,Estonia,EST,AO-UEFA-60565,60565,Trans,exact_name_country,1.0,,VERIFIED,True
2018/19,66,B36 Torshavn,Faroe Islands,FAR,AO-UEFA-57476,57476,B36 Tórshavn,exact_name_country,1.0,,VERIFIED,True
2018/19,67,KI Klaksvik,Faroe Islands,FAR,AO-UEFA-57475,57475,Klaksvík,exact_name_country,1.0,,VERIFIED,True
2018/19,68,NSI Runavik,Faroe Islands,FAR,AO-UEFA-64150,64150,Runavík,exact_name_country,1.0,,VERIFIED,True
2018/19,69,Víkingur,Faroe Islands,FAR,AO-UEFA-59325,59325,Víkingur,exact_name_country,1.0,,VERIFIED,True
2018/19,70,FC Lahti,Finland,FIN,AO-UEFA-50082,50082,Lahti,exact_name_country,1.0,,VERIFIED,True
2018/19,71,HJK Helsinki,Finland,FIN,AO-UEFA-50052,50052,HJK,exact_name_country,1.0,,VERIFIED,True
2018/19,72,Ilves Tampere,Finland,FIN,AO-UEFA-2602511,2602511,Ilves,exact_name_country,1.0,,VERIFIED,True
2018/19,73,KuPS Kuopio,Finland,FIN,AO-UEFA-52350,52350,KuPS Kuopio,exact_name_country,1.0,,VERIFIED,True
2018/19,74,AS Monaco,France,FRA,AO-UEFA-50023,50023,Monaco,exact_name_country,1.0,,VERIFIED,True
2018/19,75,Girondins Bordeaux,France,FRA,AO-UEFA-50127,50127,Bordeaux,fixture_graph_unique,,,VERIFIED,True
2018/19,76,Olympique Lyon,France,FRA,AO-UEFA-5312,5312,Lyon,fixture_graph_unique,,,VERIFIED,True
2018/19,77,Olympique Marseille,France,FRA,AO-UEFA-52748,52748,Marseille,fixture_graph_unique,,,VERIFIED,True
2018/19,78,Paris Saint-Germain,France,FRA,AO-UEFA-52747,52747,Paris,exact_name_country,1.0,,VERIFIED,True
2018/19,79,Stade Rennais,France,FRA,AO-UEFA-55031,55031,Rennes,fixture_graph_unique,,,VERIFIED,True
2018/19,80,Chikhura Sachkhere,Georgia,GEO,AO-UEFA-92452,92452,Chikhura,fixture_graph_unique,,,VERIFIED,True
2018/19,81,Dinamo Tbilisi,Georgia,GEO,AO-UEFA-52705,52705,Dinamo Tbilisi,exact_name_country,1.0,,VERIFIED,True
2018/19,82,Samtredia,Georgia,GEO,AO-UEFA-59884,59884,Samtredia,exact_name_country,1.0,,VERIFIED,True
2018/19,83,Torpedo Kutaisi,Georgia,GEO,AO-UEFA-64471,64471,Torpedo Kutaisi,exact_name_country,1.0,,VERIFIED,True
2018/19,84,1899 Hoffenheim,Germany,GER,AO-UEFA-2600431,2600431,Hoffenheim,fixture_graph_unique,,,VERIFIED,True
2018/19,85,Bayer Leverkusen,Germany,GER,AO-UEFA-50109,50109,Leverkusen,fixture_graph_unique,,,VERIFIED,True
2018/19,86,Bayern München,Germany,GER,AO-UEFA-50037,50037,Bayern München,exact_name_country,1.0,,VERIFIED,True
2018/19,87,Borussia Dortmund,Germany,GER,AO-UEFA-52758,52758,B. Dortmund,exact_name_country,1.0,,VERIFIED,True
2018/19,88,Eintracht Frankfurt,Germany,GER,AO-UEFA-50072,50072,Frankfurt,exact_name_country,1.0,,VERIFIED,True
2018/19,89,RB Leipzig,Germany,GER,AO-UEFA-2603790,2603790,Leipzig,exact_name_country,1.0,,VERIFIED,True
2018/19,90,Schalke 04,Germany,GER,AO-UEFA-57388,57388,Schalke,fixture_graph_unique,,,VERIFIED,True
2018/19,91,Europa FC,Gibraltar,GIB,AO-UEFA-2606416,2606416,Europa,exact_name_country,1.0,,VERIFIED,True
2018/19,92,Lincoln Red Imps,Gibraltar,GIB,AO-UEFA-2605572,2605572,L. Red Imps,exact_name_country,1.0,,VERIFIED,True
2018/19,93,St Joseph's FC,Gibraltar,GIB,AO-UEFA-2605575,2605575,St Joseph's,exact_name_country,1.0,,VERIFIED,True
2018/19,94,AEK Athens,Greece,GRE,AO-UEFA-50129,50129,AEK Athens,exact_name_country,1.0,,VERIFIED,True
2018/19,95,Asteras Tripolis,Greece,GRE,AO-UEFA-2600293,2600293,Asteras,fixture_graph_unique,,,VERIFIED,True
2018/19,96,Atromitos FC,Greece,GRE,AO-UEFA-84641,84641,Atromitos,exact_name_country,1.0,,VERIFIED,True
2018/19,97,Olympiakos Piraeus,Greece,GRE,AO-UEFA-2610,2610,Olympiacos,fixture_graph_unique,,,VERIFIED,True
2018/19,98,PAOK Thessaloniki,Greece,GRE,AO-UEFA-50130,50130,PAOK,fixture_graph_unique,,,VERIFIED,True
2018/19,99,Ferencváros,Hungary,HUN,AO-UEFA-52298,52298,Ferencváros,exact_name_country,1.0,,VERIFIED,True
2018/19,100,Honvéd Budapest,Hungary,HUN,AO-UEFA-50054,50054,Honvéd,fixture_graph_unique,,,VERIFIED,True
2018/19,101,Videoton Fehérvár,Hungary,HUN,AO-UEFA-52288,52288,Fehérvár,fixture_graph_unique,,,VERIFIED,True
2018/19,102,Újpest TE,Hungary,HUN,AO-UEFA-50132,50132,Újpest,fixture_graph_unique,,,VERIFIED,True
2018/19,103,FH Hafnarfjardar,Iceland,ISL,AO-UEFA-59329,59329,FH,fixture_graph_unique,,,VERIFIED,True
2018/19,104,IBV Vestmannaeyjar,Iceland,ISL,AO-UEFA-52720,52720,ÍBV,exact_name_country,1.0,,VERIFIED,True
2018/19,105,Stjarnan FC,Iceland,ISL,AO-UEFA-52308,52308,Stjarnan,fixture_graph_unique,,,VERIFIED,True
2018/19,106,Valur Reykjavik,Iceland,ISL,AO-UEFA-50057,50057,Valur,fixture_graph_unique,,,VERIFIED,True
2018/19,107,Cork City,Ireland,IRL,AO-UEFA-52803,52803,Cork,fixture_graph_unique,,,VERIFIED,True
2018/19,108,Derry City,Ireland,IRL,AO-UEFA-50086,50086,Derry,fixture_graph_unique,,,VERIFIED,True
2018/19,109,Dundalk,Ireland,IRL,AO-UEFA-50055,50055,Dundalk,exact_name_country,1.0,,VERIFIED,True
2018/19,110,Shamrock Rovers,Ireland,IRL,AO-UEFA-52381,52381,Shamrock Rovers,exact_name_country,1.0,,VERIFIED,True
2018/19,111,Beitar Jerusalem,Israel,ISR,AO-UEFA-59034,59034,Beitar,fixture_graph_unique,,,VERIFIED,True
2018/19,112,Hapoel Beer-Sheva,Israel,ISR,AO-UEFA-59340,59340,H. Beer-Sheva,fixture_graph_unique,,,VERIFIED,True
2018/19,113,Hapoel Haifa,Israel,ISR,AO-UEFA-60573,60573,H. Haifa,fixture_graph_unique,,,VERIFIED,True
2018/19,114,Maccabi Tel-Aviv,Israel,ISR,AO-UEFA-57477,57477,M. Tel-Aviv,fixture_graph_unique,,,VERIFIED,True
2018/19,115,AC Milan,Italy,ITA,AO-UEFA-50058,50058,Milan,exact_name_country,1.0,,VERIFIED,True
2018/19,116,AS Roma,Italy,ITA,AO-UEFA-50137,50137,Roma,exact_name_country,1.0,,VERIFIED,True
2018/19,117,Atalanta,Italy,ITA,AO-UEFA-52816,52816,Atalanta,exact_name_country,1.0,,VERIFIED,True
2018/19,118,Internazionale,Italy,ITA,AO-UEFA-50138,50138,Inter,fixture_graph_unique,,,VERIFIED,True
2018/19,119,Juventus,Italy,ITA,AO-UEFA-50139,50139,Juventus,exact_name_country,1.0,,VERIFIED,True
2018/19,120,Lazio,Italy,ITA,AO-UEFA-52973,52973,Lazio,exact_name_country,1.0,,VERIFIED,True
2018/19,121,Napoli,Italy,ITA,AO-UEFA-50136,50136,Napoli,exact_name_country,1.0,,VERIFIED,True
2018/19,122,FK Astana,Kazakhstan,KAZ,AO-UEFA-2600605,2600605,Astana,fixture_graph_unique,,,VERIFIED,True
2018/19,123,Irtysh Pavlodar,Kazakhstan,KAZ,AO-UEFA-79964,79964,Irtysh,fixture_graph_unique,,,VERIFIED,True
2018/19,124,Kairat Almaty,Kazakhstan,KAZ,AO-UEFA-79970,79970,Kairat Almaty,exact_name_country,1.0,,VERIFIED,True
2018/19,125,Tobol Kustanai,Kazakhstan,KAZ,AO-UEFA-79969,79969,Tobol,fixture_graph_unique,,,VERIFIED,True
2018/19,126,FC Drita,Kosovo,KOS,AO-UEFA-2608290,2608290,Drita,exact_name_country,1.0,,VERIFIED,True
2018/19,127,FC Prishtina,Kosovo,KOS,AO-UEFA-2608287,2608287,Prishtina,exact_name_country,1.0,,VERIFIED,True
2018/19,128,FK Liepaja,Latvia,LAT,AO-UEFA-2606320,2606320,Liepāja,exact_name_country,1.0,,VERIFIED,True
2018/19,129,FK Ventspils,Latvia,LAT,AO-UEFA-64359,64359,Ventspils,exact_name_country,1.0,,VERIFIED,True
2018/19,130,Riga FC,Latvia,LAT,AO-UEFA-2607924,2607924,Riga,exact_name_country,1.0,,VERIFIED,True
2018/19,131,Spartaks Jurmala,Latvia,LAT,AO-UEFA-2602918,2602918,Spartaks Jūrmala,exact_name_country,1.0,,VERIFIED,True
2018/19,132,FC Vaduz,Liechtenstein,LIE,AO-UEFA-57482,57482,Vaduz,exact_name_country,1.0,,VERIFIED,True
2018/19,133,FK Trakai,Lithuania,LIT,AO-UEFA-2606168,2606168,Riteriai,fixture_graph_unique,,,VERIFIED,True
2018/19,134,Stumbras Kaunas,Lithuania,LIT,AO-UEFA-2607177,2607177,Stumbras,fixture_graph_unique,,,VERIFIED,True
2018/19,135,Suduva Marijampole,Lithuania,LIT,AO-UEFA-79557,79557,Sūduva,fixture_graph_unique,,,VERIFIED,True
2018/19,136,Zalgiris Vilnius,Lithuania,LIT,AO-UEFA-2602334,2602334,Žalgiris,fixture_graph_unique,,,VERIFIED,True
2018/19,137,CS Fola Esch,Luxembourg,LUX,AO-UEFA-7607,7607,Fola,exact_name_country,1.0,,VERIFIED,True
2018/19,138,F91 Dudelange,Luxembourg,LUX,AO-UEFA-59028,59028,Diddeleng,fixture_graph_unique,,,VERIFIED,True
2018/19,139,Progrès Niederkorn,Luxembourg,LUX,AO-UEFA-52311,52311,Progrès,fixture_graph_unique,,,VERIFIED,True
2018/19,140,Racing Union Luxembourg,Luxembourg,LUX,AO-UEFA-88135,88135,Racing Union,fixture_graph_unique,,,VERIFIED,True
2018/19,141,Balzan FC,Malta,MLT,AO-UEFA-84734,84734,Balzan,exact_name_country,1.0,,VERIFIED,True
2018/19,142,Birkirkara,Malta,MLT,AO-UEFA-62171,62171,Birkirkara,exact_name_country,1.0,,VERIFIED,True
2018/19,143,Gzira United,Malta,MLT,AO-UEFA-64201,64201,Gżira,fixture_graph_unique,,,VERIFIED,True
2018/19,144,Valletta FC,Malta,MLT,AO-UEFA-52641,52641,Valletta,exact_name_country,1.0,,VERIFIED,True
2018/19,145,Milsami Orhei,Moldova,MOL,AO-UEFA-2600714,2600714,Milsami,fixture_graph_unique,,,VERIFIED,True
2018/19,146,Petrocub Hîncesti,Moldova,MOL,AO-UEFA-2607112,2607112,Petrocub,fixture_graph_unique,,,VERIFIED,True
2018/19,147,Sheriff Tiraspol,Moldova,MOL,AO-UEFA-69606,69606,Sheriff,fixture_graph_unique,,,VERIFIED,True
2018/19,148,Zaria Balti,Moldova,MOL,AO-UEFA-2606488,2606488,Zaria Balti,exact_name_country,1.0,,VERIFIED,True
2018/19,149,Buducnost Podgorica,Montenegro,MON,AO-UEFA-53078,53078,Budućnost,fixture_graph_unique,,,VERIFIED,True
2018/19,150,OFK Titograd,Montenegro,MON,AO-UEFA-2600103,2600103,Titograd,exact_name_country,1.0,,VERIFIED,True
2018/19,151,Rudar Pljevlja,Montenegro,MON,AO-UEFA-77927,77927,Rudar Pljevlja,exact_name_country,1.0,,VERIFIED,True
2018/19,152,Sutjeska Niksic,Montenegro,MON,AO-UEFA-73936,73936,Sutjeska,fixture_graph_unique,,,VERIFIED,True
2018/19,153,AZ Alkmaar,Netherlands,NED,AO-UEFA-52327,52327,AZ Alkmaar,exact_name_country,1.0,,VERIFIED,True
2018/19,154,Ajax,Netherlands,NED,AO-UEFA-50143,50143,Ajax,exact_name_country,1.0,,VERIFIED,True
2018/19,155,Feyenoord,Netherlands,NED,AO-UEFA-52749,52749,Feyenoord,exact_name_country,1.0,,VERIFIED,True
2018/19,156,PSV Eindhoven,Netherlands,NED,AO-UEFA-50062,50062,PSV,exact_name_country,1.0,,VERIFIED,True
2018/19,157,Vitesse Arnhem,Netherlands,NED,AO-UEFA-52985,52985,Vitesse,fixture_graph_unique,,,VERIFIED,True
2018/19,158,FK Shkupi,North Macedonia,MAC,AO-UEFA-2606993,2606993,Shkupi,fixture_graph_unique,,,VERIFIED,True
2018/19,159,Rabotnicki Skopje,North Macedonia,MAC,AO-UEFA-69601,69601,Rabotnicki,fixture_graph_unique,,,VERIFIED,True
2018/19,160,Shkendija Tetovo,North Macedonia,MAC,AO-UEFA-75807,75807,Shkëndija,fixture_graph_unique,,,VERIFIED,True
2018/19,161,Vardar Skopje,North Macedonia,MAC,AO-UEFA-53080,53080,Vardar,fixture_graph_unique,,,VERIFIED,True
2018/19,162,Cliftonville,Northern Ireland,NIR,AO-UEFA-52991,52991,Cliftonville,exact_name_country,1.0,,VERIFIED,True
2018/19,163,Coleraine,Northern Ireland,NIR,AO-UEFA-52377,52377,Coleraine,exact_name_country,1.0,,VERIFIED,True
2018/19,164,Crusaders Belfast,Northern Ireland,NIR,AO-UEFA-52992,52992,Crusaders,fixture_graph_unique,,,VERIFIED,True
2018/19,165,Glenavon,Northern Ireland,NIR,AO-UEFA-50087,50087,Glenavon,exact_name_country,1.0,,VERIFIED,True
2018/19,166,Lillestrøm SK,Norway,NOR,AO-UEFA-52314,52314,Lillestrøm,exact_name_country,1.0,,VERIFIED,True
2018/19,167,Molde FK,Norway,NOR,AO-UEFA-50142,50142,Molde,exact_name_country,1.0,,VERIFIED,True
2018/19,168,Rosenborg BK,Norway,NOR,AO-UEFA-52806,52806,Rosenborg,exact_name_country,1.0,,VERIFIED,True
2018/19,169,Sarpsborg 08,Norway,NOR,AO-UEFA-2604486,2604486,Sarpsborg,fixture_graph_unique,,,VERIFIED,True
2018/19,170,Górnik Zabrze,Poland,POL,AO-UEFA-50063,50063,Górnik Zabrze,exact_name_country,1.0,,VERIFIED,True
2018/19,171,Jagiellonia Bialystok,Poland,POL,AO-UEFA-2600277,2600277,Jagiellonia,fixture_graph_unique,,,VERIFIED,True
2018/19,172,Lech Poznan,Poland,POL,AO-UEFA-64227,64227,Lech Poznań,exact_name_country,1.0,,VERIFIED,True
2018/19,173,Legia Warsaw,Poland,POL,AO-UEFA-50146,50146,Legia Warszawa,fixture_graph_unique,,,VERIFIED,True
2018/19,174,Benfica,Portugal,POR,AO-UEFA-50147,50147,Benfica,exact_name_country,1.0,,VERIFIED,True
2018/19,175,FC Porto,Portugal,POR,AO-UEFA-50064,50064,Porto,exact_name_country,1.0,,VERIFIED,True
2018/19,176,Rio Ave,Portugal,POR,AO-UEFA-64237,64237,Rio Ave,exact_name_country,1.0,,VERIFIED,True
2018/19,177,Sporting Braga,Portugal,POR,AO-UEFA-52336,52336,Braga,fixture_graph_unique,,,VERIFIED,True
2018/19,178,Sporting CP Lisbon,Portugal,POR,AO-UEFA-50149,50149,Sporting CP,fixture_graph_unique,,,VERIFIED,True
2018/19,179,CFR Cluj,Romania,ROM,AO-UEFA-88131,88131,CFR Cluj,exact_name_country,1.0,,VERIFIED,True
2018/19,180,FCSB,Romania,ROM,AO-UEFA-50065,50065,FCSB,exact_name_country,1.0,,VERIFIED,True
2018/19,181,Universitatea Craiova,Romania,ROM,AO-UEFA-2606501,2606501,U. Craiova,exact_name_country,1.0,,VERIFIED,True
2018/19,182,Viitorul Constanta,Romania,ROM,AO-UEFA-2604753,2604753,Farul Constanța,exact_name_country,1.0,,VERIFIED,True
2018/19,183,CSKA Moscow,Russia,RUS,AO-UEFA-54266,54266,CSKA Moskva,fixture_graph_unique,,,VERIFIED,True
2018/19,184,FC Ufa,Russia,RUS,AO-UEFA-2606415,2606415,Ufa,exact_name_country,1.0,,VERIFIED,True
2018/19,185,FK Krasnodar,Russia,RUS,AO-UEFA-2601038,2601038,Krasnodar,fixture_graph_unique,,,VERIFIED,True
2018/19,186,Lokomotiv Moscow,Russia,RUS,AO-UEFA-53065,53065,Lokomotiv Moskva,fixture_graph_unique,,,VERIFIED,True
2018/19,187,Spartak Moscow,Russia,RUS,AO-UEFA-50068,50068,Spartak Moskva,fixture_graph_unique,,,VERIFIED,True
2018/19,188,Zenit St. Petersburg,Russia,RUS,AO-UEFA-52826,52826,Zenit,fixture_graph_unique,,,VERIFIED,True
2018/19,189,Folgore,San Marino,SMA,AO-UEFA-64507,64507,Folgore,exact_name_country,1.0,,VERIFIED,True
2018/19,190,La Fiorita,San Marino,SMA,AO-UEFA-64508,64508,La Fiorita,exact_name_country,1.0,,VERIFIED,True
2018/19,191,Tre Fiori,San Marino,SMA,AO-UEFA-64514,64514,Tre Fiori,exact_name_country,1.0,,VERIFIED,True
2018/19,192,Aberdeen,Scotland,SCO,AO-UEFA-50122,50122,Aberdeen,exact_name_country,1.0,,VERIFIED,True
2018/19,193,Celtic,Scotland,SCO,AO-UEFA-50050,50050,Celtic,exact_name_country,1.0,,VERIFIED,True
2018/19,194,Glasgow Rangers,Scotland,SCO,AO-UEFA-50121,50121,Rangers,fixture_graph_unique,,,VERIFIED,True
2018/19,195,Hibernian,Scotland,SCO,AO-UEFA-52821,52821,Hibernian,exact_name_country,1.0,,VERIFIED,True
2018/19,196,Partizan Belgrade,Serbia,SRB,AO-UEFA-50162,50162,Partizan,fixture_graph_unique,,,VERIFIED,True
2018/19,197,Radnicki Nis,Serbia,SRB,AO-UEFA-52734,52734,Radnicki Niš,exact_name_country,1.0,,VERIFIED,True
2018/19,198,Red Star Belgrade,Serbia,SRB,AO-UEFA-50069,50069,Crvena Zvezda,fixture_graph_unique,,,VERIFIED,True
2018/19,199,Spartak Subotica,Serbia,SRB,AO-UEFA-53079,53079,Spartak Subotica,exact_name_country,1.0,,VERIFIED,True
2018/19,200,AS Trencín,Slovakia,SVK,AO-UEFA-64315,64315,Trenčín,exact_name_country,1.0,,VERIFIED,True
2018/19,201,DAC Dunajska Streda,Slovakia,SVK,AO-UEFA-50156,50156,DAC 1904,fixture_graph_unique,,,VERIFIED,True
2018/19,202,Slovan Bratislava,Slovakia,SVK,AO-UEFA-52797,52797,S. Bratislava,exact_name_country,1.0,,VERIFIED,True
2018/19,203,Spartak Trnava,Slovakia,SVK,AO-UEFA-52904,52904,Spartak Trnava,exact_name_country,1.0,,VERIFIED,True
2018/19,204,NK Domzale,Slovenia,SLO,AO-UEFA-70690,70690,Domžale,exact_name_country,1.0,,VERIFIED,True
2018/19,205,NK Maribor,Slovenia,SLO,AO-UEFA-57490,57490,Maribor,exact_name_country,1.0,,VERIFIED,True
2018/19,206,Olimpija Ljubljana,Slovenia,SLO,AO-UEFA-53081,53081,Olimpija,exact_name_country,1.0,,VERIFIED,True
2018/19,207,Rudar Velenje,Slovenia,SLO,AO-UEFA-59860,59860,Rudar Velenje,exact_name_country,1.0,,VERIFIED,True
