reserve_base,uel_multiplier,uecl_multiplier,stage_profile,reserve_decay,matches,brier,log_loss,advance_reserve_added,trophy_reserve_added,max_reserve,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation
74.27213309566253,0.65,0.6,LATE_BALANCED,0.5,6340,0.16136261873204555,0.6160962598864735,7918.282281879239,552.5359967298857,246.60897567097146,9.094947017729282e-13,568.7200295434445,0.9076720820570876
74.27213309566253,0.65,0.25,SEMIFINAL_HEAVY,0.5,6340,0.16136275366656333,0.61610355411526,6124.615229595706,496.82320540996795,246.91839207239943,9.094947017729282e-13,570.9431871939692,0.9079058005085202
148.54426619132505,0.65,0.6,LATE_BALANCED,0.25,6340,0.16136300833831552,0.6160707769226546,15876.780746728395,871.099764999808,297.0885323826501,9.094947017729282e-13,668.5901243496028,0.9065107935015314
111.40819964349377,0.5,0.25,LATE_STRICT,0.5,6340,0.16136301503661887,0.6161141293668181,6903.542570584917,646.0823947980291,297.0885323826501,9.094947017729282e-13,623.5116729764086,0.9080418319509556
74.27213309566253,0.65,0.25,LATE_BALANCED,0.5,6340,0.1613631101576557,0.6160986693242222,7020.825319240592,496.7595690544286,246.35795848466876,9.094947017729282e-13,568.6326682784029,0.9078738468139884
74.27213309566253,0.65,0.45,SEMIFINAL_HEAVY,0.5,6340,0.1613635621911778,0.6161051307460145,6560.310017894103,528.6120088196363,246.99855530491982,9.094947017729282e-13,570.9835361292312,0.9077752468422902
148.54426619132505,0.65,0.45,LATE_BALANCED,0.25,6340,0.16136378376070004,0.6160741792103298,15105.082429585707,822.054963863666,297.0885323826501,9.094947017729282e-13,668.5557788489036,0.9067792045355987
148.54426619132505,0.65,0.45,SEMIFINAL_HEAVY,0.25,6340,0.1613644982655782,0.6160859365375417,13146.972350068616,809.1481980887944,297.0885323826501,9.094947017729282e-13,675.2685833891819,0.907025704464844
148.54426619132505,0.65,0.25,SEMIFINAL_HEAVY,0.25,6340,0.16136477193851365,0.6160877258696351,12274.39552934089,744.6341392228463,297.0885323826501,9.094947017729282e-13,675.2312322772677,0.9074684913747849
74.27213309566253,0.65,0.6,SEMIFINAL_HEAVY,0.5,6340,0.16136478269474358,0.6161078781461287,6887.237730316918,552.7046368919802,247.05942457796903,9.094947017729282e-13,571.0139107483487,0.9077277727818429
148.54426619132505,0.65,0.6,SEMIFINAL_HEAVY,0.25,6340,0.16136512053456387,0.6160865949044043,13802.342373254145,858.358422080891,297.0885323826501,9.094947017729282e-13,675.2968494021388,0.9066386082796586
185.68033273915628,0.65,0.45,LATE_STRICT,0.25,6340,0.16136600488193442,0.6160929316664916,13385.732714396394,804.1708992449098,297.0885323826501,9.094947017729282e-13,680.3742888500897,0.9068997156121186
148.54426619132505,0.65,0.25,LATE_BALANCED,0.25,6340,0.16136634815670495,0.6160823801389991,14078.055055199395,757.7215360115583,297.0885323826501,9.094947017729282e-13,668.5102326157748,0.907274943282192
111.40819964349377,0.5,0.45,LATE_STRICT,0.5,6340,0.1613680681674359,0.6161258700570333,7411.658943894965,693.8906003531881,297.0885323826501,9.094947017729282e-13,623.5602455041203,0.9079322764268464
185.68033273915628,0.65,0.6,LATE_STRICT,0.25,6340,0.16137041130527735,0.6161031129221838,14022.052799606032,866.1426409087524,297.0885323826501,9.094947017729282e-13,680.3895023868395,0.9067025156687222
185.68033273915628,0.8,0.25,LATE_STRICT,0.25,6340,0.16137297782109572,0.6161062377394398,13590.863636509663,813.5542681934702,297.0885323826501,9.094947017729282e-13,681.0173917693164,0.9071142618468321
74.27213309566253,0.8,0.25,SEMIFINAL_HEAVY,0.5,6340,0.1613771321299762,0.6161354791346791,6688.476812219882,539.0828774001945,246.92348038388445,9.094947017729282e-13,571.7640046459296,0.9079414060538555
185.68033273915628,0.8,0.45,LATE_STRICT,0.25,6340,0.16137767659483232,0.616116918578246,14437.717659046279,894.1935305683572,297.0885323826501,9.094947017729282e-13,681.0370516162707,0.9067892471253087
74.27213309566253,0.8,0.45,SEMIFINAL_HEAVY,0.5,6340,0.1613778904281942,0.6161369597934333,7124.003198346304,570.8727160386146,247.00362896680048,9.094947017729282e-13,571.8043481570999,0.907756987588272
